# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	29	-19	-2
100	12	-8	8
200	-26	32	0
300	-58	67	0
400	-103	113	6
500	-155	157	4
600	-203	190	24
700	-267	231	53
800	12	-534	547
900	16	-45	66
1000	5	115	-96
1100	12	103	-84
1200	12	60	-40
1300	5	31	-17
1400	11	6	10
1500	9	-26	38
1600	5	-22	38
1700	11	-11	28
1800	8	24	-6
1900	5	64	-50
2000	12	103	-87
2100	6	153	-135
2200	8	206	-187
2300	12	255	-248
2400	-479	0	502
2500	-18	8	50
2600	116	5	-80
2700	95	9	-75
2800	67	4	-29
2900	26	0	8
3000	0	9	24
3100	-16	2	53
3200	-30	7	58
3300	-5	9	33
3400	45	2	-6
3500	89	8	-66
3600	140	6	-103
3700	175	16	-154
3800	211	41	-221
3900	-514	518	21
4000	23	-10	8
4100	152	-125	0
4200	128	-103	8
4300	89	-68	0
4400	62	-35	0
4500	29	-4	6
4600	5	20	-6
4700	-3	29	0
4800	0	24	3
4900	24	0	-5
5000	61	-36	6
5100	99	-78	1
5200	145	-119	0
5300	186	-168	11
5400	231	-207	0
5500	12	489	-485
5600	7	-26	25
5700	7	-127	121
5800	12	-108	108
5900	6	-71	70
6000	10	-35	31
6100	12	-10	11
6200	5	17	-22
6300	12	35	-42
6400	9	44	-37
6500	5	19	-22
6600	11	-22	23
6700	9	-65	67
6800	8	-109	104
6900	20	-165	158
7000	35	-224	196
7100	521	22	-543
7200	6	7	-5
7300	-126	8	116
7400	-103	9	89
7500	-64	4	69
7600	-33	12	16
7700	0	12	-13
7800	25	0	-25
7900	42	12	-60
8000	38	-6	-41
8100	0	7	-6
8200	-45	9	31
8300	-95	4	95
8400	-139	8	128
8500	-182	8	173
8600	470	-464	8
8700	-91	95	0
8800	-162	167	0
8900	-128	134	6
9000	-94	103	0
9100	-59	66	0
9200	-25	36	3
9300	0	16	0
9400	25	-20	8
9500	28	-23	1
9600	20	-9	2
9700	-12	18	6
9800	-55	61	0
9900	-98	104	0
10000	-146	144	12
10100	-208	190	16
10200	-251	219	47
10300	12	-538	551
10400	10	-25	39
10500	12	118	-97
10600	1	102	-87
10700	10	77	-62
10800	12	34	-11
10900	5	11	6
11000	12	-12	31
11100	7	-26	48
11200	5	-12	28
11300	12	17	0
11400	6	55	-32
11500	8	103	-87
11600	12	140	-123
11700	5	195	-177
11800	10	251	-232
11900	-472	2	509
12000	-10	9	32
12100	120	6	-91
12200	103	0	-67
12300	68	12	-48
12400	38	5	0
12500	4	8	25
12600	-16	12	44
12700	-25	2	66
12800	-18	11	41
12900	37	6	-7
13000	83	0	-45
13100	140	9	-103
13200	172	13	-144
13300	206	36	-204
13400	-516	522	13
13500	38	-29	20
13600	155	-132	0
13700	137	-109	8
13800	103	-74	12
13900	62	-32	0
14000	33	-8	0
14100	8	12	6
14200	-7	32	-4
14300	-1	26	0
14400	19	0	3
14500	50	-25	-4
14600	96	-74	8
14700	134	-112	0
14800	182	-154	-2
14900	232	-197	9
15000	282	-261	0
15100	12	497	-503
15200	6	50	-54
15300	5	-83	80
15400	12	-76	78
15500	6	-39	41
15600	10	-6	31
15700	12	10	-11
15800	5	35	-38
15900	7	40	-39
16000	8	18	-16
16100	4	-14	13
16200	12	-60	62
16300	6	-107	109
16400	15	-154	144
16500	41	-221	192
16600	55	-279	225
16700	566	12	-567
16800	103	12	-99
16900	-78	9	60
17000	-64	6	63
17100	-35	5	27
17200	-4	9	-15
17300	25	4	-26
17400	37	8	-48
17500	37	12	-52
17600	6	2	-5
17700	-44	7	32
17800	-91	6	63
17900	-128	2	133
18000	-178	8	167
18100	-231	6	224
18200	483	-480	9
18300	-8	19	0
18400	-114	126	0
18500	-99	102	6
18600	-65	70	-2
18700	-30	34	7
18800	-5	16	0
18900	18	-9	0
19000	29	-26	10
19100	15	-10	0
19200	-10	19	0
19300	-48	47	8
19400	-97	104	0
19500	-137	141	0
19600	-192	179	20
19700	-248	225	44
19800	22	-532	553
19900	12	-11	27
20000	10	132	-103
20100	12	108	-88
20200	5	77	-62
20300	11	41	-26
20400	9	12	9
20500	5	-5	21
20600	12	-24	44
20700	6	-16	35
20800	8	19	-2
20900	12	49	-26
21000	5	98	-77
21100	10	141	-107
21200	9	179	-162
21300	8	244	-231
21400	-468	4	498
21500	12	0	25
21600	128	9	-105
21700	116	3	-78
21800	73	8	-45
21900	37	8	-13
22000	12	2	25
22100	-13	8	41
22200	-26	6	57
22300	-16	24	54
22400	24	8	0
22500	78	4	-42
22600	122	0	-90
22700	160	16	-145
22800	206	28	-194
