# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	38	-13	12
100	34	-12	0
200	46	-20	0
300	51	-26	6
400	63	-35	0
500	83	-60	6
600	95	-74	0
700	118	-93	-4
800	138	-116	6
900	150	-132	0
1000	178	-154	0
1100	206	-182	6
1200	12	299	-299
1300	12	-111	113
1400	7	-139	143
1500	12	-122	120
1600	12	-108	115
1700	7	-91	90
1800	15	-73	73
1900	12	-58	66
2000	5	-44	40
2100	12	-34	37
2200	8	-26	29
2300	7	-12	13
2400	12	-18	21
2500	6	-16	20
2600	8	-24	23
2700	12	-42	45
2800	5	-52	51
2900	13	-67	70
3000	9	-74	98
3100	5	-105	106
3200	12	-132	137
3300	8	-158	161
3400	5	-170	172
3500	304	4	-301
3600	-110	8	106
3700	-136	9	132
3800	-116	2	125
3900	-105	8	103
4000	-82	7	86
4100	-64	12	70
4200	-52	9	42
4300	-33	6	34
4400	-25	8	25
4500	-16	12	7
4600	-9	3	16
4700	-18	0	12
4800	-21	12	12
4900	-30	5	37
5000	-52	11	41
5100	-63	6	63
5200	-87	0	90
5300	-116	9	98
5400	-122	4	126
5500	-148	0	148
5600	-169	9	165
5700	296	-287	5
5800	-121	128	3
5900	-146	157	-4
6000	-128	134	9
6100	-115	121	0
6200	-94	103	-2
6300	-77	82	9
6400	-62	74	0
6500	-45	54	0
6600	-38	45	6
6700	-29	38	-4
6800	-16	26	8
6900	-20	29	6
7000	-20	32	0
7100	-29	34	9
7200	-47	50	0
7300	-55	64	0
7400	-70	73	12
7500	-95	104	0
7600	-109	119	0
7700	-132	140	8
7800	-155	170	-7
7900	-172	181	9
8000	-203	215	6
8100	10	-296	308
8200	12	97	-81
8300	5	140	-128
8400	11	128	-111
8500	9	102	-88
8600	5	93	-80
8700	11	74	-55
8800	8	58	-38
8900	5	51	-37
9000	12	35	-20
9100	6	31	-12
9200	10	32	-16
9300	12	26	-9
9400	8	37	-18
9500	10	45	-36
9600	9	60	-43
9700	8	83	-69
9800	12	97	-79
9900	9	118	-99
10000	8	141	-128
10100	12	158	-145
10200	5	186	-172
10300	-274	6	308
10400	132	2	-99
10500	153	10	-138
10600	145	6	-116
10700	122	0	-93
10800	107	12	-91
10900	90	5	-60
11000	70	8	-48
11100	59	9	-39
11200	51	2	-16
11300	34	8	-16
11400	33	6	-7
11500	29	0	0
11600	34	9	-16
11700	49	4	-20
11800	61	0	-35
11900	76	9	-58
12000	103	4	-69
12100	115	7	-95
12200	140	6	-118
12300	162	-8	-130
12400	179	12	-167
12500	-275	296	0
12600	145	-124	6
12700	173	-148	-4
12800	159	-133	0
12900	132	-111	3
13000	118	-93	-2
13100	103	-81	9
13200	79	-58	0
13300	68	-45	-4
13400	56	-36	9
13500	43	-19	0
13600	42	-19	0
13700	34	-13	3
13800	37	-16	-4
13900	51	-29	8
14000	57	-35	0
14100	76	-50	0
14200	90	-65	8
14300	105	-85	0
14400	130	-108	0
14500	145	-129	6
14600	166	-141	0
14700	193	-171	0
14800	213	-194	3
14900	8	302	-303
15000	12	-97	96
15100	5	-125	128
15200	11	-112	115
15300	12	-103	109
15400	12	-75	77
15500	12	-68	70
15600	6	-52	54
15700	8	-35	36
15800	12	-32	37
15900	5	-18	25
16000	12	-12	41
16100	12	-20	24
16200	5	-21	19
16300	12	-32	34
16400	9	-45	53
16500	7	-57	55
16600	12	-84	86
16700	4	-103	103
16800	12	-116	115
16900	3	-144	154
17000	5	-165	167
17100	13	-192	197
17200	309	5	-309
17300	-92	9	81
17400	-122	4	128
17500	-112	5	109
17600	-94	9	86
17700	-70	3	76
17800	-59	8	54
17900	-41	6	37
18000	-25	2	34
18100	-23	9	12
18200	-10	8	12
18300	-12	0	19
18400	-20	12	7
18500	-24	7	29
18600	-45	0	41
18700	-58	8	52
18800	-77	2	81
18900	-100	7	93
19000	-116	8	92
19100	-135	5	143
19200	-166	14	154
19300	293	-281	0
19400	-132	137	9
19500	-158	172	0
19600	-137	145	0
19700	-121	128	6
19800	-107	119	-6
19900	-80	89	17
20000	-71	81	3
20100	-53	64	0
20200	-41	47	8
20300	-34	42	0
20400	-21	32	0
20500	-19	24	6
20600	-16	32	0
20700	-22	33	0
20800	-38	45	6
20900	-52	61	0
21000	-61	70	8
21100	-85	94	0
21200	-103	116	0
21300	-116	128	10
21400	-144	155	0
21500	-165	174	0
21600	-191	198	7
21700	5	-292	299
21800	11	114	-97
21900	6	150	-135
22000	8	135	-126
22100	12	111	-97
22200	6	99	-87
22300	11	83	-53
22400	12	63	-43
22500	5	55	-43
22600	10	41	-26
22700	8	31	-12
22800	8	35	-22
22900	12	24	-7
23000	6	34	-19
23100	10	45	-33
23200	12	53	-34
23300	5	73	-61
23400	10	90	-71
23500	9	102	-88
23600	12	130	-118
23700	11	148	-132
23800	7	173	-154
23900	8	199	-187
24000	-277	2	308
24100	111	8	-93
24200	147	8	-123
24300	132	2	-98
24400	113	9	-99
24500	102	7	-78
24600	80	5	-51
24700	60	12	-45
24800	56	3	-26
24900	38	7	-16
25000	33	9	-15
25100	32	4	-5
25200	31	8	-12
25300	43	8	-20
25400	54	15	-22
25500	66	12	-51
25600	93	7	-65
25700	109	0	-82
25800	128	19	-113
25900	154	2	-120
26000	169	8	-148
26100	197	8	-181
26200	-282	295	9
26300	128	-109	0
26400	165	-141	0
26500	145	-123	6
26600	124	-103	0
26700	112	-87	5
26800	86	-68	3
26900	74	-49	-2
27000	64	-45	12
27100	47	-29	1
27200	44	-19	-2
27300	38	-13	12
27400	36	-15	0
27500	48	-24	0
27600	51	-33	6
27700	63	-41	-2
27800	83	-62	8
27900	95	-74	1
28000	120	-96	18
28100	138	-120	8
28200	152	-132	0
28300	180	-157	0
28400	206	-182	12
28500	8	299	-298
28600	12	-111	115
28700	4	-139	141
28800	15	-120	120
28900	8	-103	124
29000	5	-89	90
29100	12	-74	76
29200	6	-58	66
29300	7	-41	39
29400	12	-36	37
29500	7	-26	25
29600	8	-12	14
29700	12	-16	22
29800	6	-16	19
29900	12	-25	18
30000	12	-42	46
30100	5	-49	51
30200	11	-69	70
30300	12	-91	96
30400	5	-101	103
30500	12	-134	137
30600	7	-155	157
30700	10	-180	179
30800	309	5	-300
30900	-110	7	103
31000	-136	6	132
31100	-119	10	124
31200	-105	8	97
31300	-82	4	86
31400	-67	0	67
31500	-52	9	41
31600	-32	4	41
31700	-28	8	25
31800	-20	12	8
31900	-12	4	16
32000	-20	11	8
32100	-20	6	21
32200	-35	5	38
32300	-52	9	41
32400	-66	4	70
32500	-90	7	87
32600	-107	9	102
32700	-122	4	133
32800	-149	8	143
32900	-169	7	160
33000	296	-286	8
33100	-123	132	0
33200	-145	157	0
33300	-138	140	9
33400	-113	125	0
33500	-95	105	0
33600	-80	88	3
33700	-62	77	0
33800	-46	57	7
33900	-39	49	0
34000	-26	38	10
