# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	484	9	-464
100	-296	308	6
200	269	-248	0
300	370	-347	8
400	389	-371	0
500	379	-354	0
600	335	-316	7
700	273	-252	0
800	215	-190	0
900	175	-155	6
1000	160	-137	-4
1100	161	-135	0
1200	151	-129	3
1300	161	-135	0
1400	174	-152	7
1500	182	-165	0
1600	213	-186	0
1700	233	-219	6
1800	269	-251	-5
1900	343	-319	0
2000	414	-397	0
2100	522	-497	-13
2200	631	-613	6
2300	5	314	-315
2400	11	-221	223
2500	8	-294	302
2600	8	-307	303
2700	12	-295	298
2800	6	-252	251
2900	10	-193	192
3000	12	-168	171
3100	8	-145	145
3200	12	-135	134
3300	6	-132	135
3400	5	-133	129
3500	12	-146	147
3600	6	-158	161
3700	10	-174	171
3800	8	-202	205
3900	5	-232	232
4000	11	-289	289
4100	8	-374	377
4200	5	-475	468
4300	22	-598	592
4400	309	7	-309
4500	-219	9	211
4600	-280	2	290
4700	-295	9	285
4800	-263	9	215
4900	-215	4	219
5000	-171	8	161
5100	-147	6	145
5200	-135	0	138
5300	-131	9	120
5400	-127	4	128
5500	-136	0	135
5600	-155	12	142
5700	-165	5	171
5800	-194	0	193
5900	-228	8	217
6000	-257	2	265
6100	-332	0	322
6200	-413	6	411
6300	-521	0	531
6400	308	-298	0
6500	-238	244	5
6600	-322	327	6
6700	-342	349	0
6800	-320	327	8
6900	-282	292	6
7000	-226	238	-1
7100	-174	179	9
7200	-158	164	0
7300	-142	149	0
7400	-135	139	9
7500	-142	151	0
7600	-145	154	0
7700	-164	166	9
7800	-181	190	0
7900	-196	202	8
8000	-231	237	3
8100	-276	285	0
8200	-346	347	9
8300	-440	448	0
8400	-548	551	5
8500	-667	659	25
8600	5	-288	298
8700	12	223	-207
8800	8	295	-275
8900	8	312	-297
9000	12	282	-265
9100	8	244	-228
9200	12	196	-187
9300	12	163	-145
9400	5	157	-145
9500	11	145	-129
9600	7	145	-128
9700	8	154	-142
9800	12	162	-143
9900	6	182	-164
10000	10	206	-187
10100	12	219	-204
10200	5	268	-251
10300	10	328	-316
10400	12	411	-396
10500	12	531	-515
10600	-283	3	317
10700	257	8	-232
10800	340	12	-319
10900	360	2	-328
11000	334	9	-319
11100	306	7	-274
11200	236	0	-206
11300	182	9	-166
11400	169	2	-137
11500	149	0	-125
11600	147	8	-127
11700	154	2	-116
11800	152	8	-128
11900	172	6	-144
12000	190	12	-157
12100	205	9	-196
12200	251	4	-219
12300	285	10	-264
12400	360	12	-340
12500	457	2	-427
12600	-294	314	0
12700	282	-257	0
12800	386	-374	9
12900	408	-394	0
13000	406	-383	0
13100	360	-339	6
13200	302	-279	0
13300	238	-216	8
13400	181	-161	1
13500	169	-141	0
13600	156	-131	8
13700	153	-127	0
13800	165	-138	0
13900	167	-145	3
14000	179	-154	-4
14100	206	-178	7
14200	223	-207	0
14300	265	-240	-8
14400	319	-300	6
14500	389	-370	0
14600	493	-468	0
14700	596	-580	3
14800	8	312	-315
