# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	10	257	-245
100	6	247	-235
200	5	254	-240
300	12	238	-228
400	6	240	-225
500	8	235	-227
600	12	228	-217
700	5	231	-222
800	10	228	-219
900	6	224	-209
1000	5	228	-219
1100	12	223	-213
1200	6	228	-212
1300	8	232	-223
1400	12	224	-219
1500	5	237	-225
1600	12	240	-232
1700	12	240	-232
1800	2	257	-244
1900	12	257	-245
2000	7	266	-254
2100	8	278	-268
2200	-64	5	88
2300	124	7	-116
2400	179	6	-168
2500	214	-4	-196
2600	231	9	-227
2700	248	6	-232
2800	249	0	-235
2900	253	12	-247
3000	257	2	-237
3100	251	8	-241
3200	255	8	-244
3300	257	2	-230
3400	247	11	-235
3500	251	7	-232
3600	244	8	-232
3700	247	9	-239
3800	248	1	-232
3900	244	7	-238
4000	252	8	-242
4100	257	5	-235
4200	250	9	-244
4300	259	6	-245
4400	257	8	-244
4500	263	12	-255
4600	270	4	-248
4700	265	8	-257
4800	274	6	-261
4900	273	28	-254
5000	282	9	-270
5100	285	6	-265
5200	283	7	-270
5300	289	9	-282
5400	296	4	-276
5500	292	8	-283
5600	302	9	-287
5700	302	8	-288
5800	302	12	-294
5900	310	4	-292
6000	302	8	-293
6100	308	9	-300
6200	310	2	-293
6300	305	8	-296
6400	308	12	-300
6500	309	5	-290
6600	289	10	-301
6700	310	6	-295
6800	300	0	-293
6900	302	12	-297
7000	302	4	-286
7100	294	8	-288
7200	297	6	-284
7300	296	0	-276
7400	282	10	-283
7500	290	5	-271
7600	279	8	-267
7700	279	9	-271
7800	277	4	-259
7900	266	8	-257
8000	267	6	-252
8100	261	8	-241
8200	253	9	-248
8300	256	6	-239
8400	246	8	-236
8500	244	12	-239
8600	244	2	-228
8700	237	9	-230
8800	237	9	-226
8900	232	5	-215
9000	229	9	-223
9100	232	4	-215
9200	224	8	-215
9300	228	9	-216
9400	232	2	-208
9500	224	11	-218
9600	231	6	-219
9700	232	0	-211
9800	224	11	-222
9900	236	6	-216
10000	232	8	-219
10100	239	12	-231
10200	244	2	-223
10300	246	8	-238
10400	255	12	-245
10500	261	5	-244
10600	266	12	-261
10700	283	4	-265
10800	-55	71	3
10900	147	-128	-5
11000	215	-198	5
