# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	12	-116	128
100	6	-111	119
200	10	-109	115
300	12	-116	124
400	5	-111	116
500	12	-115	120
600	12	-120	132
700	7	-120	122
800	9	-128	137
900	7	-136	143
1000	8	-138	142
1100	12	-150	161
1200	6	-157	167
1300	10	-167	173
1400	93	4	-79
1500	-99	8	96
1600	-120	6	128
1700	-138	0	151
1800	-149	9	147
1900	-143	4	158
2000	-145	0	154
2100	-142	9	142
2200	-132	3	146
2300	-128	8	135
2400	-120	9	126
2500	-116	2	130
2600	-120	10	116
2700	-103	6	115
2800	-103	0	119
2900	-105	9	105
3000	-99	4	115
3100	-103	0	112
3200	-103	9	105
3300	-99	2	110
3400	-105	8	109
3500	-103	9	102
3600	-103	4	122
3700	-110	8	109
3800	-106	6	118
3900	-112	5	125
4000	-120	9	114
4100	-116	4	132
4200	-125	0	135
4300	-124	6	128
4400	-127	4	138
4500	-132	9	136
4600	-132	6	140
4700	-135	7	149
4800	-142	9	141
4900	-136	6	153
5000	-146	0	157
5100	-149	9	149
5200	-145	4	160
5300	-151	8	161
5400	-150	12	153
5500	-148	4	165
5600	-156	10	161
5700	-155	6	153
5800	-151	5	167
5900	-158	11	154
6000	-152	6	163
6100	-154	5	167
6200	-155	9	157
6300	-151	3	165
6400	-154	0	162
6500	-155	9	156
6600	-148	2	165
6700	-154	8	157
6800	-150	6	150
6900	-151	0	167
7000	-155	8	154
7100	-147	6	160
7200	-154	0	167
7300	-155	9	156
7400	-154	4	169
7500	-161	10	170
7600	-160	8	163
7700	-161	4	175
7800	-168	8	170
7900	-168	6	176
8000	-172	5	186
8100	-181	9	180
8200	-180	4	192
8300	-190	0	206
8400	-197	9	200
8500	-199	3	217
8600	-217	8	220
8700	87	-69	-2
8800	-112	121	9
8900	-173	183	0
9000	-199	214	0
9100	-222	236	6
9200	-236	252	0
9300	-240	252	0
9400	-247	257	3
9500	-245	264	-2
9600	-241	253	8
9700	-244	257	0
9800	-240	257	-13
9900	-232	244	9
10000	-236	248	0
10100	-229	244	0
10200	-228	240	6
10300	-232	244	0
10400	-225	237	0
10500	-230	244	6
10600	-229	244	-2
10700	-225	240	8
10800	-232	248	1
10900	-234	251	0
11000	-235	247	9
11100	-242	255	0
11200	-242	257	0
11300	-244	257	8
11400	-252	265	0
11500	-251	264	0
11600	-257	269	9
11700	-261	277	-4
11800	-257	281	8
11900	-268	282	6
12000	-271	283	5
12100	-270	282	8
12200	-277	291	0
12300	-281	291	0
12400	-282	292	8
12500	-287	299	0
12600	-282	294	8
12700	-286	298	6
12800	-287	302	-4
12900	-281	294	8
13000	-286	295	0
13100	-281	296	-2
13200	-280	282	10
13300	-279	298	0
13400	-281	290	0
13500	-275	287	6
13600	-271	283	-4
13700	-266	281	8
13800	-266	282	3
13900	-261	277	-2
14000	-254	266	9
14100	-255	269	0
14200	-248	261	0
14300	-241	263	8
14400	-239	256	0
14500	-232	245	0
14600	-232	242	8
14700	-223	244	0
14800	-217	229	0
14900	-215	229	3
15000	-207	225	-33
15100	-199	211	8
15200	-200	213	0
15300	-192	206	0
15400	-186	198	8
15500	-181	199	0
15600	-177	190	0
15700	-177	189	6
15800	-174	188	-2
15900	-170	181	9
16000	-173	186	3
16100	-168	183	5
16200	-167	176	12
16300	-169	186	0
16400	-167	180	0
16500	-172	179	6
16600	-174	186	0
16700	-172	184	8
16800	-181	192	6
16900	-182	196	-2
17000	-186	198	9
17100	-198	211	0
17200	-202	219	0
17300	-212	211	6
17400	-226	240	0
17500	-233	244	0
17600	8	-71	83
17700	0	119	-107
17800	16	153	-142
17900	7	189	-172
18000	11	206	-201
18100	12	203	-192
18200	5	215	-206
18300	12	212	-207
18400	9	211	-199
18500	8	215	-206
18600	12	207	-197
18700	7	205	-196
18800	8	207	-202
18900	12	200	-189
19000	5	205	-193
19100	12	206	-207
19200	12	205	-186
19300	7	207	-198
19400	12	206	-194
19500	8	202	-190
19600	8	207	-200
19700	12	206	-194
19800	6	205	-196
19900	8	212	-207
20000	12	208	-196
20100	4	218	-206
20200	10	219	-210
20300	9	216	-201
20400	5	225	-220
20500	12	223	-213
20600	7	228	-217
20700	5	235	-227
20800	12	232	-223
20900	6	237	-225
21000	8	238	-228
21100	12	232	-222
21200	5	239	-231
21300	11	238	-227
21400	9	231	-222
21500	-4	238	-230
21600	12	232	-223
21700	9	231	-219
21800	8	232	-226
21900	9	218	-209
22000	5	224	-219
22100	11	225	-210
22200	9	218	-203
22300	-4	219	-209
22400	12	207	-197
22500	8	205	-193
22600	8	206	-200
22700	12	194	-185
22800	6	195	-185
22900	11	193	-161
23000	12	182	-172
23100	5	185	-176
23200	12	174	-168
23300	9	166	-161
23400	10	174	-163
23500	12	161	-149
23600	5	163	-154
23700	11	157	-152
23800	12	153	-140
23900	5	157	-148
24000	9	150	-142
24100	8	150	-138
24200	8	154	-146
24300	12	148	-137
24400	6	153	-141
24500	10	156	-147
24600	12	153	-139
24700	5	161	-148
24800	12	161	-155
24900	12	166	-159
25000	5	177	-169
25100	12	178	-165
25200	7	190	-177
25300	10	206	-194
25400	12	205	-191
25500	-79	0	90
25600	118	6	-103
25700	154	15	-132
25800	166	9	-161
25900	183	6	-165
26000	183	5	-165
26100	186	12	-178
26200	186	4	-168
26300	175	8	-165
26400	178	12	-165
26500	170	5	-149
26600	160	9	-154
26700	164	6	-145
26800	157	5	-141
26900	153	12	-145
27000	157	4	-134
27100	150	8	-138
27200	153	9	-142
27300	154	2	-132
27400	150	8	-144
27500	158	6	-142
27600	154	0	-133
27700	153	8	-146
27800	161	5	-136
27900	157	0	-141
28000	163	8	-144
28100	162	5	-141
28200	160	9	-154
28300	165	6	-155
28400	167	5	-151
28500	166	9	-161
28600	175	4	-155
28700	168	8	-161
28800	176	12	-166
28900	180	5	-159
29000	173	7	-166
29100	179	8	-168
29200	180	0	-159
29300	192	11	-170
29400	184	4	-161
29500	177	8	-164
29600	179	9	-171
29700	180	4	-159
29800	173	8	-167
29900	179	9	-161
30000	174	8	-154
30100	176	9	-163
30200	174	5	-155
30300	167	8	-153
30400	166	9	-158
30500	167	5	-145
30600	158	10	-149
30700	163	6	-149
30800	161	5	-140
30900	153	12	-149
31000	157	4	-139
31100	149	7	-138
31200	152	9	-142
31300	154	2	-131
31400	145	9	-138
31500	153	6	-136
31600	154	0	-132
31700	150	9	-141
31800	157	4	-136
31900	154	5	-138
32000	153	9	-145
32100	164	2	-142
32200	159	7	-150
32300	172	8	-155
32400	174	5	-151
32500	176	10	-169
32600	186	5	-168
32700	190	5	-177
32800	202	9	-192
32900	215	4	-194
33000	-67	85	0
33100	128	-107	-2
33200	177	-158	6
33300	197	-182	0
33400	221	-203	0
33500	227	-213	8
33600	231	-209	1
33700	241	-219	0
33800	229	-219	0
33900	226	-212	0
34000	232	-213	8
