# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	7	-16	25
100	10	-16	18
200	12	-21	30
300	6	-16	25
400	11	-19	24
500	9	-26	35
600	8	-20	22
700	11	-25	29
800	9	-26	35
900	10	-25	28
1000	12	-34	39
1100	5	-33	38
1200	10	-37	40
1300	12	-45	52
1400	5	-41	45
1500	11	-48	50
1600	12	-52	64
1700	5	-54	58
1800	11	-63	68
1900	6	-68	77
2000	128	12	-132
2100	-45	4	58
2200	-62	0	65
2300	-52	12	50
2400	-45	4	63
2500	-47	8	45
2600	-37	8	44
2700	-35	-4	48
2800	-36	9	32
2900	-26	8	37
3000	-25	5	38
3100	-26	9	23
3200	-17	4	31
3300	-20	8	25
3400	-16	9	16
3500	-9	4	24
3600	-15	8	16
3700	-8	9	12
3800	-11	8	20
3900	-30	12	7
4000	-4	6	12
4100	0	5	14
4200	-7	9	2
4300	-3	4	12
4400	-8	7	12
4500	-7	9	5
4600	-3	3	12
4700	-10	8	12
4800	-7	8	10
4900	-9	4	22
5000	-15	10	14
5100	-11	6	18
5200	-17	5	29
5300	-20	12	16
5400	-17	4	29
5500	-25	0	29
5600	-26	9	26
5700	-25	2	39
5800	-36	8	38
5900	-30	12	37
6000	-35	4	49
6100	-45	7	41
6200	-44	6	50
6300	-48	0	61
6400	-57	10	52
6500	-56	6	66
6600	135	-124	6
6700	-60	72	-4
6800	-67	68	8
6900	-66	76	0
7000	-60	77	28
7100	-56	66	8
7200	-55	67	0
7300	-48	59	0
7400	-45	57	8
7500	-41	58	0
7600	-38	51	0
7700	-38	49	6
7800	-34	51	-4
7900	-29	41	0
8000	-32	44	3
8100	-26	45	0
8200	-22	34	0
8300	-28	40	0
8400	-21	38	0
8500	-22	18	6
8600	-26	37	0
8700	-17	32	0
8800	-19	31	6
8900	-20	33	0
9000	-14	26	0
9100	-19	31	1
9200	-15	32	-4
9300	-11	24	5
9400	-20	30	0
9500	-13	32	-2
9600	-12	24	11
9700	-10	35	0
9800	-14	32	0
9900	-22	31	6
10000	-23	38	0
10100	-20	33	8
10200	-28	37	3
10300	-26	38	0
10400	-25	36	9
10500	-33	44	0
10600	-29	41	0
10700	-35	44	8
10800	-41	52	0
10900	-38	51	0
11000	-43	50	9
11100	-45	61	0
11200	-45	57	0
11300	-48	63	1
11400	-55	72	-4
11500	-58	68	8
11600	-68	78	0
11700	-67	83	0
11800	-74	74	8
11900	12	-114	122
12000	12	62	-52
12100	8	73	-58
12200	8	77	-65
12300	12	64	-52
12400	6	63	-51
12500	11	61	-45
12600	12	50	-38
12700	7	54	-48
12800	9	51	-39
12900	9	44	-32
13000	5	48	-39
13100	12	39	-26
13200	7	37	-25
13300	10	41	-33
13400	13	31	-18
13500	8	37	-25
13600	12	33	-15
13700	9	16	-14
13800	5	32	-25
13900	11	26	-16
14000	8	24	-12
14100	8	32	-23
14200	14	24	-10
14300	6	28	-16
14400	12	25	-20
14500	12	23	-8
14600	5	29	-19
14700	11	27	-16
14800	12	24	-11
14900	5	32	-24
15000	11	29	-20
15100	6	31	-19
15200	12	35	-24
15300	12	30	-15
15400	7	37	-25
15500	12	38	-33
15600	12	34	-16
15700	7	48	-37
15800	6	51	-36
15900	8	47	-32
16000	5	53	-44
16100	10	51	-36
16200	7	57	-45
16300	8	64	-55
16400	12	63	-48
16500	6	72	-58
16600	10	77	-55
16700	12	76	-62
16800	-123	8	129
16900	74	7	-52
17000	78	0	-58
17100	73	12	-65
17200	77	3	-52
17300	65	8	-49
17400	63	8	-52
17500	61	2	-37
17600	53	8	-38
17700	57	6	-36
17800	51	4	-27
17900	45	9	-37
18000	48	3	-28
18100	41	0	-22
18200	37	9	-30
18300	41	4	-18
18400	33	8	-19
18500	36	8	0
18600	38	5	-9
18700	28	11	-25
18800	35	6	-13
18900	29	5	-16
19000	24	9	-17
19100	32	3	-5
19200	23	7	-11
19300	28	8	-13
19400	29	2	-3
19500	24	10	-12
19600	33	7	-13
19700	29	5	-6
19800	28	9	-18
19900	33	4	-10
20000	32	5	-12
20100	34	9	-23
20200	41	5	-15
20300	36	10	-24
20400	41	12	-29
20500	45	2	-20
20600	42	11	-32
20700	52	6	-33
20800	51	0	-29
20900	50	9	-44
21000	61	4	-39
21100	58	0	-43
21200	63	9	-52
21300	70	4	-40
21400	70	7	-61
21500	87	8	-66
21600	-109	127	14
21700	76	-53	0
21800	88	-64	0
21900	78	-62	6
22000	74	-54	-5
22100	74	-55	8
22200	62	-52	1
22300	63	-43	0
22400	59	-42	8
22500	50	-34	0
22600	53	-33	0
22700	51	-33	6
22800	44	-24	0
22900	46	-26	7
23000	39	-21	6
23100	37	-17	-2
23200	40	-24	10
23300	33	-16	0
23400	36	-16	-13
23500	33	-16	9
23600	30	-12	0
23700	34	-15	5
23800	32	-13	8
23900	31	-9	-4
24000	33	-14	0
24100	28	-10	3
24200	31	-9	0
24300	33	-15	12
24400	28	-13	0
24500	33	-12	0
24600	38	-26	8
24700	34	-14	0
24800	38	-22	0
24900	38	-20	6
25000	37	-19	-4
25100	45	-28	7
25200	40	-26	0
25300	46	-25	10
25400	51	-33	7
25500	47	-30	0
25600	56	-37	0
25700	54	-39	6
25800	57	-37	0
25900	64	-47	7
26000	64	-45	6
26100	70	-48	-2
26200	77	-68	6
26300	73	-55	0
26400	84	-64	0
26500	83	-68	6
26600	89	-70	0
26700	12	132	-126
26800	6	-55	64
26900	8	-61	63
27000	12	-60	70
27100	12	-57	64
27200	10	-51	55
27300	12	-53	62
27400	5	-48	51
27500	12	-45	50
27600	7	-42	54
27700	12	-38	38
27800	14	-39	50
27900	6	-36	45
28000	10	-32	34
28100	12	-36	42
28200	5	-27	32
28300	10	-25	34
28400	12	-41	38
28500	5	-22	26
28600	11	-25	29
28700	8	-26	32
28800	8	-19	20
28900	12	-23	29
29000	6	-16	25
29100	8	-12	18
29200	12	-20	30
29300	5	-15	19
29400	11	-12	18
29500	9	-20	25
29600	5	-14	16
29700	12	-19	24
29800	8	-20	25
29900	8	-16	18
30000	12	-23	23
30100	6	-20	25
30200	12	-19	24
30300	12	-26	36
30400	5	-22	25
30500	12	-25	31
30600	12	-33	38
30700	5	-24	25
30800	12	-33	37
30900	12	-34	45
31000	8	-35	37
31100	12	-44	50
31200	5	-43	51
31300	10	-45	50
31400	12	-55	66
31500	5	-54	58
31600	10	-64	68
31700	9	-68	78
31800	128	9	-132
31900	-47	6	57
32000	-58	5	70
32100	-55	9	51
32200	-45	3	60
32300	-45	8	51
32400	-39	12	37
32500	-32	4	45
32600	-36	8	33
32700	-28	6	34
32800	-25	8	38
32900	-26	10	25
33000	-18	6	24
33100	-19	5	27
33200	-16	12	15
33300	-11	7	24
33400	-15	8	19
33500	-13	12	10
33600	0	2	24
33700	-7	10	6
33800	-13	9	12
33900	0	12	16
34000	-8	9	6
