# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	73	8	-84
100	83	4	-58
200	73	8	-66
300	74	6	-55
400	67	5	-46
500	63	12	-53
600	62	4	-39
700	53	0	-37
800	50	9	-42
900	54	4	-30
1000	46	8	-34
1100	49	8	-21
1200	51	-4	-16
1300	37	8	-25
1400	41	6	-26
1500	35	0	-16
1600	34	9	-23
1700	38	4	-13
1800	29	7	-12
1900	31	0	-20
2000	32	1	-7
2100	25	0	-12
2200	29	7	-16
2300	29	4	-5
2400	23	12	-12
2500	29	6	-10
2600	29	0	-3
2700	24	12	-16
2800	32	4	-7
2900	29	0	-6
3000	31	9	-18
3100	35	4	-10
3200	30	8	-16
3300	34	8	-23
3400	38	2	-10
3500	36	8	-24
3600	44	6	-29
3700	45	0	-22
3800	44	9	-34
3900	53	6	-31
4000	53	5	-32
4100	57	9	-45
4200	65	4	-39
4300	62	8	-49
4400	66	12	-58
4500	77	4	-51
4600	74	10	-64
4700	-110	133	0
4800	77	-68	6
4900	81	-62	0
5000	82	-63	0
5100	77	-58	6
5200	70	-49	0
5300	69	-51	8
5400	59	-42	1
5500	57	-38	0
5600	54	-42	12
5700	52	-30	0
5800	50	-25	0
5900	51	-29	6
6000	41	-22	0
6100	45	-24	0
6200	38	-26	6
6300	37	-17	-4
6400	38	-20	7
6500	32	-15	3
6600	34	-12	-4
6700	33	-18	9
6800	29	-13	1
6900	31	-12	-8
7000	32	-15	9
7100	24	-8	0
7200	31	-11	0
7300	29	-13	7
7400	24	-9	0
7500	33	-14	0
7600	30	-15	9
7700	31	-12	0
7800	38	-19	0
7900	33	-26	6
8000	37	-17	-4
8100	41	-23	7
8200	37	-20	1
8300	44	-22	0
8400	45	-29	9
8500	41	-26	0
8600	55	-32	0
8700	53	-44	6
8800	50	-32	-6
8900	64	-41	0
9000	58	-42	6
9100	63	-45	0
9200	70	-52	5
9300	68	-52	0
9400	76	-56	5
9500	80	-65	8
9600	81	-65	0
9700	92	-70	0
9800	9	134	-125
9900	5	-53	55
10000	13	-64	73
10100	9	-62	70
10200	8	-51	58
10300	12	-57	63
10400	5	-52	54
10500	10	-47	49
10600	12	-49	57
10700	5	-39	45
10800	10	-38	44
10900	9	-39	48
11000	8	-33	36
11100	11	-34	41
11200	8	-33	41
11300	8	-25	30
11400	4	-29	36
11500	8	-26	38
11600	8	-19	24
11700	16	-26	35
11800	7	-20	32
11900	11	-19	28
12000	12	-23	32
12100	5	-16	20
12200	11	-18	24
12300	9	-26	29
12400	5	-14	19
12500	11	-16	23
12600	6	-16	29
12700	5	-12	16
12800	20	-18	24
12900	7	-16	25
13000	8	-12	18
13100	12	-20	29
13200	8	-18	25
13300	12	-19	21
13400	12	-26	30
13500	5	-21	25
13600	11	-24	31
13700	9	-28	38
13800	5	-25	28
13900	12	-33	37
14000	12	-34	45
14100	8	-35	36
14200	12	-42	50
14300	8	-42	51
14400	8	-45	46
14500	14	-55	65
14600	8	-56	64
14700	10	-62	62
14800	12	-71	84
14900	128	10	-133
15000	-49	6	55
15100	-58	5	67
15200	-55	9	53
15300	-46	6	56
15400	-45	7	51
15500	-39	9	39
15600	-32	5	44
15700	-34	8	38
15800	-29	9	29
15900	-25	4	43
16000	-27	8	29
16100	-20	9	24
16200	-16	4	27
16300	-20	13	19
16400	-12	6	16
16500	-12	8	25
16600	-4	9	9
16700	-6	4	16
16800	-9	5	16
16900	-7	9	4
17000	-4	4	14
17100	-8	8	12
17200	-7	12	5
17300	0	5	16
