# Time [us]	PORT_Mip_Volt_DCLink	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	--------------------	-------------------	-------------------
0	9861	125	0
100	9899	85	0
200	9867	50	9
300	9912	25	0
400	9893	-7	8
500	9861	-13	6
600	9893	-19	-4
700	9867	0	6
800	9861	37	0
900	9906	80	5
1000	9867	128	9
1100	9861	167	6
1200	9893	206	28
1300	9842	237	58
1400	9861	-546	554
1500	9893	-69	89
1600	9861	102	-77
1700	9944	93	-73
1800	9874	55	-39
1900	9861	31	-11
2000	9880	0	16
2100	9842	-15	41
2200	9861	-19	36
2300	9880	0	20
2400	9861	34	-12
2500	9893	77	-60
2600	9867	114	-97
2700	9861	165	-146
2800	9880	215	-200
2900	9867	2	497
3000	9861	8	-24
3100	9893	6	-123
3200	9867	0	-93
3300	9861	9	-70
3400	9880	4	-23
3500	9861	0	12
3600	9887	8	28
3700	9867	2	63
3800	9861	8	58
3900	9893	6	21
4000	9867	12	-16
4100	9861	11	-79
4200	9893	6	-116
4300	9835	21	-164
4400	9861	45	-236
4500	9874	527	16
4600	9899	15	6
4700	9932	-114	-7
4800	9867	-78	9
4900	9861	-56	0
5000	9893	-25	0
5100	9835	0	6
5200	9861	25	-4
5300	9874	28	7
5400	9861	20	1
5500	9899	-6	0
5600	9867	-45	9
5700	9861	-88	0
5800	9893	-128	0
5900	9848	-174	8
6000	9861	-222	0
6100	9880	484	-487
6200	9874	-4	3
6300	9932	-116	111
6400	9880	-103	104
6500	9861	-62	58
6600	9893	-25	24
6700	9842	0	6
6800	9861	25	-28
6900	9893	35	-39
7000	9861	37	-37
7100	9906	9	-10
7200	9880	-33	37
7300	9912	-74	77
7400	9893	-119	118
7500	9867	-181	169
7600	9861	-236	206
7700	9919	15	-548
7800	9880	5	-31
7900	9906	14	99
8000	9874	4	91
8100	9861	8	51
8200	9893	9	8
8300	9880	5	-11
8400	9861	6	-41
8500	9893	8	-58
8600	9867	0	-33
8700	9861	9	0
8800	9893	4	50
8900	9867	0	233
9000	9899	9	134
9100	9880	2	195
9200	9861	-464	0
9300	9944	77	-4
9400	9867	157	7
9500	9861	131	4
9600	9880	93	0
9700	9835	57	8
9800	9861	29	-5
9900	9893	0	0
10000	9861	-16	6
10100	9912	-19	-2
10200	9880	-8	6
10300	9861	30	3
10400	9893	67	0
10500	9867	115	8
10600	9861	158	3
10700	9919	193	18
10800	9848	231	53
10900	9919	-539	548
11000	9880	-49	72
11100	9861	115	-99
11200	9893	96	-81
11300	9867	68	-37
11400	9861	33	-16
11500	9893	3	15
11600	9867	-15	38
11700	9893	-16	37
11800	9867	-12	33
11900	9835	29	-9
12000	9893	64	-26
12100	9867	107	-83
12200	9861	156	-140
12300	9893	206	-184
12400	9861	263	-244
12500	9925	12	498
12600	9893	8	62
12700	9861	8	-83
12800	9880	6	-60
12900	9867	4	-30
13000	9861	9	0
13100	9893	6	30
13200	9861	0	54
13300	9893	9	53
13400	9867	3	44
13500	9912	0	-12
13600	9893	6	-47
13700	9867	4	-103
13800	9861	22	-162
13900	9893	38	-219
14000	9861	524	19
14100	9912	-4	-7
14200	9893	-129	8
14300	9861	-103	6
14400	9906	-64	0
14500	9867	-36	7
14600	9861	0	0
14700	9919	16	0
14800	9854	31	3
14900	9906	29	0
15000	9867	-4	7
15100	9861	-36	3
15200	9893	-77	-2
15300	9867	-123	8
15400	9861	-162	0
15500	9893	-212	0
15600	9867	482	-476
15700	9861	-16	12
15800	9880	-128	128
15900	9861	-105	106
16000	9899	-67	63
16100	9867	-39	37
16200	9861	-4	0
16300	9932	19	-21
16400	9874	24	-32
16500	9861	45	-49
16600	9880	13	-14
16700	9848	-26	25
16800	9899	-61	58
16900	9867	-116	117
17000	9861	-165	157
17100	9893	-227	176
17200	9867	0	-541
17300	9861	14	-22
17400	9893	6	115
17500	9874	0	103
17600	9925	9	49
17700	9893	2	24
17800	9854	0	-11
17900	9919	9	-13
18000	9867	16	-45
18100	9861	9	-49
18200	9893	6	-4
18300	9867	0	46
18400	9861	8	84
18500	9893	4	134
18600	9861	0	180
18700	9899	-460	-4
18800	9880	84	9
18900	9861	166	0
19000	9893	135	0
19100	9867	89	8
19200	9861	67	0
19300	9919	27	0
19400	9848	0	3
19500	9919	-9	0
19600	9867	-29	8
19700	9861	-10	3
19800	9893	25	4
19900	9867	60	6
20000	9861	109	0
20100	9893	154	12
20200	9848	186	25
20300	9887	227	39
20400	9880	-540	557
20500	9809	-31	51
20600	9932	122	-103
20700	9867	95	-66
20800	9912	74	-58
20900	9919	39	-20
21000	9842	8	16
21100	9861	-9	25
21200	9867	-28	49
21300	9861	-14	33
21400	9899	25	-8
21500	9867	52	-33
21600	9861	105	-88
21700	9893	145	-129
21800	9835	192	-174
21900	9861	264	-241
22000	9893	3	508
22100	9874	5	45
22200	9912	12	-94
22300	9899	2	-68
22400	9861	8	-38
22500	9906	8	0
22600	9835	5	32
22700	9861	8	45
22800	9893	4	63
22900	9854	5	51
23000	9899	9	-11
23100	9874	4	-52
23200	9861	8	-103
23300	9893	19	-155
23400	9867	34	-204
23500	9861	524	12
23600	9919	-16	15
23700	9867	-132	6
23800	9899	-99	-5
23900	9880	-71	12
24000	9861	-26	0
24100	9880	0	-4
24200	9867	15	8
24300	9861	33	0
24400	9893	29	0
24500	9848	0	8
24600	9861	-25	0
24700	9880	-74	0
24800	9861	-116	3
24900	9887	-154	-4
25000	9867	-208	4
25100	9848	-265	0
25200	9899	504	-505
25300	9893	57	-56
25400	9861	-86	78
25500	9906	-74	76
25600	9848	-39	38
25700	9893	-6	1
25800	9867	12	-13
25900	9861	36	-37
26000	9899	41	-41
26100	9867	15	-14
26200	9861	-17	13
26300	9893	-61	62
26400	9854	-110	116
26500	9861	-157	145
26600	9893	-224	198
26700	9861	-284	232
26800	9932	12	-569
26900	9899	5	-105
27000	9861	8	58
27100	9893	6	57
27200	9867	5	29
27300	9861	9	-12
27400	9893	4	-28
27500	9861	5	-47
27600	9899	12	-52
27700	9874	2	-4
27800	9861	10	35
27900	9906	8	82
28000	9867	4	135
28100	9861	6	174
28200	9893	6	231
28300	9880	-480	8
28400	9932	12	0
28500	9893	124	0
28600	9848	102	6
28700	9861	72	-2
28800	9874	33	8
28900	9861	9	0
29000	9906	-11	-10
29100	9867	-26	8
29200	9861	-9	0
29300	9899	25	0
29400	9867	55	6
29500	9861	106	0
29600	9893	141	8
29700	9861	179	20
