# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	70	2	-41
100	68	8	-58
200	81	6	-65
300	-103	128	8
400	73	-54	0
500	87	-67	0
600	80	-65	6
700	76	-58	-4
800	77	-57	7
900	65	-49	3
1000	63	-41	0
1100	61	-45	11
1200	50	-34	0
1300	57	-32	0
1400	51	-26	8
1500	44	-25	0
1600	46	-30	0
1700	45	-20	6
1800	37	-17	-7
1900	40	-23	8
2000	33	-18	6
2100	37	-16	-23
2200	38	-20	8
2300	29	-13	0
2400	34	-12	0
2500	32	-15	8
2600	29	-9	0
2700	33	-14	0
2800	25	-13	6
2900	29	-9	0
3000	35	-15	7
3100	29	-13	0
3200	31	-12	0
3300	38	-16	8
3400	31	-14	0
3500	37	-19	0
3600	38	-26	6
3700	34	-17	0
3800	45	-24	0
3900	40	-26	6
4000	44	-22	-4
4100	51	-33	8
4200	45	-29	1
4300	57	-32	5
4400	58	-39	8
4500	53	-37	1
4600	65	-44	0
4700	61	-45	6
4800	63	-48	-12
4900	77	-58	8
5000	70	-55	0
5100	81	-59	0
5200	83	-68	9
5300	84	-67	0
5400	12	135	-129
5500	7	-58	67
5600	8	-61	65
5700	12	-64	73
5800	6	-60	67
5900	10	-51	57
6000	12	-55	63
6100	5	-44	51
6200	11	-45	49
6300	12	-45	53
6400	5	-35	36
6500	11	-38	47
6600	7	-39	45
6700	8	-32	34
6800	12	-34	41
6900	6	-28	35
7000	8	-25	29
7100	9	-29	40
7200	5	-24	26
7300	12	-25	29
7400	9	-23	33
7500	8	-15	22
7600	14	-19	31
7700	10	-20	25
7800	12	-12	16
7900	12	-21	24
8000	7	-15	19
8100	12	-16	28
8200	12	-20	29
8300	5	-15	18
8400	11	-16	21
8500	9	-20	27
8600	7	-14	17
8700	13	-20	28
8800	7	-20	29
8900	8	-19	23
9000	12	-26	33
9100	6	-23	25
9200	8	-22	24
9300	12	-33	38
9400	5	-24	26
9500	10	-32	37
9600	8	-34	45
9700	0	-35	37
9800	12	-41	49
9900	6	-42	51
10000	10	-43	49
10100	12	-58	63
10200	5	-55	64
10300	10	-58	76
10400	9	-69	77
10500	128	10	-128
10600	-45	6	50
10700	-61	8	59
10800	-55	9	52
10900	-45	4	58
11000	-45	8	51
11100	-39	9	40
11200	-34	2	45
11300	-36	8	35
11400	-28	7	24
11500	-25	12	38
11600	-29	11	25
11700	-19	8	28
11800	-19	5	29
11900	-20	9	15
12000	-12	4	21
12100	-15	0	16
12200	-13	9	10
12300	-6	4	21
12400	-10	0	12
12500	-5	8	12
12600	0	12	16
12700	-8	8	6
12800	-3	6	12
12900	0	5	16
13000	-7	9	6
13100	-3	4	14
13200	-9	0	14
13300	-7	8	8
13400	-6	4	23
13500	-15	8	16
13600	-13	6	21
13700	-12	0	25
13800	-20	12	12
13900	-17	4	24
14000	-24	0	32
14100	-26	12	24
14200	-25	5	37
14300	-34	8	38
14400	-36	9	34
14500	-35	4	48
14600	-44	8	45
14700	-44	6	50
14800	-48	2	58
14900	-55	9	53
15000	-55	6	63
15100	135	-126	3
15200	-62	77	0
15300	-64	77	0
15400	-69	76	3
15500	-60	77	-2
15600	-56	66	8
15700	-57	63	0
15800	-48	64	0
15900	-45	50	8
16000	-45	58	0
16100	-36	51	0
16200	-38	47	3
16300	-34	51	-4
16400	-29	41	0
16500	-33	44	1
16600	-26	45	0
16700	-25	36	6
16800	-26	41	0
16900	-21	33	0
17000	-21	31	6
17100	-23	38	0
17200	-17	29	0
17300	-21	31	3
17400	-20	32	-2
17500	-16	24	8
17600	-20	29	0
17700	-14	29	15
17800	-12	24	9
17900	-20	30	0
18000	-17	29	0
18100	-19	28	6
18200	-21	35	0
18300	-12	25	0
18400	-24	36	3
18500	-20	35	-2
18600	-19	31	7
18700	-28	41	0
18800	-26	38	-4
18900	-25	37	8
19000	-29	45	0
19100	-29	41	0
19200	-33	34	6
19300	-36	51	0
19400	-35	49	0
19500	-45	57	3
19600	-45	59	-4
19700	-41	57	8
19800	-52	68	1
19900	-52	66	0
20000	-58	70	8
20100	-65	80	0
20200	-66	78	0
20300	-75	86	3
20400	8	-112	121
20500	12	60	-49
20600	6	76	-64
20700	12	70	-58
20800	12	63	-48
20900	5	64	-55
21000	12	58	-45
21100	8	50	-38
21200	12	58	-45
21300	14	47	-34
21400	7	49	-35
21500	10	45	-36
21600	12	37	-24
21700	5	40	-32
21800	11	38	-26
21900	7	31	-19
22000	7	38	-31
22100	12	31	-20
22200	6	31	-19
22300	10	33	-26
22400	12	27	-13
22500	5	31	-19
22600	12	29	-21
22700	9	21	-9
22800	2	27	-21
22900	8	25	-13
23000	7	24	-9
23100	8	29	-18
23200	12	24	-10
23300	6	29	-16
23400	10	32	-20
23500	12	26	-12
23600	7	33	-24
23700	10	32	-21
