# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	5	30	-12
100	11	19	0
200	9	0	16
300	8	20	6
400	12	4	8
500	8	21	0
600	8	38	-27
700	12	50	-33
800	6	76	-56
900	10	96	-68
1000	9	111	-92
1100	5	142	-128
1200	12	167	-155
1300	-286	0	315
1400	115	9	-99
1500	151	4	-120
1600	128	0	-103
1700	111	12	-97
1800	96	4	-61
1900	70	7	-51
2000	59	6	-29
2100	41	5	-9
2200	18	9	0
2300	17	4	12
2400	7	0	19
2500	8	8	12
2600	20	2	12
2700	29	7	-9
2800	50	8	-26
2900	70	18	-38
3000	89	9	-72
3100	116	6	-87
3200	135	5	-109
3300	160	12	-142
3400	187	5	-159
3500	-309	327	1
3600	107	-82	-1
3700	145	-124	6
3800	121	-103	3
3900	107	-83	0
4000	87	-65	6
4100	63	-44	-4
4200	56	-32	0
4300	41	-16	3
4400	28	0	-4
4500	16	0	14
4600	15	8	0
4700	22	3	0
4800	32	-33	9
4900	37	-19	0
5000	63	-38	0
5100	77	-53	6
5200	99	-74	-4
5300	122	-100	0
5400	139	-120	1
5500	166	-141	-4
5600	193	-169	9
5700	5	312	-309
5800	10	-88	89
5900	9	-129	132
6000	5	-104	105
6100	12	-92	92
6200	8	-71	77
6300	10	-51	49
6400	12	-39	41
6500	7	-23	25
6600	11	-12	12
6700	12	-10	7
6800	5	7	-9
6900	12	4	-4
7000	8	-4	6
7100	8	-12	10
7200	12	-33	37
7300	6	-47	51
7400	10	-64	66
7500	12	-92	99
7600	5	-113	112
7700	12	-140	145
7800	12	-168	174
7900	318	8	-332
8000	-83	3	91
8100	-125	8	122
8200	-103	9	99
8300	-83	2	90
8400	-71	7	61
8500	-45	6	44
8600	-30	0	33
8700	-33	9	6
8800	-2	6	0
8900	6	0	-4
9000	5	9	-16
9100	6	2	-3
9200	-12	9	6
9300	-23	12	-10
9400	-38	4	49
9500	-68	8	58
9600	-82	6	82
9700	-103	5	106
9800	-123	9	121
9900	-151	4	153
10000	299	-297	3
10100	-110	122	-2
10200	-135	142	7
10300	-122	128	0
10400	-98	109	0
10500	-80	86	11
10600	-65	75	0
10700	-48	51	5
10800	-32	37	19
10900	-23	32	0
11000	-6	14	0
11100	0	8	3
11200	0	12	-2
11300	0	8	9
11400	-20	24	0
11500	-29	41	0
11600	-45	53	9
11700	-68	78	0
11800	-87	94	0
11900	-109	115	6
12000	-139	145	0
12100	-154	163	0
12200	-184	189	12
12300	10	-317	327
12400	6	89	-69
12500	5	131	-116
12600	11	117	-123
12700	9	94	-77
12800	5	80	-64
12900	11	59	-42
13000	9	44	-25
13100	5	35	-24
13200	12	19	0
13300	6	12	1
13400	8	12	2
13500	12	8	10
13600	4	23	0
13700	6	35	-20
13800	12	50	-30
13900	7	72	-62
14000	12	87	-71
14100	7	111	-96
14200	8	138	-126
