# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-136	7	128
100	-149	8	147
200	-170	4	177
300	-200	8	190
400	-219	6	224
500	-270	0	277
600	-339	9	335
700	-435	4	437
800	309	-305	3
900	-248	257	-4
1000	-328	336	8
1100	-353	360	3
1200	-331	341	-2
1300	-286	292	8
1400	-232	239	0
1500	-172	183	-15
1600	-151	160	8
1700	-142	151	0
1800	-129	138	0
1900	-128	134	9
2000	-137	146	0
2100	-146	154	0
2200	-165	173	6
2300	-184	196	0
2400	-211	219	0
2500	-251	257	3
2600	-310	319	-2
2700	-391	395	9
2800	-498	505	6
2900	-619	612	-4
3000	12	-315	335
3100	5	221	-206
3200	11	283	-271
3300	8	289	-269
3400	5	267	-254
3500	14	206	-195
3600	7	179	-164
3700	8	161	-149
3800	6	140	-124
3900	5	140	-127
4000	10	138	-123
4100	9	140	-122
4200	5	161	-146
4300	13	174	-157
4400	6	192	-174
4500	5	225	-211
4600	12	255	-237
4700	6	321	-302
4800	8	412	-398
4900	12	514	-497
5000	-300	8	319
5100	244	8	-216
5200	309	0	-277
5300	308	11	-294
5400	290	6	-261
5500	236	0	-212
5600	190	9	-173
5700	170	4	-140
5800	149	8	-128
5900	144	12	-97
6000	141	4	-107
6100	139	9	-120
6200	159	6	-129
6300	170	0	-141
6400	192	9	-177
6500	225	4	-190
6600	251	8	-232
6700	308	12	-286
6800	386	0	-354
6900	479	16	-472
7000	-306	327	0
7100	257	-232	6
7200	327	-307	-6
7300	348	-325	0
7400	319	-300	3
7500	273	-251	-4
7600	215	-194	6
7700	174	-157	0
7800	165	-138	7
7900	148	-129	9
8000	140	-121	0
8100	149	-126	0
8200	156	-139	9
8300	173	-147	-5
8400	196	-171	0
8500	211	-194	1
8600	244	-222	-2
8700	290	-271	7
8800	353	-336	0
8900	451	-428	0
9000	554	-538	6
9100	8	322	-322
9200	12	-223	228
9300	6	-294	299
9400	8	-306	302
9500	16	-289	300
9600	8	-245	244
9700	8	-180	179
9800	12	-161	165
9900	5	-138	132
10000	12	-128	131
10100	8	-123	128
10200	8	-122	120
10300	12	-136	140
10400	8	-149	148
10500	10	-164	160
10600	12	-192	195
10700	6	-216	219
10800	10	-264	263
10900	12	-342	348
11000	8	-443	438
11100	24	-565	553
11200	328	5	-325
11300	-207	9	197
11400	-267	6	266
11500	-269	0	264
11600	-236	8	226
11700	-180	2	186
11800	-158	0	154
11900	-139	8	134
12000	-125	4	127
12100	-124	9	111
12200	-121	6	113
12300	-128	-7	132
12400	-149	9	136
12500	-161	6	166
12600	-192	0	199
12700	-223	12	210
12800	-259	5	250
12900	-327	0	322
13000	-419	9	413
13100	317	-309	8
13200	-255	263	3
13300	-342	351	0
13400	-360	366	9
13500	-345	352	0
13600	-300	309	-4
13700	-238	269	9
13800	-184	190	0
13900	-153	165	0
14000	-141	147	9
14100	-132	141	0
14200	-125	136	0
