# Time [us]	PORT_Mip_Volt_DCLink	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
20600	9861	-8	32
20700	9899	29	-13
20800	9867	57	-40
20900	9861	111	-90
21000	9893	154	-129
21100	9867	198	-175
21200	9861	265	-248
21300	9919	3	508
21400	9867	0	58
21500	9861	9	-91
21600	9867	2	-65
21700	9707	7	-32
21800	9899	6	-2
21900	9867	2	32
22000	9861	8	51
22100	9893	6	62
22200	9867	5	41
22300	9861	9	-19
22400	9880	6	-59
22500	9835	5	-107
22600	9932	22	-163
22700	9880	36	-215
22800	9861	531	13
22900	9932	0	11
23000	9867	-132	9
23100	9861	-101	0
23200	9867	-69	0
23300	9854	-34	6
23400	9893	1	-4
23500	9874	15	7
23600	9835	31	1
23700	9899	29	-4
23800	9867	-7	6
23900	9861	-33	0
24000	9893	-80	0
24100	9867	-120	6
24200	9912	-161	0
24300	9874	-211	0
24400	9861	489	-483
24500	9893	-19	14
24600	9867	-130	132
24700	9835	-103	104
24800	9899	-70	66
24900	9867	-39	40
25000	9861	-4	0
25100	9893	17	-16
25200	9848	34	-29
25300	9861	43	-42
25400	9893	13	-10
25500	9861	-26	25
25600	9925	-61	60
25700	9880	-116	117
25800	9861	-161	154
25900	9893	-222	186
26000	9835	0	-538
26100	9861	14	-19
26200	9893	6	115
26300	9867	0	103
26400	9899	9	52
26500	9880	7	24
26600	9861	8	-9
26700	9906	9	-39
26800	9867	4	-48
26900	9861	8	-48
27000	9919	12	-2
27100	9867	4	45
27200	9861	9	83
27300	9919	6	126
27400	9867	5	180
27500	9861	9	228
27600	9867	-480	0
27700	9861	0	3
27800	9906	119	0
27900	9874	95	9
28000	9861	67	1
28100	9899	33	-2
28200	9867	2	8
28300	9861	-11	0
28400	9906	-24	0
28500	9867	-13	7
28600	9912	26	0
28700	9919	58	0
28800	9861	108	8
28900	9912	154	0
29000	9867	184	24
29100	9835	224	41
29200	9893	-533	547
29300	9867	-29	49
29400	9861	126	-109
29500	9893	106	-85
29600	9867	66	-45
29700	9861	40	-25
29800	9880	7	10
29900	9848	-13	32
30000	9861	-19	34
30100	9874	-16	37
30200	9887	21	0
30300	9919	54	-42
30400	9867	95	-75
30500	9861	146	-132
30600	9874	190	-174
30700	9835	250	-228
30800	9861	12	492
30900	9893	3	34
31000	9861	0	-90
31100	9906	9	-84
31200	9867	4	-37
31300	9861	8	0
31400	9893	6	18
31500	9867	4	51
31600	9861	8	54
31700	9919	8	44
31800	9861	0	0
31900	9899	12	-56
32000	9867	4	-94
32100	9848	15	-145
32200	9893	38	-207
32300	9867	511	27
32400	9861	-30	9
32500	9919	-138	0
32600	9867	-111	6
32700	9861	-72	0
32800	9880	-42	0
32900	9854	-10	6
33000	9912	20	-4
33100	9867	26	7
33200	9861	31	0
33300	9919	6	0
33400	9867	-26	7
33500	9861	-66	0
33600	9867	-111	0
33700	9835	-155	9
33800	9861	-196	-4
33900	9867	-263	0
34000	9861	501	-499
