# Time [us]	PORT_Mip_Volt_DCLink	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	--------------------	-------------------	-------------------
0	9867	10	9
100	9912	49	6
200	9932	96	8
300	9867	134	11
400	9861	178	12
500	9867	212	34
600	9829	248	64
700	9861	-552	563
800	9893	-95	116
900	9861	82	-61
1000	9906	80	-65
1100	9880	44	-24
1200	9861	20	0
1300	9906	0	2
1400	9867	-20	45
1500	9912	-16	32
1600	9893	12	10
1700	9874	41	-22
1800	9899	90	-73
1900	9867	127	-110
2000	9861	179	-159
2100	9887	232	-215
2200	9867	0	497
2300	9861	8	0
2400	9899	6	-110
2500	9867	-13	-82
2600	9861	9	-58
2700	9893	6	-15
2800	9854	0	19
2900	9861	9	33
3000	9880	2	63
3100	9861	0	54
3200	9925	12	5
3300	9880	5	-28
3400	9861	10	-87
3500	9880	12	-132
3600	9835	24	-180
3700	9861	53	-251
3800	9893	541	10
3900	9867	37	6
4000	9899	-101	-4
4100	9874	-87	0
4200	9861	-52	3
4300	9899	-17	0
4400	9867	4	9
4500	9861	29	0
4600	9932	32	0
4700	9880	10	9
4800	9861	-4	0
4900	9919	-55	0
5000	9835	-97	6
5100	9887	-135	-4
5200	9867	-187	6
5300	9861	-239	0
5400	9893	493	-497
5500	9867	15	-14
5600	9861	-103	103
5700	9893	-91	89
5800	9867	-55	58
5900	9861	-20	15
6000	9880	1	-1
6100	9861	24	-25
6200	9919	41	-45
6300	9867	28	-29
6400	9861	0	0
6500	9893	-41	37
6600	9848	-91	91
6700	9861	-132	128
6800	9880	-193	176
6900	9848	-253	214
7000	9893	16	-556
7100	9893	4	-53
7200	9912	8	96
7300	9919	9	74
7400	9874	2	48
7500	9861	8	3
7600	9932	6	-20
7700	9867	0	-35
7800	9861	12	-56
7900	9893	5	-26
8000	9861	8	16
8100	9893	9	57
8200	9867	2	115
8300	9861	8	148
8400	9893	8	205
8500	9867	-471	11
8600	9861	58	0
8700	9899	145	0
8800	9848	118	6
8900	9861	90	0
9000	9874	51	8
9100	9854	21	6
9200	9899	0	-4
9300	9893	-23	8
9400	9861	-15	0
9500	9919	8	5
9600	9842	31	6
9700	9861	85	0
9800	9893	124	0
9900	9861	163	12
10000	9861	206	21
10100	9867	234	57
10200	9861	-548	567
10300	9919	-64	82
10400	9867	99	-78
10500	9861	91	-74
10600	9919	58	-39
10700	9874	21	-3
10800	9861	0	11
10900	9893	-18	37
11000	9835	-26	45
11100	9887	3	13
11200	9867	31	-11
11300	9861	73	-56
11400	9893	119	-110
11500	9867	160	-140
11600	9861	217	-201
11700	9893	6	489
11800	9867	5	-22
11900	9861	9	-127
12000	9867	4	-95
12100	9861	8	-64
12200	9919	9	-29
12300	9867	0	14
12400	9861	12	32
12500	9880	6	50
12600	9835	5	64
12700	9861	9	23
12800	9893	4	-16
12900	9848	0	-70
13000	9861	9	-123
13100	9867	17	-168
13200	9848	44	-230
13300	9906	534	8
13400	9867	11	9
13500	9861	-114	0
13600	9932	-95	0
13700	9874	-68	9
13800	9912	-22	0
13900	9893	0	16
14000	9848	24	1
14100	9893	33	-4
14200	9867	16	10
14300	9861	-7	0
14400	9893	-41	-7
14500	9867	-91	8
14600	9861	-125	0
14700	9893	-172	0
14800	9848	-226	8
14900	9861	493	-492
15000	9893	-7	7
15100	9861	-118	119
15200	9919	-95	95
15300	9867	-68	66
15400	9861	-26	25
15500	9880	0	-1
15600	9848	18	-17
15700	9861	40	-45
15800	9893	35	-39
15900	9861	0	-6
16000	9906	-25	23
16100	9874	-78	78
16200	9861	-120	122
16300	9893	-174	163
16400	9867	-239	209
16500	9861	15	-547
16600	9925	12	-36
16700	9867	5	111
16800	9861	10	82
16900	9893	6	57
17000	9848	0	19
17100	9893	9	-20
17200	9874	4	-33
17300	9861	8	-51
17400	9899	9	-42
17500	9867	5	9
17600	9861	14	45
17700	9899	9	95
17800	9867	12	143
17900	9861	9	180
18000	9893	-464	0
18100	9867	76	6
18200	9925	164	0
18300	9919	124	0
18400	9861	95	6
18500	9887	61	-4
18600	9867	21	0
18700	9861	0	0
18800	9906	-16	-7
18900	9867	-28	8
19000	9861	-2	0
19100	9893	29	0
19200	9854	63	6
19300	9861	117	0
19400	9880	152	10
19500	9861	192	29
19600	9912	235	42
19700	9893	-545	566
19800	9861	-48	64
19900	9906	116	-94
20000	9867	102	-74
20100	9861	66	-50
20200	9893	29	-13
20300	9848	0	19
20400	9861	-12	28
20500	9893	-25	47
