# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	6	-124	128
100	8	-127	131
200	12	-137	149
300	5	-136	136
400	11	-146	153
500	8	-155	167
600	8	-161	163
700	12	-176	186
800	6	-184	193
900	89	9	-86
1000	-90	4	107
1100	-128	0	128
1200	-138	6	144
1300	-148	8	159
1400	-174	10	151
1500	-145	3	160
1600	-147	8	154
1700	-142	12	137
1800	-132	4	147
1900	-132	9	135
2000	-124	8	134
2100	-120	16	135
2200	-123	9	122
2300	-116	6	128
2400	-116	0	128
2500	-116	9	116
2600	-112	3	125
2700	-116	8	120
2800	-113	12	79
2900	-116	2	130
3000	-120	9	120
3100	-124	6	128
3200	-122	0	135
3300	-129	10	126
3400	-125	4	140
3500	-134	8	141
3600	-136	9	137
3700	-135	2	153
3800	-145	8	148
3900	-142	8	140
4000	-145	4	164
4100	-155	9	154
4200	-155	6	163
4300	-154	0	170
4400	-161	9	161
4500	-157	3	173
4600	-165	0	174
4700	-168	9	169
4800	-164	4	183
4900	-171	7	174
5000	-169	6	178
5100	-167	41	185
5200	-171	9	174
5300	-169	6	179
5400	-170	5	183
5500	-171	9	172
5600	-167	3	182
5700	-170	0	180
5800	-168	9	171
5900	-165	0	182
6000	-169	8	174
6100	-164	6	166
6200	-167	-4	183
6300	-165	10	167
6400	-161	4	173
6500	-164	0	177
6600	-165	9	166
6700	-162	4	176
6800	-165	8	174
6900	-168	12	166
7000	-165	5	181
7100	-173	8	175
7200	-171	6	179
7300	-174	4	188
7400	-181	9	177
7500	-177	7	189
7600	-186	0	196
7700	-189	9	215
7800	-190	4	205
7900	-203	0	209
8000	-207	9	213
8100	-212	2	233
8200	-228	8	232
8300	86	-69	0
8400	-116	94	8
8500	-176	187	0
8600	-207	219	0
8700	-232	242	7
8800	-248	262	0
8900	-251	263	8
9000	-257	269	6
9100	-258	273	0
9200	-254	265	8
9300	-257	273	0
9400	-250	264	4
9500	-248	261	9
9600	-248	264	0
9700	-244	257	0
9800	-244	257	9
9900	-247	261	0
10000	-241	252	10
10100	-244	257	6
10200	-246	264	-4
10300	-244	257	0
