# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-42	51	0
100	-86	89	7
200	-134	139	6
300	-181	180	18
400	-240	211	42
500	-305	256	54
600	12	-554	566
700	9	-100	119
800	5	87	-68
900	12	74	-55
1000	6	47	-25
1100	8	19	-4
1200	12	-8	29
1300	5	-16	35
1400	11	-16	34
1500	9	15	12
1600	5	45	-31
1700	11	84	-66
1800	8	128	-111
1900	8	180	-166
2000	12	226	-207
2100	-467	0	489
2200	29	9	-2
2300	141	4	-103
2400	115	7	-90
2500	84	6	-52
2600	51	5	-9
2700	12	12	9
2800	-5	4	37
2900	-25	8	58
3000	-20	8	44
3100	22	1	13
3200	62	8	-37
3300	117	6	-94
3400	157	5	-124
3500	190	30	-191
3600	234	51	-247
3700	-525	540	12
3800	-20	45	0
3900	132	-105	0
4000	109	-86	3
4100	76	-58	-2
4200	45	-23	9
4300	15	9	0
4400	0	32	0
4500	0	28	9
4600	10	14	0
4700	43	-18	0
4800	77	-52	6
4900	121	-96	0
5000	167	-141	8
5100	206	-182	3
5200	266	-238	-4
5300	12	487	-487
5400	5	16	-22
5500	11	-109	102
5600	12	-97	96
5700	8	-51	51
5800	14	-23	24
5900	6	0	0
6000	8	25	-33
6100	12	34	-37
6200	7	31	-35
6300	11	0	12
6400	12	-42	45
6500	5	-85	80
6600	12	-134	128
6700	25	-194	177
6800	50	-248	206
6900	542	10	-548
7000	41	5	-51
7100	-107	12	92
7200	-85	2	89
7300	-55	8	40
7400	-16	8	-7
7500	12	2	-12
7600	26	9	-44
7700	44	6	-52
7800	25	0	-25
7900	-26	9	12
8000	-64	4	63
8100	-114	8	109
8200	-155	9	144
8300	-199	2	201
8400	468	-468	0
8500	-55	64	-16
8600	-141	145	9
8700	-120	128	0
8800	-82	87	0
8900	-46	50	6
9000	-20	25	0
9100	9	0	0
9200	21	-16	6
9300	24	-19	-2
9400	6	0	8
9500	-31	37	0
9600	-68	78	0
9700	-112	118	8
9800	-165	167	3
9900	-216	206	24
10000	-275	240	54
10100	5	-544	551
10200	12	-58	76
10300	7	108	-90
10400	8	96	-79
10500	12	55	-37
10600	5	29	-12
10700	10	3	24
10800	12	-18	40
10900	5	-20	35
11000	11	0	21
11100	9	31	-9
11200	8	70	-60
11300	12	111	-92
11400	6	160	-141
11500	8	212	-195
11600	12	269	-243
11700	-480	8	502
11800	-34	8	57
11900	109	0	-74
12000	102	9	-70
12100	61	4	-26
12200	25	5	6
12300	0	9	24
12400	-17	4	55
12500	-28	8	58
12600	0	9	24
12700	51	4	-12
12800	95	8	-70
12900	143	6	-111
13000	180	18	-160
13100	218	45	-231
13200	-514	522	23
13300	20	0	12
13400	147	-119	-4
13500	128	-103	7
13600	87	-65	1
13700	57	-30	15
13800	29	-7	7
13900	2	22	0
14000	-2	32	0
14100	2	23	9
14200	28	-3	0
14300	64	-39	8
14400	103	-84	1
14500	147	-120	-2
14600	196	-169	8
14700	234	-201	0
14800	12	489	-490
14900	6	-16	22
15000	5	-124	118
15100	17	-107	107
15200	8	-71	72
15300	12	-32	29
15400	12	-8	9
15500	6	18	-22
15600	10	33	-39
15700	12	34	-33
15800	5	13	-17
15900	12	-25	24
16000	8	-68	70
16100	8	-111	107
16200	25	-169	163
16300	35	-232	206
16400	526	25	-549
16500	12	10	-4
16600	-125	9	112
16700	-103	6	94
16800	-67	0	65
16900	-28	9	15
17000	4	4	-7
17100	22	5	-25
17200	37	9	-55
17300	38	4	-41
17400	-8	8	0
17500	-52	9	36
17600	-95	4	95
17700	-140	8	128
17800	-181	8	176
17900	467	-464	6
18000	-91	95	0
18100	-158	167	0
18200	-128	137	8
18300	-97	104	0
18400	-58	64	0
18500	-30	31	7
18600	0	12	-5
18700	25	-20	8
18800	26	-23	6
18900	18	-9	0
19000	-16	18	8
19100	-57	59	0
19200	-99	106	0
19300	-141	137	9
19400	-197	188	16
19500	-251	220	44
19600	13	-538	551
19700	12	-22	34
19800	12	119	-103
19900	6	102	-87
20000	8	74	-55
20100	12	34	-11
20200	4	12	6
20300	12	-11	28
20400	9	-33	51
20500	8	-12	28
20600	12	17	0
20700	7	50	-32
20800	8	103	-87
20900	12	137	-121
21000	4	194	-177
21100	10	251	-226
21200	-470	2	512
21300	-4	8	32
21400	125	6	-94
21500	106	0	-70
21600	70	12	-49
21700	38	5	0
21800	3	0	25
21900	-13	12	70
22000	-25	4	66
22100	-20	8	41
22200	35	6	-4
22300	78	5	-48
22400	128	12	-105
22500	170	12	-142
22600	206	34	-203
22700	-516	518	16
22800	51	-39	19
22900	160	-136	0
23000	139	-109	-2
23100	103	-68	6
23200	63	-38	0
23300	40	-11	0
23400	12	16	0
23500	-4	32	-4
23600	0	26	8
23700	18	0	3
23800	50	-24	0
23900	93	-71	6
24000	131	-109	0
24100	178	-154	0
24200	222	-202	6
24300	281	-257	-5
24400	12	497	-499
24500	6	47	-48
24600	8	-90	89
24700	14	-81	85
24800	7	-42	41
24900	11	-12	12
25000	9	10	-8
25100	8	33	-39
25200	9	38	-39
25300	6	24	-25
25400	8	-6	12
25500	12	-57	59
25600	5	-103	103
25700	16	-151	140
25800	33	-194	193
25900	53	-270	219
26000	555	9	-563
26100	83	8	-87
26200	-86	9	70
26300	-67	4	69
26400	-41	12	32
26500	-4	9	-7
26600	19	5	-22
26700	34	11	-50
26800	41	6	-47
26900	9	5	-11
27000	-39	9	20
27100	-83	4	76
27200	-127	5	122
27300	-169	9	156
27400	-219	4	218
27500	476	-477	1
27600	-21	32	-4
27700	-122	133	10
27800	-104	115	1
27900	-65	80	0
28000	-35	50	7
28100	-4	16	0
28200	16	-9	0
28300	25	-26	6
28400	21	-12	0
28500	-6	10	7
28600	-45	49	3
28700	-87	96	0
28800	-128	132	12
28900	-184	178	12
29000	-237	214	31
29100	-299	236	65
29200	5	-556	567
29300	14	-93	115
29400	6	82	-51
29500	5	80	-65
29600	12	45	-23
29700	6	18	0
29800	10	0	20
29900	12	-23	45
30000	7	-13	33
30100	11	12	8
30200	12	34	-19
30300	5	90	-72
30400	12	129	-113
30500	6	178	-154
30600	8	235	-218
30700	-462	2	500
30800	24	12	0
30900	139	7	-110
31000	119	4	-82
31100	79	9	-60
31200	49	6	-16
31300	12	0	19
31400	-7	9	31
31500	-22	4	61
31600	-24	7	51
31700	20	6	23
31800	67	2	-29
31900	111	8	-90
32000	161	8	-129
32100	193	24	-180
32200	236	53	-249
32300	-523	537	12
32400	-18	41	6
32500	121	-103	0
32600	116	-86	6
32700	74	-45	0
32800	48	-20	0
32900	16	5	6
33000	0	29	0
33100	-3	28	7
33200	2	12	3
33300	42	-12	0
33400	80	-55	6
33500	120	-98	0
33600	165	-138	0
