# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-292	244	66
100	5	-556	567
200	10	-89	108
300	12	82	-62
400	5	82	-64
500	11	51	-33
600	9	16	3
700	8	1	16
800	12	-21	41
900	7	-20	45
1000	8	12	5
1100	12	37	-17
1200	7	86	-64
1300	12	130	-129
1400	12	165	-151
1500	5	228	-211
1600	-464	4	498
1700	32	5	1
1800	137	9	-115
1900	122	4	-84
2000	81	7	-51
2100	49	9	-24
2200	19	2	16
2300	-10	11	33
2400	-24	6	53
2500	-22	0	61
2600	16	12	8
2700	66	8	-28
2800	111	8	-87
2900	153	12	-135
3000	193	21	-179
3100	227	50	-248
3200	-522	541	5
3300	-12	37	9
3400	128	-103	0
3500	114	-87	0
3600	77	-52	6
3700	44	-17	-4
3800	22	3	0
3900	1	24	3
4000	-4	32	1
4100	12	12	9
4200	36	-14	0
4300	80	-49	0
4400	122	-97	0
4500	160	-135	0
4600	212	-186	0
4700	257	-239	3
4800	10	496	-497
4900	12	12	-13
5000	5	-107	103
5100	12	-90	89
5200	9	-58	58
5300	5	-20	16
5400	12	2	-2
5500	6	24	-22
5600	8	41	-49
5700	16	31	-29
5800	4	0	3
5900	12	-38	34
6000	12	-91	90
6100	8	-131	128
6200	29	-190	173
6300	51	-253	219
6400	537	13	-556
6500	51	4	-53
6600	-103	0	103
6700	-87	9	73
6800	-48	4	47
6900	-18	11	6
7000	12	7	-52
7100	33	4	-37
7200	37	12	-58
7300	23	8	-33
7400	-25	8	16
7500	-68	9	53
7600	-111	4	111
7700	-157	8	148
7800	-200	9	195
7900	476	-471	8
8000	-53	58	0
8100	-137	148	0
8200	-112	118	8
8300	-84	90	0
8400	-45	49	0
8500	-18	21	4
8600	8	0	0
8700	25	-20	12
8800	24	-17	0
8900	7	1	0
9000	-32	34	6
9100	-74	81	0
9200	-114	121	0
9300	-165	163	12
9400	-219	206	23
9500	-277	233	58
9600	7	-547	560
9700	10	-64	79
9800	9	100	-78
9900	5	91	-72
10000	11	58	-33
10100	8	23	0
10200	5	3	13
10300	14	-20	31
10400	6	-21	40
10500	10	1	15
10600	12	31	-9
10700	4	73	-58
10800	12	117	-103
10900	9	153	-141
11000	8	217	-201
11100	-457	6	493
11200	53	0	-19
11300	150	9	-124
11400	128	4	-93
11500	91	0	-64
11600	57	6	-33
11700	25	28	16
11800	-16	11	26
11900	-20	4	57
12000	-29	0	61
12100	0	9	23
12200	54	2	-17
12300	99	8	-73
12400	147	9	-129
12500	183	18	-164
12600	218	45	-232
12700	-519	528	12
12800	6	10	9
12900	140	-119	-4
13000	124	-99	0
13100	80	-62	3
13200	50	-25	-4
13300	25	0	8
13400	0	23	0
13500	-4	32	0
13600	3	21	6
13700	31	-4	0
13800	69	-41	0
13900	109	-87	8
14000	150	-125	-2
14100	199	-174	11
14200	242	-223	3
14300	11	489	-493
14400	9	2	8
14500	5	-117	116
14600	13	-99	100
14700	6	-60	64
14800	5	-25	23
14900	12	0	0
15000	5	22	-25
15100	10	38	-45
15200	12	36	-37
15300	5	12	-14
15400	11	-30	29
15500	8	-78	80
15600	5	-119	113
15700	25	-180	163
15800	39	-239	206
15900	527	19	-551
16000	27	5	-29
16100	-117	8	109
16200	-91	9	76
16300	-58	7	58
16400	-26	8	8
16500	13	6	-13
16600	29	5	-32
16700	44	9	-56
16800	33	4	-39
16900	-12	0	0
17000	-55	8	44
17100	-103	5	102
17200	-147	7	141
17300	-190	8	182
17400	473	-469	6
17500	-70	75	0
17600	-149	156	0
17700	-120	128	9
17800	-94	97	0
17900	-51	56	0
18000	-22	28	3
18100	0	6	-4
18200	25	-20	8
18300	26	-21	6
18400	11	0	0
18500	-22	24	8
18600	-65	70	0
18700	-107	116	0
18800	-153	153	9
18900	-213	196	20
19000	-264	225	50
19100	10	-542	557
19200	12	-43	57
19300	14	108	-91
19400	5	97	-82
19500	10	66	-39
19600	8	21	-8
19700	5	6	8
19800	11	-16	36
19900	9	-26	51
20000	8	-6	20
20100	17	30	-7
20200	8	63	-41
20300	8	112	-95
20400	12	149	-132
20500	5	205	-186
20600	12	265	-245
20700	-475	2	515
20800	-26	8	51
20900	116	6	-81
21000	96	5	-64
21100	60	6	-37
21200	32	2	7
21300	0	7	29
21400	-20	8	47
21500	-25	4	64
21600	-8	8	33
21700	44	8	-20
21800	93	8	-57
21900	134	9	-112
22000	178	17	-158
22100	212	37	-212
22200	-519	531	12
22300	25	-11	12
22400	145	-123	6
22500	128	-99	0
22600	93	-70	11
22700	55	-30	0
22800	29	0	0
22900	7	24	6
23000	-10	37	0
23100	0	25	0
23200	25	-4	6
23300	57	-32	-4
23400	106	-82	8
23500	141	-120	3
23600	186	-164	-4
23700	244	-213	7
23800	5	489	-489
23900	12	-19	18
24000	9	-129	128
24100	8	-103	95
24200	12	-73	70
24300	7	-36	38
24400	8	0	-2
24500	12	15	-16
24600	6	37	-38
24700	10	41	-60
24800	12	12	-12
24900	7	-21	19
25000	13	-66	63
25100	9	-116	117
25200	18	-164	150
25300	42	-231	202
25400	522	18	-541
25500	5	12	-23
25600	-116	4	120
25700	-103	12	93
25800	-62	6	57
25900	-25	-2	25
26000	4	9	-16
26100	29	6	-33
26200	41	8	-51
26300	37	9	-52
26400	0	2	0
26500	-51	8	38
26600	-97	8	86
26700	-135	2	141
26800	-187	8	175
26900	472	-462	0
27000	-82	86	6
27100	-168	167	0
27200	-124	132	0
27300	-95	99	6
27400	-58	67	-4
27500	-19	27	0
27600	0	0	3
27700	24	-6	-7
27800	33	-23	9
27900	12	-10	0
28000	-13	29	0
28100	-54	60	6
28200	-103	111	0
28300	-143	147	0
28400	-199	186	25
28500	-258	227	37
28600	16	-542	556
28700	8	-33	51
28800	10	122	-103
28900	12	98	-77
29000	5	67	-51
29100	11	35	-13
29200	12	5	17
29300	8	-9	22
29400	13	-37	47
29500	6	-16	38
29600	8	25	-8
29700	12	53	-33
29800	6	102	-87
29900	8	148	-123
30000	12	192	-175
30100	5	257	-241
30200	-473	4	501
30300	-12	5	45
30400	115	9	-95
30500	109	3	-68
30600	64	0	-32
30700	33	8	-7
30800	6	2	41
30900	-21	6	51
31000	-29	6	63
31100	-12	0	51
31200	24	9	-12
31300	87	6	-53
31400	129	0	-99
31500	173	20	-158
31600	212	33	-207
31700	-514	524	16
31800	36	-18	0
31900	157	-136	8
32000	128	-104	0
32100	97	-69	0
32200	59	-39	12
32300	31	0	-15
32400	8	17	8
32500	-8	31	0
32600	0	32	8
32700	25	-2	8
32800	50	-29	0
32900	100	-74	0
33000	141	-118	6
33100	179	-157	-5
33200	232	-206	0
33300	290	-268	3
33400	10	509	-509
33500	12	55	-58
33600	7	-85	83
33700	8	-70	63
33800	8	-45	45
33900	5	-3	1
34000	12	13	-14
