# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-65	76	0
100	-60	80	5
200	-67	95	8
300	-78	90	0
400	-78	90	0
500	8	-111	128
600	5	80	-62
700	14	76	-59
800	7	81	-67
900	0	83	-66
1000	12	63	-51
1100	5	68	-58
1200	12	62	-52
1300	8	60	-45
1400	5	59	-49
1500	12	52	-40
1600	6	53	-41
1700	8	54	-42
1800	12	47	-30
1900	5	48	-38
2000	13	45	-33
2100	9	41	-29
2200	8	45	-40
2300	12	39	-26
2400	7	37	-29
2500	8	41	-34
2600	12	34	-20
2700	5	37	-29
2800	11	38	-26
2900	12	34	-19
3000	12	38	-30
3100	12	33	-23
3200	8	36	-24
3300	8	38	-33
3400	12	31	-18
3500	6	37	-25
3600	12	38	-20
3700	12	34	-21
3800	5	41	-32
3900	8	29	-28
4000	8	37	-25
4100	8	45	-36
4200	12	41	-27
4300	6	46	-32
4400	10	46	-39
4500	12	45	-33
4600	5	53	-43
4700	9	54	-45
4800	9	49	-37
4900	5	61	-51
5000	11	61	-52
5100	8	63	-51
5200	8	74	-65
5300	14	70	-55
5400	7	76	-67
5500	12	90	-78
5600	-112	2	136
5700	75	11	-64
5800	89	6	-71
5900	83	0	-62
6000	63	12	-68
6100	78	6	-58
6200	69	5	-51
6300	66	9	-58
6400	67	4	-44
6500	59	8	-45
6600	60	12	-45
6700	59	2	-34
6800	55	9	-44
6900	56	6	-36
7000	51	0	-29
7100	47	9	-37
7200	51	4	-26
7300	42	5	-25
7400	44	9	-33
7500	45	1	-20
7600	37	6	-25
7700	41	6	-36
7800	38	4	-16
7900	34	9	-25
8000	41	6	-20
8100	38	5	-12
8200	34	9	-25
8300	40	2	-15
8400	35	0	-19
8500	37	12	-26
8600	38	4	-14
8700	34	8	-24
8800	40	6	-26
8900	40	5	-14
9000	37	9	-28
9100	45	4	-26
9200	41	5	-25
9300	44	12	-36
9400	51	4	-27
9500	47	8	-32
9600	50	12	-39
9700	64	2	-33
9800	53	14	-46
9900	62	6	-45
10000	64	5	-40
10100	63	9	-53
10200	70	7	-52
10300	70	0	-51
10400	76	9	-65
10500	83	3	-62
10600	-107	126	0
10700	82	-62	-2
10800	93	-78	8
10900	85	-69	0
11000	86	-64	0
11100	80	-65	9
11200	71	-55	0
11300	74	-51	0
11400	67	-52	6
11500	62	-45	0
11600	64	-45	7
11700	55	-39	3
11800	57	-35	-2
11900	54	-39	8
12000	47	-30	0
12100	47	-29	-2
12200	51	-33	8
12300	41	-24	0
12400	44	-25	0
12500	41	-26	6
12600	37	-19	0
12700	45	-31	0
12800	38	-20	3
12900	36	-12	-4
13000	40	-23	8
13100	34	-20	1
13200	40	-19	0
13300	38	-23	8
13400	34	-17	0
13500	41	-22	0
13600	38	-20	6
13700	37	-19	0
13800	45	-25	7
13900	41	-26	3
14000	44	-35	0
14100	51	-31	8
14200	44	-28	0
14300	49	-25	0
14400	51	-26	7
14500	49	-34	0
14600	56	-37	0
14700	54	-39	6
14800	57	-38	-5
14900	64	-45	0
15000	62	-45	3
15100	66	-45	-7
15200	70	-55	0
15300	70	-52	0
15400	76	-51	5
15500	83	-65	8
15600	79	-62	0
15700	91	-70	0
15800	90	-78	6
15900	5	132	-124
16000	17	-70	74
16100	7	-73	80
16200	10	-69	72
16300	12	-71	75
16400	5	-62	67
16500	11	-58	66
16600	8	-58	68
16700	8	-52	55
16800	12	-51	57
16900	9	-52	61
17000	7	-41	45
17100	11	-45	50
17200	6	-42	51
17300	7	-38	43
17400	12	-45	50
17500	7	-34	38
17600	10	-35	34
17700	12	-39	46
17800	5	-33	38
17900	11	-31	37
18000	12	-39	42
18100	5	-29	29
18200	12	-30	34
18300	9	-29	41
18400	8	-24	27
18500	12	-25	34
18600	8	-26	38
18700	12	-19	28
18800	16	-28	44
18900	8	-21	29
19000	12	-24	33
19100	12	-29	37
