# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-483	485	9
100	-455	458	0
200	-399	412	0
300	-352	356	6
400	-303	310	0
500	-251	257	8
600	-213	218	6
700	-184	193	2
800	-180	187	8
900	-195	205	3
1000	-213	225	0
1100	-240	269	6
1200	-300	307	0
1300	-363	370	0
1400	-438	447	8
1500	-526	538	0
1600	-622	624	10
1700	-726	733	6
1800	-835	837	3
1900	12	-207	223
2000	5	295	-277
2100	10	418	-405
2200	12	469	-453
2300	5	488	-476
2400	11	464	-453
2500	9	427	-412
2600	8	389	-379
2700	12	335	-319
2800	6	287	-273
2900	7	244	-232
3000	12	203	-186
3100	4	194	-185
3200	12	196	-181
3300	8	211	-193
3400	8	240	-229
3500	12	273	-261
3600	6	334	-320
3700	8	412	-397
3800	9	487	-472
3900	5	592	-575
4000	10	690	-679
4100	8	798	-779
4200	-248	9	263
4300	286	4	-258
4400	391	10	-373
4500	443	12	-427
4600	451	2	-423
4700	424	9	-410
4800	390	6	-364
4900	336	5	-309
5000	282	9	-266
5100	238	4	-207
5200	189	8	-170
5300	188	8	-169
5400	193	2	-161
5500	197	9	-180
5600	219	6	-194
5700	244	0	-215
5800	294	12	-276
5900	360	5	-330
6000	425	8	-409
6100	514	12	-495
6200	618	7	-592
6300	721	12	-708
6400	-211	232	0
6500	309	-290	3
6600	443	-422	-4
6700	502	-482	6
6800	505	-490	0
6900	493	-470	0
7000	454	-439	6
7100	402	-385	0
7200	360	-339	0
7300	302	-290	8
7400	263	-235	-4
7500	222	-202	6
7600	195	-176	0
7700	205	-185	0
7800	215	-197	6
7900	236	-217	0
8000	280	-248	8
8100	330	-313	6
8200	405	-380	0
8300	483	-464	6
8400	561	-547	0
8500	667	-642	0
8600	757	-751	9
8700	869	-845	-4
8800	12	253	-252
8900	3	-266	261
9000	12	-383	382
9100	9	-439	447
9200	5	-450	448
9300	12	-435	440
9400	8	-402	412
9500	8	-356	353
9600	12	-316	323
9700	7	-265	265
9800	11	-222	224
9900	9	-187	199
10000	5	-177	176
10100	12	-188	192
10200	9	-200	209
10300	10	-222	224
10400	12	-269	277
10500	5	-328	326
10600	12	-405	405
10700	9	-497	497
10800	5	-592	587
10900	12	-704	708
11000	12	-817	812
11100	224	8	-229
11200	-267	2	274
11300	-377	7	368
11400	-418	4	418
11500	-418	0	427
11600	-393	8	386
11700	-348	1	353
11800	-299	8	296
11900	-245	12	244
12000	-193	0	199
12100	-173	6	164
12200	-167	6	166
12300	-177	0	180
12400	-189	9	179
12500	-206	3	205
12600	-242	0	241
12700	-297	9	287
12800	-360	2	371
12900	-447	8	444
13000	-533	6	524
13100	-634	2	644
13200	260	-255	0
13300	-303	309	0
13400	-457	463	12
13500	-526	534	0
13600	-539	543	8
13700	-529	537	6
13800	-494	504	-2
13900	-444	451	0
14000	-396	405	0
14100	-342	351	0
14200	-288	292	9
14300	-242	253	0
14400	-200	209	0
14500	-180	186	8
14600	-192	203	0
14700	-196	207	0
14800	-227	231	3
14900	-261	277	-4
15000	-320	327	8
15100	-396	403	1
15200	-474	483	24
15300	-560	566	9
15400	-667	674	1
15500	-771	773	5
15600	-876	875	19
15700	5	-202	212
15800	16	277	-263
15900	7	398	-380
16000	8	452	-441
16100	12	453	-439
16200	5	437	-424
16300	12	412	-390
16400	8	353	-338
16500	5	319	-302
16600	11	262	-248
16700	6	229	-206
16800	8	206	-187
