# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	8	-29	33
100	12	-33	41
200	7	-29	38
300	0	-32	26
400	12	-30	37
500	11	-23	32
600	11	-22	34
700	12	-28	37
800	5	-22	25
900	8	-22	28
1000	7	-23	32
1100	5	-18	19
1200	12	-22	33
1300	7	-20	27
1400	10	-18	23
1500	12	-23	32
1600	4	-20	25
1700	13	-19	15
1800	6	-16	32
1900	5	-20	23
2000	10	-25	31
2100	7	-26	32
2200	8	-22	26
2300	12	-28	37
2400	6	-29	35
2500	10	-29	33
2600	12	-37	45
2700	5	-34	38
2800	10	-38	42
2900	12	-39	54
3000	12	-41	45
3100	12	-51	57
3200	7	-52	61
3300	8	-51	57
3400	12	-68	73
3500	5	-65	70
3600	131	7	-123
3700	-51	2	66
3800	-66	8	64
3900	-57	6	63
4000	-51	0	64
4100	-29	9	51
4200	-41	4	50
4300	-44	8	51
4400	-39	12	37
4500	-30	4	44
4600	-36	12	38
4700	-28	12	33
4800	-25	5	39
4900	-27	8	25
5000	-20	6	24
5100	-19	5	29
5200	-20	9	16
5300	-12	4	24
5400	-16	8	25
5500	-13	9	13
5600	-9	4	20
5700	-13	8	14
5800	-8	9	15
5900	-6	2	19
6000	-13	9	9
6100	-11	6	12
6200	-9	5	19
6300	-10	9	8
6400	-6	4	24
6500	-12	8	19
6600	-13	12	12
6700	-12	2	26
6800	-20	8	19
6900	-16	9	21
7000	-19	4	29
7100	-29	16	25
7200	-21	6	31
7300	-29	5	40
7400	-33	9	30
7500	-32	4	41
7600	-38	0	45
7700	-39	9	41
7800	-38	4	55
7900	-49	7	51
8000	-52	8	50
8100	-51	2	66
8200	-62	10	64
8300	136	-121	0
8400	-64	76	9
8500	-78	87	0
8600	-67	81	0
8700	-64	76	8
8800	-65	80	-5
8900	-54	67	7
9000	-60	68	3
9100	-52	64	0
9200	-45	57	9
9300	-47	58	0
9400	-40	54	4
9500	-38	47	12
9600	-41	51	0
9700	-33	46	0
9800	-35	44	6
9900	-33	46	0
10000	-25	39	5
10100	-30	43	3
10200	-26	41	0
10300	-22	36	9
10400	-29	42	0
10500	-22	37	0
10600	-24	34	6
10700	-26	40	0
10800	-17	34	0
10900	-23	34	3
11000	-20	35	-4
11100	-17	29	4
11200	-23	36	0
11300	-20	35	-13
11400	-19	31	9
11500	-26	37	0
11600	-19	33	0
11700	-25	34	6
11800	-26	42	0
11900	-19	38	8
12000	-28	41	3
12100	-29	45	-4
12200	-25	39	0
12300	-35	44	1
12400	-33	45	-28
12500	-35	44	8
12600	-42	53	0
12700	-40	54	0
12800	-44	57	8
12900	-52	61	0
13000	-45	59	0
13100	-51	63	6
13200	-58	72	0
13300	-56	66	8
13400	-67	76	1
13500	-71	85	-4
13600	-70	82	7
13700	5	-115	122
13800	10	70	-55
13900	12	66	-62
14000	0	80	-68
14100	11	70	-55
14200	7	70	-51
14300	8	67	-57
14400	12	58	-44
14500	4	60	-45
14600	12	58	-52
14700	12	49	-33
14800	5	50	-45
14900	8	51	-39
15000	12	42	-25
15100	0	45	-37
15200	12	38	-26
15300	7	37	-25
15400	8	41	-34
15500	12	33	-20
15600	6	37	-25
15700	10	38	-26
15800	12	31	-16
15900	5	33	-25
16000	11	32	-20
16100	12	36	-12
16200	8	33	-24
16300	13	29	-20
16400	7	31	-19
16500	8	32	-24
16600	12	26	-16
16700	7	31	-19
16800	10	35	-26
16900	9	31	-16
17000	5	36	-25
17100	12	38	-33
17200	9	47	-21
17300	5	41	-32
17400	11	38	-26
17500	8	37	-25
17600	8	45	-39
17700	8	41	-26
17800	6	50	-38
17900	8	58	-44
18000	12	50	-33
18100	5	58	-48
18200	9	61	-52
18300	12	50	-46
18400	5	70	-61
18500	12	72	-60
18600	8	76	-62
18700	-116	9	126
18800	80	4	-58
18900	83	8	-67
19000	82	12	-71
19100	80	5	-58
19200	69	12	-58
19300	70	8	-65
19400	70	10	-41
19500	57	12	-51
19600	60	6	-42
19700	54	0	-32
19800	50	9	-43
19900	54	3	-30
20000	46	8	-32
20100	47	0	-34
20200	51	2	-26
20300	41	8	-25
20400	43	8	-29
20500	40	4	-16
20600	33	9	-24
20700	39	3	-16
20800	32	0	-12
20900	31	9	-20
21000	38	1	-13
21100	29	7	-12
21200	31	9	-20
21300	32	4	-6
21400	28	8	-17
21500	33	7	-15
21600	32	0	-9
21700	29	9	-20
21800	36	4	-13
21900	32	5	-12
22000	34	9	-24
22100	39	4	-13
22200	35	8	-19
22300	41	9	-28
22400	51	2	-20
