# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	144	-123	6
100	192	-164	0
200	244	-219	8
300	5	490	-489
400	10	-12	12
500	8	-124	128
600	8	-99	95
700	12	-70	70
800	8	-34	35
900	10	0	-2
1000	12	15	-10
1100	4	37	-38
1200	12	38	-33
1300	12	11	-6
1400	5	-22	20
1500	11	-69	70
1600	12	-120	123
1700	18	-167	155
1800	54	-232	198
1900	524	20	-544
2000	12	12	-26
2100	-116	4	117
2200	-103	7	90
2300	-62	6	50
2400	-25	4	25
2500	0	8	-17
2600	29	6	-33
2700	41	5	-45
2800	34	9	-50
2900	-4	4	0
3000	-51	0	51
3100	-103	9	88
3200	-135	4	140
3300	-187	8	180
3400	469	-456	-4
3500	-77	82	8
3600	-161	166	0
3700	-127	132	0
3800	-90	89	6
3900	-62	68	0
4000	-22	27	0
4100	0	0	6
4200	18	-12	0
4300	32	-27	8
4400	12	-7	6
4500	-20	29	-1
4600	-51	58	8
4700	-103	111	3
4800	-149	154	12
4900	-193	186	27
5000	-261	228	38
5100	16	-538	547
5200	12	-28	54
5300	5	124	-109
5400	11	103	-85
5500	6	66	-48
5600	8	40	-24
5700	12	5	13
5800	6	-13	35
5900	8	-22	37
6000	12	-16	36
6100	7	24	0
6200	0	58	-52
6300	12	95	-78
6400	5	148	-135
6500	11	193	-181
6600	8	253	-232
6700	-475	6	493
6800	-5	4	42
6900	119	5	-87
7000	102	12	-78
7100	70	4	-34
7200	29	0	0
7300	8	6	23
7400	-12	2	53
7500	-33	8	58
7600	-10	6	41
7700	38	5	-1
7800	81	12	-59
7900	132	4	-97
8000	167	15	-148
8100	205	38	-216
8200	-511	516	23
8300	33	-26	12
8400	158	-128	-2
8500	135	-111	6
8600	94	-70	3
8700	63	-37	5
8800	32	8	6
8900	5	20	0
9000	-3	29	0
9100	0	24	9
9200	18	6	-4
9300	58	-28	0
9400	93	-71	1
9500	139	-112	-2
9600	183	-160	7
9700	223	-203	0
9800	291	-263	0
9900	9	505	-501
10000	8	59	-64
10100	12	-90	89
10200	8	-78	77
10300	8	-38	33
10400	12	-12	12
10500	4	16	-12
10600	12	35	-39
10700	9	42	-38
10800	5	22	-25
10900	10	-19	18
11000	9	-60	64
11100	7	-103	100
11200	19	-159	153
11300	33	-219	193
11400	57	-278	224
11500	557	4	-562
11600	92	10	-103
11700	-73	8	73
11800	-67	4	66
11900	-39	10	20
12000	-1	7	-7
12100	19	0	-25
12200	24	10	-51
12300	41	4	-44
12400	0	10	-6
12500	-42	12	28
12600	-89	4	88
12700	-134	8	124
12800	-176	8	166
12900	-228	2	231
13000	476	-480	0
13100	-7	16	0
13200	-116	128	6
13300	-103	109	0
13400	-62	70	0
13500	-35	37	8
13600	-4	14	-7
13700	25	-16	0
13800	25	-20	6
13900	18	-11	0
14000	-12	18	8
14100	-50	56	0
14200	-94	103	0
14300	-135	144	8
14400	-190	182	9
14500	-243	215	37
14600	16	-532	547
14700	10	-8	19
14800	12	128	-110
14900	6	111	-90
15000	8	78	-63
15100	12	41	-20
15200	8	15	6
15300	8	0	18
15400	12	-26	38
15500	5	-16	32
15600	10	12	0
15700	8	44	-25
15800	5	96	-81
15900	12	133	-116
16000	6	186	-165
16100	8	241	-226
16200	-464	0	505
16300	10	7	16
16400	132	9	-103
16500	116	4	-74
16600	75	9	-57
16700	42	7	-10
16800	12	0	25
16900	-13	12	37
17000	-24	4	63
17100	-20	8	51
17200	24	9	-2
17300	77	2	-35
17400	118	7	-95
17500	163	12	-142
17600	206	0	-190
17700	-513	515	19
17800	58	-49	18
17900	170	-149	12
18000	140	-116	0
18100	109	-83	0
18200	69	-42	6
18300	37	-9	0
18400	19	10	0
18500	-5	31	0
18600	-4	32	0
18700	16	8	6
18800	44	-19	0
18900	87	-61	0
19000	128	-107	6
19100	169	-141	0
19200	219	-194	0
19300	270	-248	3
19400	12	502	-503
19500	12	31	-30
19600	5	-97	96
19700	11	-83	82
19800	12	-55	54
19900	5	-16	12
20000	11	8	-8
20100	8	24	-25
20200	4	43	-49
20300	11	32	-29
20400	6	-10	12
20500	8	-45	39
20600	14	-98	99
20700	8	-142	138
20800	36	-199	173
20900	51	-265	225
21000	540	12	-562
21100	69	6	-78
21200	-93	0	93
21300	-78	9	66
21400	-41	6	37
21500	-11	5	3
21600	12	9	-29
21700	38	4	-40
21800	35	10	-48
21900	16	9	-26
22000	-30	4	29
22100	-81	8	67
22200	-120	8	108
22300	-161	10	164
22400	-216	9	206
22500	481	-470	0
22600	-32	37	6
22700	-131	141	0
