# Time [us]	PORT_Mip_Volt_DCLink	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	--------------------	-------------------	-------------------
0	9861	57	-38
100	9899	29	-8
200	9919	-4	27
300	9861	-13	38
400	9906	-22	37
500	9867	0	25
600	9861	37	-22
700	9880	72	-52
800	9854	118	-99
900	9893	167	-154
1000	9867	211	-197
1100	9861	0	489
1200	9906	9	-28
1300	9867	2	-115
1400	9861	8	-99
1500	9919	9	-65
1600	9867	8	-21
1700	9861	11	4
1800	9893	6	31
1900	9861	5	58
2000	9861	9	49
2100	9867	3	31
2200	9861	7	-22
2300	9899	9	-78
2400	9867	4	-114
2500	9861	23	-174
2600	9893	45	-232
2700	9867	524	19
2800	9861	16	0
2900	9906	-116	0
3000	9848	-97	6
3100	9912	-58	0
3200	9919	-32	0
3300	9861	0	3
3400	9880	25	-4
3500	9867	28	8
3600	9861	21	0
3700	9899	-8	0
3800	9867	-59	9
3900	9861	-86	0
4000	9880	-132	0
4100	9835	-174	6
4200	9861	-219	-4
4300	9893	484	-485
4400	9887	-4	6
4500	9932	-116	115
4600	9874	-103	102
4700	9861	-64	58
4800	9919	-29	28
4900	9835	-4	6
5000	9861	24	-28
5100	9867	36	-39
5200	9861	37	-35
5300	9899	9	-15
5400	9880	-34	33
5500	9861	-74	77
5600	9899	-116	115
5700	9867	-178	169
5800	9861	-239	206
5900	9893	16	-546
6000	9874	5	-30
6100	9861	9	103
6200	9919	4	87
6300	9874	-4	58
6400	9861	13	8
6500	9867	3	-13
6600	9861	0	-34
6700	9925	12	-56
6800	9880	3	-36
6900	9848	10	3
7000	9906	9	47
7100	9867	4	104
7200	9861	11	138
7300	9893	4	189
7400	9867	-466	6
7500	9932	78	0
7600	9919	149	0
7700	9861	128	6
7800	9919	97	-4
7900	9874	56	8
8000	9848	29	0
8100	9893	3	0
8200	9867	-21	9
8300	9861	-24	0
8400	9899	-12	0
8500	9848	28	6
8600	9861	70	0
8700	9893	112	8
8800	9854	153	9
8900	9912	196	21
9000	9867	227	55
9100	9861	-542	554
9200	9932	-44	60
9300	9874	108	-90
9400	9861	99	-82
9500	9867	62	-45
9600	9848	31	-9
9700	9861	6	8
9800	9867	-15	37
9900	9797	-21	45
10000	9893	-6	24
10100	9867	21	-3
10200	9861	65	-48
10300	9893	109	-94
10400	9867	153	-131
10500	9861	207	-189
10600	9893	258	-245
10700	9880	0	509
10800	9906	12	48
10900	9919	2	-81
11000	9861	8	-70
11100	9893	6	-33
11200	9867	5	8
11300	9861	9	25
11400	9893	4	50
11500	9861	0	64
11600	9906	9	31
11700	9893	2	-10
11800	9861	8	-61
11900	9893	9	-110
12000	9867	15	-155
12100	9861	41	-219
12200	9932	528	18
12300	9867	-7	16
12400	9861	-124	0
12500	9867	-103	0
12600	9835	-68	6
12700	9861	-29	-4
12800	9867	-5	8
12900	9803	20	6
13000	9899	35	-4
13100	9867	21	7
13200	9861	0	3
13300	9893	-33	0
13400	9842	-86	7
13500	9861	-116	0
13600	9919	-165	0
13700	9854	-208	6
13800	9912	493	-486
13900	9874	-16	21
14000	9854	-123	128
14100	9893	-101	86
14200	9867	-74	75
14300	9861	-36	32
14400	9893	0	0
14500	9867	12	-16
14600	9861	38	-42
14700	9893	39	-42
14800	9867	12	-12
14900	9861	-21	15
15000	9893	-70	66
15100	9887	-116	116
15200	9912	-162	149
15300	9867	-231	203
15400	9861	20	-544
15500	9899	12	-20
15600	9867	-13	122
15700	9861	8	87
15800	9893	6	57
15900	9874	5	25
16000	9861	12	-16
16100	9867	4	-28
16200	9861	7	-49
16300	9906	9	-49
16400	9874	4	0
16500	9861	8	38
16600	9919	7	92
16700	9867	12	136
16800	9861	11	174
16900	9880	-463	0
17000	9854	89	6
17100	9893	167	0
17200	9893	132	0
17300	9861	99	6
17400	9861	67	-2
17500	9867	28	7
17600	9861	0	3
17700	9899	-12	0
17800	9867	-28	6
17900	9861	-8	0
18000	9893	25	0
18100	9867	59	7
18200	9912	114	0
18300	9887	149	8
18400	9848	189	29
18500	9861	225	37
18600	9867	-540	555
18700	9861	-39	51
18800	9906	122	-107
18900	9867	102	-78
19000	9861	75	-51
19100	9893	33	-16
19200	9848	5	16
19300	9861	-11	26
19400	9893	-27	46
19500	9887	-15	38
19600	9925	25	-8
19700	9867	50	-32
19800	9861	101	-87
19900	9893	141	-129
20000	9835	192	-174
20100	9861	257	-240
20200	9874	2	508
20300	9861	8	41
20400	9899	9	-92
20500	9867	2	-68
20600	9861	8	-38
20700	9893	8	-2
20800	9867	0	32
20900	9861	8	45
21000	9893	6	63
21100	9848	5	46
21200	9925	9	-13
21300	9880	4	-52
21400	9861	10	-99
21500	9880	19	-155
21600	9829	34	-207
21700	9861	526	12
21800	9906	-19	12
21900	9848	-132	6
22000	9861	-105	-6
22100	9880	-72	0
22200	9861	-39	3
22300	9893	0	1
22400	9867	16	5
22500	9861	34	3
22600	9925	32	5
22700	9867	0	8
22800	9861	-28	0
22900	9880	-73	0
23000	9835	-117	6
23100	9861	-154	0
23200	9867	-206	0
23300	9848	-268	3
23400	9899	509	-509
23500	9880	57	-58
23600	9848	-86	87
23700	9906	-70	68
23800	9867	-42	45
23900	9912	-15	3
24000	9893	13	-20
24100	9867	31	-32
24200	9912	43	-49
24300	9919	16	-20
24400	9861	-20	19
24500	9861	-58	53
24600	9867	-111	112
24700	9861	-159	148
24800	9893	-219	189
24900	9867	18	-534
25000	9861	16	-9
25100	9893	6	120
25200	9867	5	103
25300	9861	9	55
25400	9893	6	28
25500	9874	0	0
25600	9912	12	-39
25700	9880	5	-46
25800	9861	8	-48
25900	9906	9	-8
26000	9867	5	41
26100	9861	9	78
26200	9893	6	128
26300	9848	0	180
26400	9861	9	222
26500	9893	-480	0
26600	9874	8	6
26700	9912	128	-2
26800	9867	99	7
26900	9758	70	3
27000	9899	38	-4
27100	9867	4	6
27200	9861	-10	0
27300	9919	-24	0
27400	9880	-26	9
27500	9861	25	0
27600	9880	54	0
27700	9848	102	6
27800	9861	148	0
27900	9880	179	24
28000	9861	221	39
28100	9906	-534	538
28200	9874	-26	41
28300	9861	126	-109
28400	9906	109	-111
28500	9867	44	-48
28600	9861	41	-25
28700	9893	9	8
28800	9848	-13	33
28900	9861	-19	37
29000	9880	-18	37
29100	9861	18	0
29200	9899	54	-39
29300	9867	92	-71
29400	9861	144	-125
29500	9919	190	-174
29600	9867	244	-219
29700	9912	9	493
29800	9919	7	29
29900	9842	0	-90
30000	9861	9	-84
