# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	8	-47	58
100	8	-41	44
200	12	-45	53
300	6	-36	45
400	10	-37	41
500	12	-39	48
600	5	-33	35
700	10	-32	37
800	6	-29	39
900	8	-24	26
1000	12	-29	36
1100	6	-26	32
1200	8	-22	24
1300	12	-29	35
1400	5	-17	22
1500	11	-19	28
1600	9	-21	32
1700	8	-16	18
1800	12	-20	24
1900	7	-16	25
2000	8	-16	16
2100	12	-20	27
2200	5	-14	19
2300	10	-16	21
2400	9	-21	29
2500	5	-14	16
2600	12	-19	28
2700	8	-16	29
2800	8	-17	18
2900	12	-26	33
3000	5	-20	25
3100	10	-24	28
3200	9	-29	38
3300	5	-25	29
3400	12	-33	41
3500	7	-33	41
3600	8	-32	37
3700	12	-42	50
3800	7	-41	51
3900	11	-45	57
4000	12	-55	66
4100	5	-54	55
4200	12	-61	63
4300	12	-71	78
4400	128	16	-133
4500	-48	7	60
4600	-60	5	66
4700	-55	9	53
4800	-45	3	57
4900	-47	8	46
5000	-41	8	41
5100	-35	4	46
5200	-36	0	35
5300	-29	6	34
5400	-25	12	38
5500	-26	10	22
5600	-17	6	31
5700	-22	8	27
5800	-16	12	16
5900	-11	4	24
6000	-16	0	19
6100	-10	9	12
6200	-9	2	20
6300	-13	5	9
6400	-7	8	12
6500	0	5	16
6600	-10	9	6
6700	-3	4	11
6800	0	5	16
6900	-7	9	5
7000	-4	5	16
7100	-10	8	12
7200	-10	9	8
7300	-6	2	24
7400	-15	9	16
7500	-10	9	21
7600	-16	8	25
7700	-7	9	12
7800	-17	6	24
7900	-24	8	32
8000	-26	9	26
8100	-25	4	37
8200	-33	8	40
8300	-33	9	34
8400	-35	4	50
8500	-44	8	45
8600	-42	12	49
8700	-47	8	61
8800	-55	10	51
8900	-53	7	66
9000	135	-124	3
9100	-60	77	-4
9200	-67	79	8
9300	-69	81	1
9400	-62	77	0
9500	-56	66	8
9600	-57	66	0
9700	-48	64	0
9800	-43	57	9
9900	-44	58	0
10000	-37	51	0
10100	-38	47	8
10200	-36	51	0
10300	-29	39	0
10400	-34	44	12
10500	-27	45	-2
10600	-24	34	9
10700	-29	37	0
10800	-23	38	-7
10900	-22	47	9
11000	-23	37	0
11100	-19	32	0
11200	-19	31	6
11300	-20	32	-4
11400	-15	29	0
11500	-16	31	6
11600	-16	32	0
11700	-9	26	10
11800	-15	33	0
11900	-13	32	0
12000	-17	0	8
12100	-21	33	0
12200	-16	29	0
12300	-19	31	6
12400	-26	38	0
12500	-19	33	0
12600	-24	37	3
12700	-26	40	-4
12800	-22	37	8
12900	-31	44	0
13000	-28	45	5
13100	-32	24	7
13200	-39	51	0
13300	-33	51	0
13400	-45	50	3
13500	-42	58	-4
13600	-44	54	7
13700	-51	63	1
13800	-53	67	-4
13900	-56	68	7
14000	-65	76	0
14100	-65	80	0
14200	-70	82	6
14300	5	-114	120
14400	12	64	-52
14500	8	73	-58
14600	8	74	-65
14700	12	61	-52
14800	7	62	-51
14900	12	61	-53
