# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	154	-123	8
100	189	-168	0
200	246	-219	0
300	7	485	-483
400	5	-6	2
500	12	-123	124
600	7	-103	103
700	8	-64	60
800	12	-36	41
900	5	-1	3
1000	10	19	-28
1100	12	31	-25
1200	5	39	-43
1300	13	12	-16
1400	7	-29	32
1500	5	-70	65
1600	12	-122	121
1700	20	-172	161
1800	44	-232	195
1900	531	12	-543
2000	15	11	-32
2100	-114	7	108
2200	-96	0	96
2300	-65	9	51
2400	-22	8	18
2500	3	0	-6
2600	24	12	-42
2700	45	7	-52
2800	29	12	-38
2900	-7	12	-4
3000	-51	2	51
3100	-105	8	91
3200	-142	6	134
3300	-188	-7	190
3400	463	-464	0
3500	-71	80	0
3600	-153	160	8
3700	-129	135	0
3800	-88	93	8
3900	-58	60	3
4000	-23	32	0
4100	6	0	9
4200	17	-16	1
4300	33	-22	-13
4400	12	-8	12
4500	-23	29	0
4600	-57	64	0
4700	-103	111	8
4800	-150	154	2
4900	-203	186	29
5000	-264	228	51
5100	12	-538	545
5200	12	-42	62
5300	6	118	-99
5400	9	103	-41
5500	12	62	-41
5600	5	39	-16
5700	11	6	12
5800	9	-13	41
5900	8	-19	36
6000	12	-16	36
6100	8	24	-6
6200	8	64	-45
6300	12	102	-83
6400	5	152	-135
6500	11	206	-184
6600	9	253	-235
6700	-477	7	497
6800	-14	4	49
6900	116	0	-85
7000	99	12	-79
7100	69	4	-33
7200	25	0	3
7300	0	12	21
7400	-17	4	59
7500	-33	8	58
7600	-7	6	41
7700	41	8	-4
7800	87	9	-66
7900	138	4	-103
8000	169	18	-148
8100	211	38	-217
8200	-514	516	24
8300	28	-13	9
8400	153	-128	5
8500	128	-110	9
8600	89	-64	0
8700	64	-34	0
8800	25	-4	8
8900	8	25	-5
9000	0	28	6
9100	-5	30	0
9200	24	1	0
9300	58	-36	8
9400	95	-72	0
9500	145	-119	5
9600	182	-161	6
9700	231	-204	-4
9800	296	-273	7
9900	7	508	-507
10000	8	58	-71
10100	12	-91	93
10200	5	-67	64
10300	10	-38	37
10400	9	-10	9
10500	5	17	-24
10600	12	32	-33
10700	7	42	-38
10800	8	19	-26
10900	12	-26	24
11000	7	-62	58
11100	10	-109	115
11200	19	-165	156
11300	34	-221	186
11400	63	-283	231
11500	555	5	-563
11600	102	12	-120
11700	-64	4	63
11800	-70	0	58
11900	-29	9	18
12000	3	4	-1
12100	18	8	-33
12200	41	6	-52
12300	38	8	-38
12400	-4	9	-11
12500	-42	6	37
12600	-95	0	90
12700	-136	9	121
12800	-177	4	176
12900	-236	0	232
13000	482	-476	-4
13100	0	5	10
13200	-117	128	0
13300	-97	103	4
13400	-61	60	8
13500	-34	38	0
13600	0	7	0
13700	16	-13	9
13800	24	-19	0
13900	19	-12	8
14000	-18	23	6
14100	-52	58	0
14200	-95	99	7
14300	-142	147	1
14400	-190	183	12
