# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-33	51	0
100	-38	47	6
200	-34	51	0
300	-29	41	0
400	-31	42	3
500	-26	41	-2
600	-22	35	5
700	-28	37	1
800	-21	38	0
900	-19	28	11
1000	-23	35	3
1100	-16	33	0
1200	-16	11	11
1300	-21	33	0
1400	-20	29	0
1500	-19	24	6
1600	-20	32	0
1700	-12	25	0
1800	-19	30	6
1900	-16	33	-4
2000	-12	28	0
2100	-21	33	1
2200	-20	38	0
2300	-19	29	9
2400	-24	37	0
2500	-23	35	0
2600	-25	41	12
2700	-29	41	0
2800	-26	40	0
2900	-31	41	8
3000	-33	48	0
3100	-32	45	0
3200	-38	50	3
3300	-39	54	-4
3400	-38	53	7
3500	-48	60	1
3600	-52	64	0
3700	-51	62	8
3800	-60	69	0
3900	-59	77	0
4000	-64	81	7
4100	-78	90	0
4200	11	-116	128
4300	9	63	-51
4400	8	83	-74
4500	12	60	-58
4600	7	70	-58
4700	12	67	-55
4800	12	57	-43
4900	5	61	-49
5000	11	54	-42
5100	9	47	-33
5200	8	51	-42
5300	14	45	-33
5400	7	44	-30
5500	8	41	-37
5600	12	34	-23
5700	6	36	-25
5800	10	38	-29
5900	12	29	-17
6000	5	34	-25
6100	10	32	-20
6200	9	34	-14
6300	8	33	-24
6400	12	29	-15
6500	7	24	-12
6600	5	26	-21
6700	12	20	-10
6800	6	28	-16
6900	10	27	-16
7000	12	23	-8
7100	5	29	-17
7200	9	27	-16
7300	8	28	-12
7400	8	33	-24
7500	12	29	-16
7600	7	34	-19
7700	10	38	-28
7800	12	33	-20
7900	5	39	-25
8000	10	41	-34
8100	12	37	-28
8200	5	49	-37
8300	14	51	-36
8400	12	37	-35
8500	5	58	-47
8600	12	55	-44
8700	8	62	-48
8800	8	70	-58
8900	12	66	-53
9000	7	76	-64
9100	-118	8	131
9200	80	2	-49
9300	78	11	-69
9400	82	8	-65
9500	78	8	-50
9600	63	9	-58
9700	70	6	-52
9800	61	0	-38
9900	57	8	-45
10000	58	4	-33
10100	51	8	-35
10200	50	9	-36
10300	51	2	-25
10400	41	8	-30
10500	44	7	-26
10600	41	5	-17
