# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-261	277	-4
100	-261	274	7
200	-260	276	6
300	-259	277	0
400	-257	268	7
500	-258	269	0
600	-252	264	0
700	-249	273	8
800	-252	264	0
900	-245	264	0
1000	-251	261	8
1100	-250	267	0
1200	-250	261	8
1300	-255	269	6
1400	-258	273	-2
1500	-256	268	14
1600	-265	278	6
1700	-261	283	24
1800	-270	282	9
1900	-276	290	0
2000	-277	290	0
2100	-282	294	8
2200	-290	302	0
2300	-290	301	0
2400	-296	308	6
2500	-303	319	0
2600	-302	315	8
2700	-309	321	3
2800	-313	328	-1
2900	-315	326	8
3000	-323	334	0
3100	-323	336	-13
3200	-325	334	16
3300	-327	345	0
3400	-329	341	0
3500	-328	340	8
3600	-332	348	-6
3700	-327	339	0
3800	-328	344	3
3900	-326	344	-4
4000	-325	334	8
4100	-326	339	3
4200	-323	335	0
4300	-319	331	9
4400	-318	334	0
4500	-313	328	0
4600	-309	315	8
4700	-310	325	0
4800	-299	310	0
4900	-296	308	6
5000	-294	309	-2
5100	-283	295	8
5200	-285	298	3
5300	-277	293	0
5400	-270	281	9
5500	-271	282	3
5600	-258	277	0
5700	-257	263	9
5800	-253	269	0
5900	-244	257	0
6000	-241	250	6
6100	-236	251	0
6200	-228	240	10
6300	-225	240	3
6400	-221	238	-7
6500	-212	224	9
6600	-213	228	1
6700	-207	222	-4
6800	-203	215	8
6900	-207	218	0
7000	-198	212	0
7100	-199	211	8
7200	-200	215	0
7300	-196	208	10
7400	-199	211	6
7500	-200	219	7
7600	-199	211	0
7700	-205	218	3
7800	-208	225	-4
7900	-206	221	8
8000	-219	233	0
8100	-221	235	0
8200	-232	244	9
8300	-247	254	0
8400	-246	257	0
8500	-257	273	6
8600	-268	283	0
8700	12	-68	80
8800	6	121	-109
8900	10	170	-161
9000	9	192	-186
9100	5	222	-212
