# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-219	2	229
100	-190	5	186
200	-157	9	153
300	-135	-2	145
400	-134	9	128
500	-128	4	134
600	-133	0	138
700	-139	9	131
800	-141	4	150
900	-154	0	156
1000	-168	9	163
1100	-186	2	198
1200	-222	8	220
1300	-258	9	257
1400	-296	4	310
1500	-342	-4	341
1600	-388	6	392
1700	-438	0	447
1800	-498	6	491
1900	193	-179	0
2000	-251	257	12
2100	-371	383	0
2200	-433	439	10
2300	-461	469	3
2400	-464	476	0
2500	-451	456	11
2600	-435	443	6
2700	-406	415	0
2800	-370	382	12
2900	-345	360	0
3000	-310	322	0
3100	-283	289	8
3200	-258	265	0
3300	-222	232	8
3400	-201	205	6
3500	-178	193	0
3600	-161	169	7
3700	-154	165	1
3800	-149	162	0
3900	-153	160	7
4000	-169	178	0
4100	-182	193	0
4200	-204	218	6
4300	-228	246	0
4400	-264	274	0
4500	-305	318	6
4600	-344	356	-2
4700	-383	392	8
4800	-433	443	3
4900	-480	489	0
5000	-530	537	8
5100	-587	598	0
5200	-640	650	-4
5300	12	-161	169
5400	5	245	-235
5500	11	349	-337
5600	12	411	-393
5700	5	438	-431
5800	12	437	-427
5900	7	435	-423
6000	12	412	-402
6100	9	382	-367
6200	5	358	-348
6300	12	322	-310
6400	6	295	-283
6500	8	270	-258
6600	12	236	-222
6700	5	216	-203
6800	11	193	-174
6900	9	163	-154
7000	5	168	-154
7100	11	159	-144
7200	6	165	-148
7300	5	180	-171
7400	14	182	-174
7500	5	218	-196
7600	8	240	-228
7700	12	266	-252
7800	5	310	-296
7900	12	348	-335
8000	8	392	-373
8100	8	444	-434
8200	12	489	-477
8300	7	550	-534
8400	10	607	-593
8500	-170	2	196
8600	236	12	-223
8700	342	8	-318
8800	386	5	-360
8900	398	12	-390
9000	406	5	-382
9100	386	9	-373
9200	369	9	-353
9300	341	4	-315
9400	303	10	-294
9500	277	6	-253
9600	239	0	-217
9700	205	9	-194
9800	183	4	-156
9900	155	8	-135
10000	152	9	-136
10100	154	4	-125
10200	150	8	-135
10300	159	6	-137
10400	167	0	-138
10500	169	12	-162
10600	190	5	-163
10700	206	7	-186
10800	240	12	-226
10900	280	4	-256
11000	318	9	-302
11100	364	8	-342
11200	412	0	-385
11300	456	12	-447
11400	522	6	-497
11500	-153	172	1
11600	276	-251	0
11700	399	-381	11
11800	450	-441	0
11900	481	-464	0
12000	483	-468	6
12100	469	-447	-4
12200	451	-432	5
12300	414	-398	0
12400	385	-366	0
12500	351	-335	6
12600	315	-298	-7
12700	290	-270	0
12800	257	-236	3
12900	231	-206	-4
13000	207	-192	7
13100	179	-163	0
13200	171	-149	0
13300	157	-149	9
13400	165	-146	0
13500	180	-153	0
13600	183	-168	3
13700	205	-183	-2
13800	232	-213	6
13900	253	-239	0
14000	295	-273	0
14100	335	-319	6
14200	377	-354	0
14300	420	-399	8
14400	464	-447	6
14500	511	-489	-2
14600	567	-549	9
14700	611	-601	0
14800	675	-650	0
14900	8	186	-177
15000	5	-219	219
15100	12	-331	337
15200	7	-387	393
15300	10	-412	411
15400	12	-426	431
15500	5	-415	412
15600	10	-397	398
15700	8	-374	383
15800	7	-344	345
15900	12	-319	327
16000	8	-290	296
16100	10	-257	260
16200	12	-236	245
16300	5	-232	209
16400	8	-186	186
16500	9	-161	180
16600	5	-157	157
16700	12	-154	161
16800	7	-157	161
16900	8	-161	163
17000	12	-181	189
17100	5	-196	206
17200	10	-223	216
17300	12	-258	265
17400	5	-292	293
17500	12	-335	334
17600	9	-381	389
17700	10	-427	424
17800	12	-485	493
17900	4	-543	544
18000	12	-599	588
18100	170	0	-164
18200	-226	9	222
18300	-320	4	327
18400	-370	0	380
18500	-387	9	382
18600	-381	1	392
18700	-371	5	373
18800	-343	9	340
18900	-309	2	319
19000	-278	12	283
19100	-240	8	231
19200	-206	2	219
19300	-181	9	174
19400	-147	12	147
19500	-133	5	141
19600	-131	8	126
19700	-128	4	137
19800	-137	5	136
19900	-139	9	137
20000	-145	4	157
20100	-159	8	161
20200	-171	6	160
20300	-193	4	206
20400	-232	9	232
20500	-269	6	269
20600	-309	0	322
20700	-356	9	350
20800	-396	4	410
20900	-456	0	464
21000	-516	9	508
21100	193	-182	5
21200	-244	257	0
21300	-358	373	0
21400	-418	424	9
21500	-448	458	0
21600	-447	457	5
21700	-436	447	6
21800	-420	431	0
21900	-391	399	8
22000	-360	369	9
22100	-332	344	0
22200	-299	309	0
22300	-273	281	6
22400	-240	257	-4
22500	-215	228	8
22600	-194	205	0
22700	-171	183	0
22800	-148	163	9
22900	-155	164	0
23000	-149	161	0
23100	-159	166	6
23200	-173	183	0
23300	-186	197	7
23400	-215	224	3
23500	-240	257	-5
23600	-273	283	9
23700	-318	331	0
23800	-358	370	-13
23900	-399	389	11
24000	-451	462	0
24100	-496	502	0
24200	-547	553	14
24300	-606	615	1
24400	-656	661	7
24500	6	-152	167
24600	8	241	-228
24700	12	337	-324
24800	7	398	-386
24900	10	425	-413
25000	9	431	-409
25100	12	422	-410
25200	12	394	-381
25300	4	373	-360
25400	10	341	-335
25500	12	315	-294
25600	5	287	-273
25700	10	257	-245
25800	12	224	-215
25900	7	209	-198
26000	12	185	-171
26100	8	169	-154
26200	8	167	-152
26300	12	157	-143
26400	6	169	-151
26500	10	180	-171
26600	20	192	-175
26700	8	223	-206
26800	12	251	-239
26900	12	282	-267
27000	5	322	-311
27100	12	356	-345
27200	6	408	-393
27300	8	464	-448
27400	12	505	-493
27500	5	571	-556
27600	-169	6	192
27700	251	8	-225
27800	353	11	-344
27900	415	6	-389
28000	429	0	-410
28100	431	12	-416
28200	422	5	-395
28300	390	10	-380
28400	372	12	-348
28500	335	8	-309
28600	295	12	-285
28700	267	4	-242
28800	228	8	-206
28900	201	9	-184
29000	174	4	-149
29100	150	9	-140
29200	153	6	-131
29300	154	0	-125
29400	153	9	-138
29500	161	4	-137
29600	163	8	-141
29700	178	9	-161
29800	193	5	-167
29900	211	6	-199
30000	257	8	-234
30100	286	5	-270
30200	331	9	-319
30300	377	4	-354
30400	420	8	-406
30500	480	12	-464
30600	541	4	-514
30700	-155	173	0
30800	266	-244	0
30900	381	-363	6
31000	437	-420	-5
31100	467	-447	0
31200	460	-447	3
31300	448	-433	-13
31400	431	-413	9
31500	395	-376	0
31600	370	-348	0
31700	331	-316	3
31800	302	-281	-4
31900	277	-257	8
32000	240	-223	3
32100	219	-196	-10
32200	194	-176	8
32300	171	-152	0
32400	165	-141	0
32500	161	-143	6
32600	165	-147	0
32700	175	-160	12
32800	189	-169	0
32900	216	-190	-13
33000	238	-219	8
33100	263	-246	0
33200	308	-286	0
33300	344	-329	6
33400	385	-367	0
33500	438	-416	6
33600	475	-461	3
33700	531	-510	-13
33800	581	-564	8
33900	630	-615	0
34000	11	183	-181
