# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	45	6	-28
100	41	0	-19
200	44	9	-27
300	38	6	-16
400	33	0	-12
500	31	8	-21
600	35	2	-10
700	28	7	-12
800	31	8	-15
900	32	2	-8
1000	24	8	-12
1100	29	6	-13
1200	26	0	-2
1300	24	11	-15
1400	32	4	-7
1500	25	0	-9
1600	28	9	-15
1700	32	2	-4
1800	26	7	-17
1900	34	6	-15
2000	35	0	-9
2100	33	8	-24
2200	40	4	-20
2300	38	5	-19
2400	41	9	-32
2500	51	4	-26
2600	45	7	-30
2700	50	9	-39
2800	58	4	-31
2900	53	8	-41
3000	63	6	-42
3100	70	-2	-41
3200	66	11	-58
3300	78	6	-58
3400	-111	128	6
3500	76	-58	-4
3600	90	-63	8
3700	81	-62	3
3800	82	-58	5
3900	77	-58	8
4000	66	-49	0
4100	66	-48	0
4200	64	-45	6
4300	55	-35	0
4400	58	-37	0
4500	51	-34	6
4600	47	-29	-4
4700	51	-31	7
4800	41	-23	1
4900	44	-19	0
5000	41	-23	9
5100	34	-21	0
5200	37	-18	0
5300	38	-26	8
5400	31	-12	0
5500	35	-17	0
5600	30	-13	6
5700	31	-9	-2
5800	32	-15	8
5900	27	-9	3
6000	33	-11	0
6100	32	-13	10
6200	28	-9	0
6300	34	-16	0
6400	32	-15	6
6500	30	-12	0
6600	38	-25	0
6700	35	-20	6
6800	41	-16	-2
6900	45	-26	6
7000	37	-21	1
7100	44	-24	-7
7200	45	-20	9
7300	44	-27	0
7400	54	-33	0
7500	51	-36	6
7600	50	-35	-5
7700	62	-43	0
7800	58	-42	3
7900	63	-43	-2
8000	70	-52	8
8100	68	-52	1
8200	76	-58	5
8300	83	-65	8
8400	81	-64	0
8500	95	-74	0
8600	9	134	-125
8700	8	-51	55
8800	12	-66	73
8900	7	-58	67
9000	10	-58	60
9100	12	-58	66
9200	8	-48	51
9300	11	-46	50
9400	8	-45	54
9500	10	-41	41
9600	12	-43	49
9700	7	-39	45
9800	8	-32	36
9900	12	-36	43
10000	5	-29	38
10100	10	-25	31
10200	9	-29	41
10300	5	-24	26
10400	11	-25	31
10500	9	-26	38
10600	5	-19	22
10700	16	-20	31
10800	3	-15	25
10900	8	-17	24
11000	12	-20	33
11100	5	-15	19
11200	10	-17	23
11300	9	-20	29
11400	8	-12	16
11500	12	-18	24
11600	7	-16	25
11700	10	-12	18
11800	12	-21	31
11900	5	-17	25
12000	11	-19	18
12100	12	-23	35
12200	8	-19	20
12300	11	-24	23
12400	6	-26	33
12500	8	-25	26
12600	12	-33	39
12700	7	-31	38
12800	12	-32	47
12900	12	-41	51
13000	5	-39	45
13100	12	-45	50
13200	9	-52	61
13300	10	-49	53
13400	14	-60	68
13500	6	-65	70
13600	131	12	-129
13700	-51	4	64
13800	-65	7	64
13900	-59	12	60
14000	-51	5	64
14100	-52	9	46
14200	-41	5	50
14300	-41	5	51
14400	-36	9	34
14500	-29	4	41
14600	-32	8	35
14700	-26	9	28
14800	-22	4	35
14900	-26	9	25
15000	-17	6	24
15100	-17	5	32
15200	-16	12	16
15300	-8	6	20
15400	-13	8	16
15500	-8	9	8
15600	-6	4	18
15700	-10	7	6
15800	-4	6	10
15900	0	5	14
16000	-7	9	3
16100	-3	4	12
16200	-8	7	12
16300	-7	9	7
16400	-6	4	16
16500	-13	10	12
16600	-10	7	12
16700	-11	0	22
16800	-16	12	12
16900	-12	4	24
17000	-21	8	27
17100	-21	12	21
17200	-22	4	33
17300	-30	8	32
17400	-29	6	36
17500	-31	8	45
17600	-36	9	35
17700	-37	4	44
17800	-41	7	51
17900	-45	9	44
18000	-45	2	60
18100	-57	8	58
18200	-55	9	63
18300	141	-129	9
18400	-62	74	0
18500	-67	80	0
18600	-66	76	6
18700	-62	77	-4
18800	-54	66	0
18900	-54	66	0
19000	-47	61	0
19100	-45	55	9
19200	-45	56	0
19300	-36	51	0
19400	-37	47	8
19500	-36	51	0
19600	-25	41	8
19700	-34	47	0
19800	-26	45	2
19900	-24	44	8
20000	-26	41	0
20100	-19	35	0
20200	-24	34	3
20300	-21	38	-4
20400	-17	29	0
20500	-21	36	0
20600	-16	35	-20
20700	-16	24	8
20800	-20	32	0
20900	-13	29	0
21000	-17	28	6
21100	-16	33	0
21200	-11	25	0
21300	-21	34	0
21400	-16	32	-4
21500	-18	28	9
21600	-23	34	0
21700	-20	35	0
21800	-22	34	9
21900	-39	40	0
22000	-22	36	8
22100	-29	37	6
22200	-29	45	0
22300	-29	39	7
22400	-36	47	0
22500	-36	51	0
22600	-38	47	19
22700	-43	58	0
22800	-44	58	0
22900	-48	60	8
23000	-52	67	0
23100	-53	64	5
23200	-62	72	6
23300	-65	80	-2
23400	-67	76	10
23500	-78	87	3
23600	11	-116	128
23700	12	62	-45
23800	5	77	-64
23900	11	70	-58
24000	8	63	-51
24100	8	66	-57
24200	6	55	-43
24300	7	50	-43
24400	8	52	-45
24500	12	44	-32
24600	5	49	-38
24700	11	46	-33
24800	9	44	-25
24900	12	41	-34
25000	12	36	-26
25100	8	36	-22
25200	8	38	-28
25300	12	30	-17
25400	7	33	-22
25500	18	32	-20
25600	12	18	-16
25700	5	29	-24
25800	12	25	-15
25900	9	24	-12
26000	10	29	-20
26100	12	23	-12
26200	5	29	-16
26300	12	25	-20
26400	12	24	-9
26500	5	30	-22
26600	11	28	-16
26700	7	29	-12
26800	7	35	-26
26900	11	30	-18
27000	6	34	-22
27100	5	38	-31
27200	12	34	-20
27300	7	37	-32
27400	11	39	-33
27500	9	50	-27
27600	5	51	-41
27700	11	51	-33
27800	8	50	-32
27900	8	59	-49
28000	12	57	-44
28100	6	63	-51
28200	8	70	-60
28300	12	70	-56
28400	5	82	-70
28500	-120	6	134
28600	70	0	-46
28700	76	12	-70
28800	78	6	-58
28900	69	7	-51
29000	66	12	-55
29100	64	4	-41
29200	55	8	-41
29300	57	8	-42
29400	54	2	-31
29500	46	8	-37
29600	50	6	-29
29700	45	0	-24
29800	44	9	-31
29900	45	3	-20
30000	37	8	-19
30100	37	12	-24
30200	41	4	-11
30300	29	11	-16
30400	33	6	-13
30500	32	0	-6
30600	24	8	-17
30700	34	6	-1
30800	26	0	-4
30900	24	9	-15
31000	29	4	-5
31100	25	8	-9
31200	24	8	-13
31300	29	2	-4
31400	24	8	-17
31500	33	7	-13
31600	32	5	-6
31700	29	12	-23
31800	36	5	-13
31900	34	0	-12
32000	37	9	-23
32100	45	2	-20
32200	40	8	-30
32300	47	6	-33
32400	51	5	-25
32500	47	10	-38
32600	56	4	-36
32700	56	5	-35
32800	60	9	-49
32900	67	0	-45
33000	66	8	-51
33100	75	12	-62
33200	-109	126	12
33300	76	-58	0
33400	89	-66	0
33500	83	-66	6
33600	76	-58	-5
33700	77	-56	8
33800	67	-52	6
33900	62	-43	-4
34000	64	-45	7
