# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-50	62	1
100	-52	64	-4
200	-51	63	9
300	-60	71	0
400	-59	74	0
500	-64	73	8
600	-78	87	0
700	-70	83	0
800	-77	89	6
900	5	-107	111
1000	12	70	-58
1100	8	82	-70
1200	8	80	-71
1300	12	65	-55
1400	4	76	-64
1500	11	67	-55
1600	9	55	-46
1700	8	64	-51
1800	12	58	-45
1900	6	57	-41
2000	10	58	-49
2100	12	49	-36
2200	6	49	-38
2300	8	51	-41
2400	12	41	-29
2500	5	45	-35
2600	11	45	-39
2700	9	37	-25
2800	5	45	-33
2900	13	159	-26
3000	8	37	-16
3100	5	41	-33
3200	12	33	-26
3300	6	37	-22
3400	8	38	-29
3500	12	33	-16
3600	7	37	-25
3700	8	38	-26
3800	12	36	-20
3900	4	44	-32
4000	11	35	-26
4100	9	37	-22
4200	8	41	-34
4300	12	37	-26
4400	6	41	-25
4500	10	45	-34
4600	9	41	-26
4700	5	47	-35
4800	12	51	-33
4900	12	44	-29
5000	5	53	-43
5100	12	51	-42
5200	8	50	-41
5300	8	61	-53
5400	14	57	-45
5500	6	63	-51
5600	10	69	-58
5700	12	68	-53
5800	5	76	-67
5900	12	80	-68
6000	12	82	-70
6100	-99	9	126
6200	80	4	-58
6300	83	0	-64
6400	82	9	-71
6500	80	4	-58
6600	70	8	-54
6700	73	12	-55
6800	64	5	-35
6900	59	9	-51
7000	66	6	-44
7100	58	5	-38
7200	57	9	-44
7300	58	5	-34
7400	51	5	-35
7500	50	9	-39
7600	51	2	-24
7700	42	8	-32
7800	45	6	-23
7900	45	5	-22
8000	37	9	-30
8100	40	6	-26
8200	38	0	-12
8300	37	9	-29
8400	41	5	-20
8500	35	8	-19
8600	37	9	-26
8700	38	2	-16
8800	33	8	-21
8900	34	12	-23
9000	38	5	-12
9100	34	6	-24
9200	39	6	-23
9300	38	0	-19
9400	33	9	-31
9500	45	4	-21
9600	38	0	-22
9700	44	6	-34
9800	51	4	-24
9900	45	7	-34
10000	50	6	-42
10100	58	2	-30
10200	53	9	-43
10300	59	6	-41
10400	59	5	-38
10500	57	9	-53
10600	70	2	-45
10700	67	0	-51
10800	73	9	-60
10900	83	4	-56
11000	79	8	-69
11100	-105	128	-13
11200	83	-87	12
11300	88	-72	0
11400	91	-70	0
11500	80	-65	6
11600	76	-57	0
11700	77	-58	7
11800	66	-52	6
11900	66	-45	2
12000	64	-47	11
12100	57	-39	0
12200	59	-38	0
12300	54	-41	6
12400	49	-30	0
12500	53	-33	0
12600	51	-29	12
12700	44	-24	-4
12800	51	-29	0
12900	41	-26	0
13000	44	-22	5
13100	41	-26	9
13200	37	-18	0
13300	41	-22	0
13400	38	-26	8
13500	37	-18	0
13600	41	-22	0
13700	38	-21	6
13800	37	-17	-4
13900	43	-24	8
14000	37	-21	6
14100	41	-22	0
14200	45	-29	6
14300	39	-23	0
14400	47	-25	0
14500	51	-39	9
14600	44	-25	0
14700	51	-32	0
14800	51	-33	6
14900	50	-30	0
15000	55	-37	0
15100	51	-39	1
15200	58	-38	-4
15300	64	-45	8
15400	58	-42	0
15500	61	-45	0
15600	64	-53	9
15700	68	-45	0
15800	77	-58	0
15900	72	-58	3
16000	79	-58	-2
16100	87	-70	8
16200	84	-70	1
16300	95	-74	5
16400	9	134	-117
16500	5	-61	65
16600	11	-76	73
16700	9	-71	83
16800	8	-64	68
16900	12	-66	73
17000	8	-60	67
17100	8	-51	57
17200	12	-58	67
17300	8	-52	54
17400	10	-43	53
17500	9	-52	59
17600	5	-43	46
17700	11	-45	49
17800	9	-42	51
17900	5	-37	37
