# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-83	89	8
100	-52	59	0
200	-16	25	0
300	6	-4	6
400	21	-12	0
500	32	-24	0
600	4	0	6
700	-26	38	0
800	-64	70	7
900	-117	121	0
1000	-157	161	0
1100	-206	192	33
1200	-274	236	45
1300	17	-541	559
1400	8	-55	77
1500	8	112	-100
1600	12	91	-73
1700	7	62	-45
1800	8	33	-16
1900	12	2	23
2000	6	-13	32
2100	10	-22	49
2200	12	-8	32
2300	5	32	-19
2400	11	66	-58
2500	9	111	-90
2600	8	161	-147
2700	9	206	-187
2800	7	266	-251
2900	-477	6	501
3000	-25	2	67
3100	108	12	-83
3200	98	7	-71
3300	61	0	-24
3400	23	8	0
3500	3	3	31
3600	-21	0	58
3700	-26	9	52
3800	0	4	37
3900	44	8	-12
4000	95	9	-70
4100	143	4	-106
4200	176	24	-166
4300	220	41	-219
4400	-515	521	19
4500	16	3	1
4600	149	-124	0
4700	122	-103	3
4800	89	-62	0
4900	59	-34	11
5000	24	0	0
5100	8	20	8
5200	0	28	8
5300	0	27	0
5400	30	0	0
5500	58	-39	12
5600	102	-77	-7
5700	151	-125	0
5800	186	-168	6
5900	237	-212	0
6000	12	482	-481
6100	5	-14	12
6200	12	-125	121
6300	12	-97	107
6400	5	-67	62
6500	14	-37	31
6600	9	-7	9
6700	7	20	-25
6800	12	33	-34
6900	6	37	-38
7000	8	12	-20
7100	12	-29	28
7200	8	-65	64
7300	12	-112	108
7400	19	-158	162
7500	36	-227	188
7600	530	16	-542
7700	6	8	-12
7800	-123	9	110
7900	-99	3	101
8000	-68	8	61
8100	-28	9	15
8200	3	4	-5
8300	20	8	-38
8400	43	9	-52
8500	38	8	-38
8600	-7	12	-6
8700	-45	6	44
8800	-101	0	96
8900	-139	12	126
9000	-180	2	184
9100	462	-462	0
9200	-81	90	12
9300	-154	145	8
9400	-132	138	0
9500	-91	103	0
9600	-58	63	8
9700	-29	38	-7
9800	1	2	0
9900	19	-13	0
10000	31	-20	0
10100	19	-21	9
10200	-16	29	0
10300	-52	64	5
10400	-103	102	8
10500	-149	151	0
10600	-201	183	21
10700	-257	224	45
10800	12	-528	541
10900	12	-33	55
11000	8	124	-101
11100	8	106	-89
11200	12	63	-45
11300	5	36	-19
11400	12	12	5
11500	12	-16	41
11600	5	-23	40
11700	13	-12	31
11800	6	23	0
11900	8	58	-44
12000	12	99	-81
12100	7	145	-127
12200	8	199	-184
12300	12	247	-229
12400	-476	0	502
12500	-7	8	36
12600	122	4	-85
12700	100	9	-77
12800	70	6	-39
12900	32	0	6
13000	4	9	20
13100	-11	4	50
13200	-30	0	67
13300	-13	16	39
13400	38	3	-2
13500	80	8	-51
13600	132	9	-105
13700	170	12	-144
13800	205	37	-212
13900	-512	518	18
14000	41	-39	16
14100	153	-132	0
14200	136	-111	0
14300	96	-71	3
14400	63	-35	-4
14500	38	0	0
14600	7	16	3
14700	-4	38	-4
14800	3	28	11
14900	20	8	6
15000	55	-25	0
15100	96	-78	6
15200	134	-112	0
15300	182	-157	0
15400	225	-207	6
15500	282	-261	-4
15600	12	497	-499
15700	8	55	-54
15800	8	-88	82
15900	12	-78	80
16000	5	-41	38
16100	10	-11	8
16200	12	8	-8
16300	8	36	-41
16400	11	40	-45
16500	6	21	-19
16600	5	-15	12
16700	12	-58	60
16800	7	-105	104
16900	16	-151	144
17000	38	-220	197
17100	54	-275	225
17200	556	9	-563
17300	93	5	-96
17400	-81	9	67
17500	-69	6	63
17600	-37	0	32
17700	-4	12	-12
17800	25	5	-26
17900	35	8	-45
18000	37	9	-52
18100	8	2	-8
18200	-43	8	32
18300	-87	9	84
18400	-128	2	130
