# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	12	-20	41
100	8	-20	41
200	8	12	4
300	12	39	-16
400	5	84	-64
500	11	128	-113
600	12	169	-151
700	5	228	-206
800	-464	6	489
900	38	-13	0
1000	132	11	-114
1100	122	6	-91
1200	85	5	-51
1300	47	12	-20
1400	20	3	16
1500	0	0	45
1600	-26	12	50
1700	-19	0	62
1800	12	9	19
1900	63	8	-29
2000	112	12	-77
2100	149	10	-132
2200	193	25	-181
2300	227	44	-238
2400	-524	541	2
2500	-6	28	8
2600	129	-107	3
2700	115	-87	-4
2800	83	-55	8
2900	44	-20	0
3000	23	6	0
3100	3	21	9
3200	-10	35	0
3300	14	16	0
3400	38	-13	8
3500	70	-45	0
3600	122	-97	7
3700	157	-136	6
3800	205	-178	2
3900	261	-236	10
4000	5	494	-494
4100	15	13	-4
4200	12	-113	119
4300	5	-91	90
4400	12	-59	59
4500	8	-26	32
4600	5	6	-8
4700	12	22	-26
4800	4	37	-38
4900	8	40	-42
5000	12	0	0
5100	5	-33	33
5200	11	-80	76
5300	12	-132	132
5400	21	-184	162
5500	47	-247	205
5600	534	12	-547
5700	34	12	-50
5800	-105	4	107
5900	-92	0	90
6000	-55	9	44
6100	-16	4	16
6200	6	8	-16
6300	31	12	-45
6400	45	12	-43
6500	21	6	-38
6600	-16	6	10
6700	-63	12	61
6800	-113	12	103
6900	-148	6	147
7000	-199	0	199
7100	469	-464	0
7200	-58	65	5
7300	-149	153	3
7400	-120	128	-2
7500	-82	86	8
7600	-51	57	3
7700	-16	25	-2
7800	19	-5	9
7900	18	-14	3
8000	29	-23	0
8100	6	0	8
8200	-26	35	0
8300	-64	71	0
8400	-113	120	6
8500	-155	164	2
8600	-209	194	30
8700	-273	236	51
8800	12	-541	553
8900	16	-53	74
9000	5	113	-96
9100	11	103	-52
9200	12	60	-34
9300	5	32	-17
9400	12	3	15
9500	9	-16	35
9600	5	-19	33
9700	12	-8	24
9800	7	29	-6
9900	8	67	-52
10000	12	107	-86
10100	6	158	-138
10200	10	206	-190
10300	12	263	-241
10400	-479	5	502
10500	-26	7	57
10600	112	0	-72
10700	95	9	-74
10800	65	10	-29
10900	25	0	6
11000	0	12	23
11100	-17	4	55
11200	-30	8	58
11300	-4	9	31
11400	51	4	-8
11500	91	8	-67
11600	140	9	-111
11700	174	-4	-154
11800	211	43	-225
11900	-516	522	16
12000	25	-7	12
12100	150	-122	0
12200	130	-105	11
12300	91	-66	3
12400	57	-25	-2
12500	32	-7	6
12600	4	20	0
12700	-4	32	-4
12800	3	21	7
12900	24	-1	0
13000	60	-35	0
13100	104	-84	6
13200	140	-119	0
13300	191	-162	5
13400	232	-210	6
13500	8	489	-490
13600	14	-23	23
13700	8	-129	128
13800	12	-103	97
13900	12	-74	75
14000	5	-35	32
14100	10	0	0
14200	9	15	-12
14300	-4	38	-41
14400	12	36	-39
14500	9	12	-12
14600	8	-19	16
14700	12	-68	66
14800	7	-111	112
14900	18	-164	153
15000	40	-229	203
15100	518	20	-544
