# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	109	8	-81
100	149	5	-119
200	186	27	-183
300	232	44	-236
400	-523	538	12
500	-7	32	-2
600	138	-113	8
700	110	-91	3
800	82	-51	0
900	51	-26	8
1000	17	7	0
1100	5	25	0
1200	0	28	8
1300	5	20	0
1400	41	-10	9
1500	68	-45	3
1600	120	-90	-4
1700	161	-136	7
1800	198	-176	0
1900	257	-232	0
2000	8	489	-486
2100	8	12	-16
2200	12	-116	115
2300	6	-94	96
2400	10	-58	53
2500	12	-31	32
2600	5	6	-8
2700	16	25	-26
2800	12	37	-32
2900	8	38	-42
3000	12	0	0
3100	7	-33	32
3200	10	-77	76
3300	12	-129	132
3400	21	-183	162
3500	48	-247	205
3600	532	12	-552
3700	34	9	-50
3800	-104	5	108
3900	-92	8	90
4000	-55	9	44
4100	-17	4	16
4200	4	0	-17
4300	33	6	-41
4400	42	5	-45
4500	24	9	-41
4600	-17	6	12
4700	-62	5	59
4800	-113	9	95
4900	-148	4	147
5000	-198	0	196
5100	472	-464	-4
5200	-58	63	8
5300	-149	153	6
5400	-120	128	0
5500	-83	86	11
5600	-53	59	0
5700	-18	25	8
5800	3	-4	8
5900	24	-16	0
6000	32	-24	0
6100	4	0	3
6200	-26	38	-2
6300	-64	70	8
6400	-116	121	3
6500	-155	161	0
6600	-212	192	30
6700	-274	235	45
6800	13	-539	553
6900	6	-52	77
7000	12	116	-98
7100	12	92	-74
7200	6	60	-38
7300	8	32	-17
7400	12	0	19
7500	7	-13	32
7600	10	-22	24
7700	12	-10	29
7800	5	30	-16
7900	9	66	-47
8000	12	111	-90
8100	8	161	-146
8200	12	206	-182
8300	4	269	-244
8400	-477	6	500
8500	-25	2	67
8600	107	0	-83
8700	99	8	-68
8800	64	-4	-22
8900	23	8	0
9000	0	6	31
9100	-22	0	58
9200	-26	9	52
9300	0	4	37
9400	45	8	-12
9500	95	9	-73
9600	141	4	-106
9700	170	23	-164
9800	218	41	-223
9900	-515	524	19
10000	16	0	6
10100	150	-122	0
10200	128	-103	9
10300	89	-61	-7
10400	61	-29	0
10500	25	0	3
10600	7	20	-2
10700	0	28	7
10800	0	24	0
10900	31	0	-2
11000	64	-36	8
11100	102	-75	0
11200	149	-122	5
11300	188	-168	8
11400	237	-212	-7
11500	16	479	-484
11600	6	-16	19
11700	12	-116	120
11800	14	-104	111
11900	7	-62	64
12000	11	-37	34
12100	12	-7	9
12200	8	20	-24
12300	12	34	-36
12400	8	37	-37
12500	8	16	-21
12600	12	-29	28
12700	7	-68	67
12800	10	-112	108
12900	22	-171	164
13000	37	-229	194
13100	527	19	-538
13200	6	7	-11
13300	-123	8	109
13400	-99	7	92
13500	-64	8	64
13600	-29	10	13
13700	6	3	-7
13800	22	7	-32
13900	37	9	-56
14000	38	4	-39
14100	-7	8	0
14200	-52	9	37
14300	-96	4	96
14400	-140	8	128
14500	-183	8	173
14600	472	-466	12
14700	-91	95	0
14800	-157	167	0
14900	-128	134	12
15000	-97	103	0
15100	-56	62	5
15200	-27	34	3
15300	0	9	0
15400	25	-18	0
15500	24	-21	0
15600	16	-9	12
15700	-17	21	7
15800	-58	62	0
15900	-96	106	0
16000	-141	147	9
16100	-198	190	15
16200	-254	219	47
16300	12	-542	554
16400	15	-25	42
16500	12	118	-99
16600	5	102	-87
16700	11	70	-20
16800	12	31	-12
16900	5	9	6
17000	12	-12	31
17100	8	-26	48
17200	5	-11	27
17300	12	18	0
17400	7	57	-35
17500	8	106	-86
17600	12	143	-129
17700	7	197	-180
17800	10	257	-236
17900	-467	4	509
18000	-13	9	32
18100	122	4	-91
18200	103	0	-67
18300	70	9	-44
18400	35	4	0
18500	3	7	25
18600	-16	9	44
18700	-29	4	67
18800	-13	8	40
18900	37	6	-7
19000	83	8	-49
19100	128	9	-105
19200	173	12	-149
19300	207	36	-206
19400	-516	528	16
19500	41	-26	18
19600	156	-134	0
19700	134	-107	0
19800	103	-78	7
19900	60	-37	0
20000	35	-8	0
20100	9	12	6
20200	-16	35	0
20300	0	26	0
20400	20	0	6
20500	50	-25	0
20600	103	-76	8
20700	136	-111	0
20800	179	-154	-4
20900	227	-207	6
21000	282	-264	0
21100	11	499	-503
21200	9	50	-51
21300	8	-87	82
21400	12	-77	76
21500	6	-41	41
21600	8	-6	4
21700	12	10	-10
