# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	8	322	-306
100	12	294	-277
200	5	256	-241
300	12	206	-194
400	9	173	-151
500	5	161	-146
600	10	146	-129
700	8	147	-128
800	7	149	-144
900	12	163	-144
1000	7	179	-164
1100	8	199	-187
1200	12	218	-203
1300	5	268	-249
1400	10	323	-313
1500	9	405	-392
1600	12	522	-508
1700	-283	3	308
1800	264	5	-238
1900	347	9	-330
2000	370	4	-342
2100	350	8	-328
2200	318	9	-294
2300	259	4	-226
2400	190	8	-174
2500	170	6	-145
2600	154	0	-125
2700	147	10	-128
2800	148	6	-120
2900	154	0	-128
3000	169	12	-149
3100	188	4	-158
3200	207	10	-190
3300	242	8	-219
3400	283	8	-254
3500	347	11	-330
3600	444	3	-416
3700	541	16	-528
3800	-297	315	-4
3900	261	-237	8
4000	335	-318	3
4100	360	-335	-2
4200	341	-323	12
4300	292	-279	0
4400	245	-220	0
4500	187	-168	6
4600	169	-145	-4
4700	162	-139	0
4800	154	-132	0
4900	157	-132	-7
5000	170	-149	7
5100	178	-158	0
5200	201	-177	0
5300	222	-207	9
5400	252	-232	0
5500	310	-287	0
5600	377	-361	6
5700	463	-451	0
5800	583	-557	0
5900	3	308	-306
6000	10	-238	237
6100	12	-335	339
6200	5	-357	354
6300	12	-348	347
6400	12	-311	319
6500	5	-254	249
6600	12	-195	197
6700	8	-161	164
6800	8	-141	137
6900	12	-138	144
7000	6	-136	141
7100	8	-135	134
7200	12	-155	160
7300	6	-165	167
7400	8	-180	176
7500	12	-213	219
7600	5	-250	248
7700	10	-319	321
7800	8	-413	415
7900	12	-520	511
8000	25	-646	637
8100	303	8	-302
8200	-210	9	203
8300	-267	2	274
8400	-277	8	273
8500	-245	9	237
8600	-190	2	203
8700	-165	8	157
8800	-144	9	140
8900	-135	0	138
9000	-116	14	116
9100	-130	4	128
9200	-141	0	141
9300	-158	9	147
9400	-174	4	176
9500	-203	0	206
9600	-234	9	224
9700	-280	3	282
9800	-355	8	351
9900	-449	9	447
10000	309	-298	9
10100	-269	275	3
10200	-369	380	0
10300	-399	376	9
10400	-393	404	0
10500	-348	360	0
10600	-296	305	9
10700	-236	246	0
10800	-173	180	0
10900	-154	160	6
11000	-142	154	-4
11100	-135	140	6
11200	-143	149	0
