# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	281	8	-277
100	289	6	-277
200	293	8	-275
300	292	12	-289
400	302	3	-284
500	296	8	-283
600	300	9	-294
700	303	4	-285
800	300	8	-293
900	306	9	-294
1000	309	31	-290
1100	302	10	-298
1200	307	1	-287
1300	300	8	-290
1400	301	14	-294
1500	302	5	-284
1600	292	8	-283
1700	297	7	-286
1800	296	5	-277
1900	282	10	-281
2000	289	12	-271
2100	283	8	-264
2200	276	12	-270
2300	277	4	-258
2400	270	8	-257
2500	269	9	-258
2600	264	4	-244
2700	253	9	-251
2800	260	8	-242
2900	246	0	-225
3000	244	12	-239
3100	244	2	-225
3200	236	8	-225
3300	239	9	-226
3400	235	12	-214
3500	224	9	-221
3600	229	6	-213
3700	222	5	-206
3800	223	12	-215
3900	225	4	-207
4000	219	8	-206
4100	224	9	-200
4200	225	4	-203
4300	221	9	-215
4400	228	9	-210
4500	225	5	-206
4600	228	12	-220
4700	235	4	-215
4800	232	9	-225
4900	244	9	-232
5000	251	4	-229
5100	253	9	-243
5200	269	6	-250
5300	272	5	-257
5400	282	12	-276
5500	-51	69	0
5600	141	-129	3
5700	205	-189	-2
5800	251	-232	6
5900	269	-256	0
6000	296	-277	0
6100	302	-287	6
6200	308	-290	-4
6300	319	-299	5
6400	315	-300	3
6500	321	-302	0
6600	322	-310	6
6700	318	-304	0
6800	325	-306	0
6900	322	-310	6
7000	324	-307	-4
7100	335	-315	0
7200	327	-316	1
7300	339	-320	0
7400	344	-329	8
7500	339	-327	0
7600	352	-335	0
7700	351	-339	3
7800	360	-344	0
7900	367	-356	9
8000	368	-357	0
8100	382	-364	0
8200	386	-371	8
8300	390	-373	-4
8400	402	-386	10
8500	401	-390	3
8600	411	-396	0
8700	425	-410	9
8800	421	-415	0
8900	438	-418	0
9000	438	-426	6
9100	443	-425	-4
9200	451	-437	9
9300	450	-439	0
9400	461	-443	0
9500	464	-449	6
9600	461	-449	0
9700	470	-456	0
9800	466	-458	3
9900	475	-457	0
10000	476	-464	4
10100	472	-460	0
10200	481	-464	-7
10300	472	-468	6
10400	479	-464	-5
10500	480	-463	7
10600	471	-464	0
10700	477	-460	0
10800	476	-464	6
10900	461	-457	0
11000	473	-456	0
11100	464	-453	3
11200	463	-449	-2
11300	464	-451	6
11400	453	-445	6
11500	456	-443	0
11600	451	-439	9
11700	443	-433	0
11800	451	-427	-4
11900	433	-422	0
12000	434	-417	-2
12100	428	-418	7
12200	418	-407	0
12300	420	-404	0
12400	412	-400	6
12500	408	-391	-4
12600	406	-389	0
12700	391	-381	0
12800	394	-373	-10
12900	386	-387	6
13000	376	-365	0
13100	377	-360	0
13200	367	-355	6
13300	360	-344	-4
13400	360	-345	12
13500	347	-335	1
13600	347	-328	4
13700	341	-329	6
13800	334	-320	0
13900	335	-316	0
14000	325	-313	6
14100	324	-306	-10
14200	323	-308	8
14300	315	-302	0
14400	319	-299	-8
14500	315	-297	6
14600	308	-293	0
14700	319	-293	0
14800	309	-291	6
14900	308	-294	0
15000	315	-295	0
15100	308	-294	0
15200	315	-295	0
15300	315	-303	6
15400	308	-299	0
15500	325	-307	0
15600	323	-311	6
15700	332	-315	-4
15800	341	-324	8
15900	340	-327	0
16000	353	-335	0
16100	360	-344	6
16200	360	-351	0
16300	12	64	-58
16400	7	-142	145
16500	8	-204	207
16600	12	-258	267
16700	5	-287	290
16800	12	-309	308
16900	9	-326	339
17000	5	-333	336
17100	12	-343	350
17200	9	-348	360
17300	8	-348	350
17400	11	-353	360
17500	6	-353	360
17600	10	-354	360
17700	12	-361	373
17800	10	-359	360
17900	8	-365	365
18000	9	-364	373
18100	5	-360	364
18200	12	-367	376
18300	8	-369	380
18400	8	-372	374
18500	12	-379	388
18600	6	-379	386
18700	11	-380	385
18800	12	-385	397
18900	5	-385	388
19000	11	-391	398
19100	8	-397	406
19200	7	-396	396
19300	13	-404	410
19400	6	-403	415
19500	10	-402	405
19600	12	-412	422
19700	5	-413	418
19800	10	-412	418
19900	12	-421	433
20000	5	-419	420
20100	12	-418	424
20200	9	-422	431
20300	5	-420	422
20400	12	-424	431
20500	6	-426	431
20600	8	-418	421
20700	12	-422	434
20800	5	-416	425
20900	8	-412	421
21000	12	-416	428
21100	5	-408	412
21200	9	-405	411
21300	8	-402	414
21400	5	-396	397
21500	12	-395	402
21600	6	-387	399
21700	8	-380	382
21800	12	-379	390
21900	5	-369	380
22000	18	-360	366
22100	12	-361	370
22200	5	-348	351
22300	15	-344	350
22400	12	-335	348
22500	5	-322	323
22600	12	-320	330
22700	7	-310	319
22800	10	-304	304
22900	12	-298	308
23000	6	-284	290
23100	11	-273	282
23200	12	-274	283
23300	5	-261	264
23400	12	-254	257
23500	8	-248	257
23600	8	-236	239
23700	12	-234	244
23800	10	-226	232
23900	0	-212	215
24000	12	-216	226
24100	5	-207	207
24200	12	-201	205
24300	12	-197	209
24400	5	-190	193
24500	12	-190	197
24600	8	-187	196
24700	8	-183	185
24800	12	-186	194
24900	5	-182	186
25000	10	-180	186
25100	12	-187	198
25200	5	-184	188
25300	12	-193	195
25400	8	-194	206
25500	8	-195	198
25600	12	-208	216
25700	6	-213	220
25800	8	-219	221
25900	12	-234	242
26000	5	-240	246
26100	83	6	-71
26200	-103	0	119
26300	-149	12	154
26400	-173	4	186
26500	-193	0	206
26600	-200	8	202
26700	-199	2	223
26800	-206	0	212
26900	-200	6	205
27000	-199	-7	212
27100	-200	8	199
27200	-195	6	205
27300	-193	8	206
27400	-194	8	194
27500	-190	4	205
27600	-194	0	206
27700	-195	9	195
27800	-196	2	211
27900	-202	7	206
28000	-200	9	208
28100	-203	4	219
28200	-210	8	212
28300	-209	6	215
28400	-206	5	228
28500	-219	9	220
28600	-219	3	236
28700	-228	5	235
28800	-232	6	234
28900	-235	1	250
29000	-244	7	248
29100	-245	8	263
29200	-251	2	267
29300	-258	8	259
29400	-259	6	269
29500	-262	5	277
29600	-271	9	272
29700	-267	4	281
29800	-273	0	283
29900	-274	12	279
30000	-275	2	290
30100	-281	7	286
30200	-281	8	287
30300	-280	2	300
30400	-284	7	286
30500	-281	6	289
30600	-280	0	297
30700	-284	8	285
30800	-280	6	289
30900	-277	5	293
31000	-277	9	282
31100	-273	4	289
31200	-277	10	286
31300	-273	9	273
31400	-265	4	286
31500	-269	8	273
31600	-265	6	263
31700	-262	4	278
31800	-265	8	264
31900	-256	6	266
32000	-257	0	270
32100	-258	9	255
32200	-249	3	263
32300	-251	0	261
32400	-248	7	249
32500	-244	1	257
32600	-247	0	257
32700	-242	6	268
32800	-241	4	259
32900	-245	9	248
33000	-241	6	250
33100	-244	0	257
33200	-245	9	247
33300	-244	3	257
33400	-249	5	257
33500	-249	9	252
33600	-249	3	266
33700	-256	7	261
33800	-258	8	261
33900	-257	2	276
34000	-269	0	277
