# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	179	8	-159
100	182	6	-155
200	183	5	-154
300	192	9	-174
400	212	3	-181
500	225	0	-203
600	266	12	-248
700	325	4	-296
800	392	9	-378
900	483	6	-458
1000	580	5	-554
1100	688	13	-675
1200	-219	239	5
1300	300	-280	3
1400	431	-407	-4
1500	480	-464	7
1600	480	-464	0
1700	465	-443	0
1800	418	-403	6
1900	369	-348	-4
2000	325	-297	5
2100	263	-245	0
2200	221	-198	0
2300	193	-171	8
2400	187	-167	0
2500	204	-179	0
2600	210	-190	9
2700	237	-206	-8
2800	267	-248	8
2900	315	-300	0
3000	395	-373	0
3100	470	-458	6
3200	553	-541	0
3300	663	-642	0
3400	761	-749	3
3500	10	273	-273
3600	12	-274	279
3700	5	-397	399
3800	10	-457	463
3900	12	-471	476
4000	5	-452	447
4100	13	-412	411
4200	9	-368	377
4300	8	-312	310
4400	12	-266	269
4500	6	-213	214
4600	10	-174	171
4700	12	-174	177
4800	7	-173	174
4900	12	-185	186
5000	12	-200	209
5100	2	-228	226
5200	12	-278	282
5300	7	-345	348
5400	8	-412	419
5500	14	-523	534
5600	8	-632	633
5700	15	-737	737
5800	235	4	-230
5900	-271	10	259
6000	-373	4	373
6100	-412	0	418
6200	-413	8	406
6300	-381	2	385
6400	-338	0	338
6500	-284	8	274
6600	-223	4	229
6700	-175	8	174
6800	-161	6	153
6900	-161	2	164
7000	-171	8	161
7100	-177	3	178
7200	-196	4	200
7300	-229	10	215
7400	-270	3	275
7500	-338	0	338
7600	-413	9	405
7700	-499	2	505
7800	-605	7	602
7900	274	-262	0
8000	-294	300	11
8100	-442	451	0
8200	-501	505	5
8300	-512	514	12
8400	-497	505	0
8500	-454	458	12
8600	-408	411	6
8700	-348	364	-4
8800	-290	304	14
8900	-244	252	0
9000	-192	206	0
9100	-172	179	8
9200	-178	186	0
9300	-182	190	0
9400	-199	205	6
9500	-219	232	-4
9600	-257	265	8
9700	-321	331	0
9800	-390	399	2
9900	-473	476	12
10000	-571	580	0
10100	-673	676	0
10200	-783	782	16
10300	5	-212	223
10400	12	283	-268
10500	4	408	-393
10600	10	464	-447
10700	12	463	-447
10800	7	448	-431
10900	12	402	-389
11000	7	356	-338
11100	8	309	-294
11200	12	248	-233
11300	5	205	-193
11400	10	183	-171
11500	12	178	-164
11600	7	194	-180
11700	11	206	-190
11800	6	221	-204
11900	0	265	-252
12000	12	313	-299
12100	6	390	-373
12200	10	470	-458
12300	6	566	-549
12400	5	682	-657
12500	-251	6	279
12600	296	5	-267
12700	418	9	-402
12800	473	4	-446
12900	472	8	-457
13000	456	12	-439
13100	415	2	-386
13200	353	10	-341
13300	306	6	-274
13400	238	0	-215
13500	190	9	-173
13600	182	4	-152
13700	176	8	-159
13800	189	12	-174
13900	206	8	-170
14000	215	9	-198
14100	251	4	-219
14200	296	8	-275
14300	364	12	-346
14400	444	2	-418
14500	530	11	-518
14600	646	8	-622
14700	-228	244	7
14800	308	-286	0
14900	451	-429	5
15000	499	-484	3
15100	514	-489	8
15200	489	-472	6
15300	443	-427	0
15400	399	-378	0
15500	338	-323	6
15600	288	-264	-4
15700	238	-216	8
15800	190	-173	0
15900	191	-167	0
16000	193	-171	6
16100	205	-180	0
16200	225	-203	0
16300	247	-228	3
16400	302	-277	0
16500	367	-348	6
16600	434	-415	0
16700	526	-504	0
16800	618	-603	8
16900	721	-704	0
17000	12	266	-265
17100	6	-280	283
17200	10	-412	411
17300	12	-477	485
17400	5	-489	485
17500	12	-475	476
17600	12	-440	444
17700	5	-380	377
17800	12	-336	345
17900	5	-277	283
18000	10	-223	224
18100	12	-181	187
18200	5	-167	164
18300	11	-172	173
18400	8	-182	186
18500	8	-193	187
18600	12	-223	224
18700	7	-259	261
18800	11	-319	318
18900	12	-400	405
19000	5	-487	489
19100	12	-591	592
19200	12	-713	718
19300	234	12	-243
19400	-275	4	286
19500	-390	0	389
19600	-432	6	424
19700	-430	0	436
19800	-405	0	401
19900	-355	6	347
20000	-296	2	304
20100	-244	0	235
20200	-184	6	179
20300	-161	15	167
20400	-162	8	154
20500	-161	6	163
20600	-175	5	180
20700	-194	9	182
20800	-212	4	215
20900	-257	0	257
21000	-316	9	310
21100	-385	2	394
21200	-473	0	467
21300	-572	6	566
21400	273	-266	6
21500	-305	308	1
21600	-451	464	0
21700	-509	514	9
21800	-532	539	0
21900	-505	509	5
22000	-472	476	6
22100	-419	428	0
22200	-360	366	8
22300	-307	315	3
22400	-252	261	-4
22500	-196	202	9
22600	-174	179	0
22700	-169	180	-16
22800	-177	184	8
22900	-194	204	0
23000	-211	219	0
23100	-244	250	9
23200	-305	312	0
23300	-369	373	0
23400	-450	456	6
23500	-542	554	0
23600	-644	646	7
23700	-755	759	6
23800	10	-219	229
23900	12	286	-270
24000	5	418	-402
24100	11	465	-451
24200	8	476	-457
24300	8	457	-443
24400	12	412	-395
24500	5	368	-354
24600	12	315	-300
24700	12	250	-238
24800	8	213	-203
24900	13	175	-165
25000	6	179	-164
25100	8	193	-178
25200	12	198	-178
25300	5	221	-204
25400	10	257	-240
25500	9	302	-286
25600	5	377	-360
25700	11	451	-439
25800	9	550	-531
25900	8	663	-645
26000	12	763	-748
26100	-260	0	278
