# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
31200	12	-41	48
31300	5	-41	40
31400	11	-43	50
31500	9	-52	58
31600	12	-51	53
31700	14	-60	63
31800	6	-60	70
31900	8	-64	70
32000	135	4	-119
32100	-52	8	51
32200	-55	8	62
32300	-51	4	66
32400	-52	10	51
32500	-40	6	50
32600	-38	5	51
32700	-47	9	34
32800	-31	4	41
32900	-31	0	38
33000	-26	9	26
33100	-22	6	33
33200	-24	10	29
33300	-16	9	-13
33400	-12	4	29
33500	-16	8	12
33600	-13	6	16
33700	-11	5	20
33800	-15	9	8
33900	-6	6	16
34000	-8	0	16
