# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-49	12	51
100	-39	6	41
200	-35	2	48
300	-39	8	33
400	-28	6	37
500	-25	12	40
600	-26	9	27
700	-19	5	30
800	-25	10	25
900	-16	9	16
1000	-12	4	24
1100	-16	6	14
1200	-10	6	16
1300	-9	12	19
1400	-13	9	8
1500	-5	6	12
1600	0	0	19
1700	-7	9	7
1800	-2	4	15
1900	-7	8	12
2000	-7	12	5
2100	0	2	19
2200	-10	8	12
2300	-7	7	12
2400	-6	-16	20
2500	-16	9	12
2600	-10	6	18
2700	-16	5	25
2800	-20	12	16
2900	-16	6	29
3000	-24	0	29
3100	-23	9	24
3200	-25	4	37
3300	-34	8	33
3400	-33	8	21
3500	-35	4	51
3600	-42	9	38
3700	-40	6	47
3800	-48	0	58
3900	-52	9	49
4000	-50	5	66
4100	135	-123	3
4200	-62	77	-4
4300	-70	79	7
4400	-70	79	0
4500	-62	77	5
4600	-58	66	8
4700	-58	69	0
4800	-45	67	0
4900	-48	57	9
5000	-42	58	0
5100	-38	51	0
5200	-37	50	6
5300	-33	51	-4
5400	-32	44	0
5500	-34	44	0
5600	-26	45	-1
5700	-25	36	8
5800	-29	39	1
5900	-23	38	5
6000	-22	34	9
6100	-26	26	0
6200	-19	33	0
6300	-19	28	6
6400	-26	35	0
6500	-14	29	0
6600	-20	29	4
6700	-13	33	-5
6800	-11	29	9
6900	-20	30	0
7000	-15	32	-7
7100	-16	28	6
7200	-20	32	0
7300	-11	29	0
7400	-19	29	6
7500	-29	35	0
7600	-19	33	0
7700	-24	34	6
7800	-26	41	0
7900	-22	35	8
8000	-31	41	3
8100	-29	45	-1
8200	-31	41	8
8300	-33	49	3
8400	-36	45	5
8500	-38	41	4
8600	-45	58	0
8700	-43	56	0
8800	-49	60	6
8900	-55	68	0
9000	-54	66	0
9100	-64	74	6
9200	-66	83	-4
9300	-69	82	7
9400	6	-114	128
9500	0	70	-58
9600	12	70	-56
9700	5	76	-62
9800	10	70	-65
9900	9	57	-48
10000	5	64	-51
10100	12	54	-42
10200	8	50	-38
10300	8	54	-44
10400	12	47	-33
10500	6	47	-35
10600	12	51	-39
10700	12	36	-23
10800	4	38	-32
10900	11	38	-26
11000	12	34	-19
11100	5	38	-29
11200	12	32	-17
11300	7	34	-19
11400	10	32	-24
11500	12	24	-13
11600	5	30	-22
11700	12	29	-20
11800	12	23	-11
11900	5	29	-20
12000	12	25	-13
12100	7	24	-12
12200	8	29	-20
12300	9	23	-8
12400	8	29	-19
12500	12	32	-20
12600	9	28	-12
12700	5	35	-25
12800	10	32	-20
12900	8	34	-19
13000	8	40	-30
13100	12	33	-23
13200	6	41	-32
13300	10	46	-39
13400	12	41	-29
13500	0	49	-45
13600	10	51	-39
13700	12	55	-38
13800	5	64	-51
13900	12	58	-45
14000	6	66	-51
14100	8	72	-65
14200	12	71	-56
14300	-121	8	138
14400	76	8	-60
14500	83	-7	-58
14600	76	9	-66
14700	75	4	-55
14800	69	5	-48
14900	63	9	-52
15000	64	4	-39
15100	53	7	-38
15200	57	9	-42
15300	54	5	-30
15400	44	9	-35
15500	49	8	-33
15600	45	0	-24
15700	41	9	-31
15800	43	4	-21
15900	35	5	-19
16000	36	9	-23
16100	38	4	-11
16200	29	8	-16
16300	31	7	5
16400	32	4	-8
16500	28	7	-16
16600	36	6	-10
16700	25	8	-6
16800	24	12	-16
16900	29	3	-4
17000	25	0	-9
17100	29	6	-13
17200	32	2	-4
17300	26	12	-12
17400	31	7	-13
17500	32	5	-8
17600	29	9	-22
17700	36	6	-16
17800	35	5	-15
17900	37	9	-26
18000	45	3	-20
18100	41	0	-25
18200	44	9	-36
18300	51	8	-26
18400	47	8	-38
18500	58	6	-39
18600	58	8	-35
18700	57	9	-50
18800	69	4	-45
18900	68	5	-49
19000	76	9	-62
19100	-107	125	5
19200	77	-58	6
19300	86	-64	0
19400	83	-66	7
19500	73	-58	0
19600	76	-51	0
19700	67	-46	6
19800	60	-38	0
19900	64	-44	0
20000	54	-39	3
20100	50	-32	-4
20200	53	-34	7
20300	44	-27	0
20400	46	-25	-8
