# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	180	-155	7
100	219	-195	0
200	286	-257	0
300	12	493	-496
400	15	51	-54
500	11	-95	95
600	6	-78	78
700	8	-41	39
800	12	-16	16
900	7	12	-9
1000	8	33	-33
1100	12	37	-41
1200	5	26	-30
1300	12	-12	12
1400	9	-55	58
1500	5	-99	94
1600	17	-153	147
1700	32	-213	190
1800	55	-270	216
1900	554	5	-558
2000	81	8	-90
2100	-81	9	73
2200	-70	4	70
2300	-42	8	25
2400	-4	8	-4
2500	19	0	-21
2600	34	8	-51
2700	41	6	-49
2800	8	10	-12
2900	-39	12	23
3000	-80	5	84
3100	-129	8	119
3200	-169	9	161
3300	-219	4	223
3400	475	-474	0
3500	-18	29	0
3600	-125	128	8
3700	-107	112	0
3800	-67	74	0
3900	-37	41	6
4000	-10	17	-7
4100	16	-10	7
4200	25	-21	6
4300	21	-12	-4
4400	0	15	6
4500	-45	50	6
4600	-86	96	-2
4700	-128	134	8
4800	-184	178	9
4900	-237	212	34
5000	-302	250	64
5100	12	-552	567
5200	12	-93	115
5300	7	82	-62
5400	8	80	-62
5500	12	44	-26
5600	4	18	3
5700	10	0	21
5800	12	-20	45
5900	4	-12	29
6000	11	9	8
6100	8	44	-22
6200	5	90	-74
6300	12	128	-110
6400	8	179	-159
6500	8	232	-216
6600	-464	0	501
6700	27	0	0
6800	139	6	-110
6900	119	4	-83
7000	79	9	-58
7100	50	6	-15
7200	14	5	19
7300	-10	9	32
7400	-20	4	60
7500	-23	0	54
7600	20	8	7
7700	67	0	-30
7800	111	9	-88
7900	157	9	-129
8000	193	23	-180
8100	224	53	-248
8200	-522	538	12
8300	-17	37	9
8400	128	-101	0
8500	116	-88	0
8600	74	-52	6
8700	47	-16	-4
8800	25	8	8
8900	-5	29	0
9000	0	33	0
9100	12	12	6
9200	41	-12	0
9300	80	-51	0
9400	122	-97	3
9500	163	-134	-4
9600	212	-187	0
9700	260	-239	0
9800	10	496	-497
9900	12	12	-9
10000	5	-107	106
10100	10	-90	89
10200	9	-58	64
10300	5	-22	19
10400	14	0	-4
10500	9	24	-22
10600	8	40	-44
10700	12	28	-29
10800	6	-2	3
10900	12	-38	36
11000	12	-91	93
11100	7	-131	128
11200	28	-190	171
11300	51	-245	217
11400	530	14	-556
11500	45	8	-52
11600	-109	0	106
11700	-91	12	74
11800	-48	5	50
11900	-19	0	19
12000	10	8	-21
12100	35	5	-37
12200	37	8	-51
12300	24	8	-39
12400	-22	5	22
12500	-70	9	53
12600	-109	6	102
12700	-154	0	154
12800	-207	9	189
12900	476	-468	0
13000	-58	63	6
13100	-145	154	0
13200	-114	118	8
13300	-85	89	1
13400	-47	59	-29
13500	-12	23	12
13600	4	0	0
13700	24	-16	0
13800	25	-23	6
13900	0	6	0
14000	-25	32	0
14100	-70	76	9
14200	-116	125	-4
14300	-157	159	12
14400	-218	198	32
14500	-274	238	44
14600	12	-548	571
14700	7	-55	70
14800	12	112	-87
14900	8	95	-70
15000	15	66	-48
15100	11	25	-8
15200	6	0	19
15300	8	-12	28
15400	12	-26	44
15500	6	-2	20
15600	8	33	-16
15700	12	65	-45
15800	5	116	-99
15900	11	161	-142
16000	12	211	-183
16100	5	273	-255
16200	-478	4	508
16300	-32	0	67
16400	108	12	-88
16500	99	5	-55
16600	57	7	-32
16700	28	8	0
16800	3	2	35
16900	-26	12	51
17000	-24	6	60
17100	0	5	38
17200	44	9	-23
17300	100	4	-65
17400	138	8	-109
17500	179	25	-171
17600	222	37	-222
17700	-518	533	14
17800	23	6	5
17900	148	-129	9
18000	121	-98	0
18100	92	-66	0
18200	56	-33	3
18300	24	0	-5
18400	9	15	8
18500	-7	31	3
18600	0	25	-2
18700	32	-15	8
18800	58	-36	0
18900	110	-80	5
19000	154	-110	6
19100	186	-164	0
19200	241	-215	0
19300	8	482	-481
19400	5	-16	12
19500	16	-126	128
19600	7	-103	103
19700	8	-67	63
19800	12	-39	41
19900	5	-5	1
20000	10	19	-20
20100	12	37	-30
20200	5	41	-44
20300	11	9	-13
20400	8	-26	27
20500	7	-64	61
20600	12	-117	118
20700	16	-168	161
20800	37	-225	195
20900	528	14	-538
21000	1	16	-17
21100	-121	8	115
21200	-101	0	103
21300	-68	9	54
21400	-26	6	21
21500	1	5	-6
21600	21	12	-38
21700	45	4	-45
21800	32	8	-38
21900	-4	16	-10
22000	-45	4	45
22100	-99	9	87
22200	-136	6	128
22300	-180	5	180
22400	463	-460	0
22500	-83	91	0
22600	-162	166	6
22700	-131	141	-4
22800	-93	95	7
22900	-63	69	0
23000	-26	33	-29
23100	3	2	8
23200	18	-12	0
23300	32	-24	0
23400	16	-8	6
23500	-20	29	0
23600	-49	53	0
23700	-102	107	6
23800	-142	148	0
23900	-193	182	24
24000	-257	223	38
24100	15	-534	547
24200	12	-26	48
24300	5	127	-111
24400	12	106	-84
24500	8	68	-48
24600	8	41	-21
24700	9	5	16
24800	4	-10	25
24900	12	-12	34
25000	9	-29	42
25100	5	22	0
25200	11	51	-33
25300	8	99	-77
25400	8	148	-131
25500	12	189	-171
25600	6	250	-232
25700	-471	8	495
25800	1	2	38
25900	120	7	-95
26000	108	6	-78
26100	70	5	-35
26200	31	12	-9
26300	12	3	24
26400	-17	8	38
26500	-29	12	53
26600	-12	2	49
26700	29	8	0
26800	82	6	-52
26900	128	0	-93
27000	163	16	-150
27100	209	32	-207
27200	-514	514	25
27300	44	-30	10
27400	167	-142	9
27500	132	-111	1
27600	99	-74	5
27700	70	-45	9
27800	31	-2	0
27900	16	16	0
28000	0	31	6
28100	-7	32	-4
28200	22	2	5
28300	47	-26	3
28400	92	-64	-2
28500	138	-113	8
28600	173	-150	0
28700	226	-199	0
28800	283	-261	6
28900	-4	505	-505
29000	12	46	-45
29100	7	-94	103
29200	8	-74	74
29300	12	-47	50
29400	8	-13	9
29500	11	16	-26
29600	9	10	-28
29700	5	43	-48
29800	12	25	-26
29900	9	-16	17
30000	8	-51	45
30100	12	-103	102
30200	12	-150	148
30300	34	-211	182
30400	58	-275	225
30500	547	10	-563
30600	87	8	-94
30700	-83	2	83
30800	-78	11	58
30900	-35	0	34
31000	0	5	1
31100	16	9	-33
31200	40	4	-43
31300	36	0	-45
31400	8	9	-20
31500	-32	4	35
31600	-86	8	77
31700	-126	6	115
31800	-170	4	172
31900	-226	7	212
32000	483	-476	0
32100	-19	23	6
32200	-126	135	0
32300	-99	106	0
32400	-70	76	6
32500	-39	41	0
32600	-4	10	7
32700	12	-7	3
32800	28	-19	-2
32900	25	-20	8
33000	-12	18	0
33100	-42	51	0
33200	-88	86	9
33300	-134	141	0
33400	-177	177	15
33500	-238	215	45
33600	-303	257	53
33700	12	-556	576
33800	6	-95	116
33900	8	87	-78
34000	12	73	-58
