# Time [us]	PORT_Mip_Volt_DCLink	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
29300	9880	0	5
29400	9822	-28	1
29500	9899	-70	-2
29600	9880	-120	12
29700	9861	-168	0
29800	9893	-205	0
29900	9867	-271	12
30000	9861	505	-509
30100	9880	59	-60
30200	9861	-86	90
30300	9899	-70	65
30400	9880	-42	42
30500	9861	-7	6
30600	9899	19	-20
30700	9867	30	-30
30800	9861	46	-45
30900	9893	20	-26
31000	9867	-29	25
31100	9861	-58	54
31200	9919	-109	111
31300	9848	-161	154
31400	9906	-215	182
31500	9867	-282	231
31600	9752	12	-567
31700	9906	9	-116
31800	9893	2	70
31900	9861	8	54
32000	9919	6	21
32100	9867	0	-1
32200	9861	9	-35
32300	9893	4	-45
32400	9861	5	-45
32500	9893	12	-15
32600	9919	4	44
32700	9887	8	90
32800	9919	12	121
32900	9867	2	182
33000	9861	0	225
33100	9893	-479	0
33200	9867	8	8
33300	9861	124	0
33400	9919	103	0
33500	9867	66	6
33600	9861	38	0
33700	9893	6	0
33800	9861	-13	3
33900	9899	-19	-2
34000	9867	-15	8
