# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	397	-387	0
100	402	-383	0
200	399	-384	6
300	389	-377	0
400	393	-376	0
500	386	-374	3
600	382	-365	0
700	383	-364	5
800	371	-361	1
900	373	-357	12
1000	367	-355	6
1100	358	-345	0
1200	362	-343	0
1300	351	-339	8
1400	347	-328	-7
1500	348	-332	7
1600	333	-323	0
1700	334	-315	8
1800	331	-315	8
1900	319	-305	0
2000	320	-302	0
2100	309	-297	8
2200	306	-290	0
2300	309	-290	7
2400	294	-284	1
2500	295	-277	0
2600	299	-281	11
2700	282	-273	0
2800	295	-267	31
2900	283	-271	6
3000	282	-264	-4
3100	283	-268	6
3200	277	-265	0
3300	282	-261	8
3400	283	-266	9
3500	276	-262	0
3600	281	-264	0
3700	283	-268	8
3800	282	-267	0
3900	291	-274	0
4000	290	-277	3
4100	298	-280	-2
4200	309	-290	8
4300	306	-292	0
4400	320	-302	0
4500	328	-311	8
4600	331	-315	0
4700	12	70	-62
4800	7	-123	135
4900	10	-186	192
5000	12	-237	248
5100	7	-262	267
5200	12	-280	282
5300	12	-298	306
5400	5	-301	309
5500	10	-309	315
5600	9	-314	323
5700	8	-312	313
5800	12	-316	324
5900	7	-316	322
6000	12	-309	318
6100	12	-318	331
6200	7	-316	322
6300	11	-315	321
6400	12	-323	331
6500	5	-320	322
6600	11	-322	332
6700	9	-326	338
6800	5	-322	323
6900	12	-330	345
7000	6	-332	341
7100	10	-335	334
7200	12	-340	351
7300	5	-339	343
7400	10	-344	350
7500	9	-350	360
7600	5	-348	349
7700	12	-353	360
7800	7	-356	367
7900	8	-354	359
8000	12	-361	373
8100	6	-361	367
8200	10	-360	366
8300	12	-371	378
8400	0	-363	367
8500	12	-365	373
8600	9	-368	380
8700	8	-365	366
8800	12	-367	377
8900	8	-365	373
9000	8	-359	363
9100	12	-361	376
9200	5	-359	364
9300	10	-354	360
9400	12	-355	364
9500	5	-347	348
9600	12	-344	353
9700	6	-340	351
9800	12	-330	332
9900	12	-327	340
10000	7	-323	328
10100	11	-315	321
10200	12	-313	323
10300	7	-302	309
10400	11	-296	302
10500	9	-290	301
10600	5	-280	283
10700	12	-277	282
10800	6	-268	277
10900	8	-257	261
11000	12	-255	266
11100	5	-244	251
11200	11	-235	250
11300	12	-236	244
11400	2	-215	220
11500	12	-216	224
11600	8	-211	220
11700	8	-199	203
11800	12	-198	205
11900	5	-190	199
12000	11	-183	189
12100	12	-184	196
12200	5	-174	180
12300	10	-172	178
12400	9	-174	183
12500	8	-167	171
12600	16	-167	176
12700	9	-168	180
12800	8	-164	166
12900	12	-168	178
13000	6	-166	170
13100	11	-167	176
13200	12	-165	186
13300	5	-174	180
13400	11	-185	192
13500	8	-194	206
13600	8	-196	198
13700	12	-211	218
13800	6	-216	227
13900	82	9	-79
14000	-101	2	116
14100	-145	8	145
14200	-166	6	169
14300	-180	10	194
14400	-194	12	190
14500	-185	4	198
14600	-190	0	199
14700	-187	9	189
14800	-178	1	192
14900	-180	0	186
15000	-174	9	178
15100	-170	2	184
15200	-173	8	175
15300	-168	6	169
15400	-167	2	183
15500	-169	8	169
15600	-165	6	178
15700	-170	0	186
15800	-173	12	169
15900	-167	5	186
16000	-177	0	183
16100	-178	8	179
16200	-177	2	194
16300	-187	7	193
16400	-185	6	198
16500	-189	4	206
16600	-198	8	206
16700	-197	6	205
16800	-204	5	219
16900	-208	9	210
17000	-209	4	224
17100	-217	0	225
17200	-219	9	223
17300	-225	0	242
17400	-228	10	235
17500	-229	8	242
17600	-232	2	248
17700	-239	8	238
17800	-234	6	244
17900	-238	0	252
18000	-250	9	244
18100	-238	4	253
18200	-241	0	257
18300	-240	9	247
18400	-238	2	257
18500	-241	0	251
18600	-239	9	244
18700	-232	2	255
18800	-240	8	244
18900	-232	6	240
19000	-232	0	248
19100	-236	6	235
19200	-227	3	242
19300	-230	0	238
19400	-226	9	230
19500	-222	2	237
19600	-224	7	232
19700	-219	9	224
19800	-215	2	233
19900	-219	7	219
20000	-213	6	218
20100	-212	5	228
20200	-210	9	215
20300	-211	4	224
20400	-215	0	232
20500	-213	9	218
20600	-212	2	228
20700	-218	7	222
20800	-216	8	223
20900	-217	4	235
21000	-223	8	225
21100	-220	6	231
21200	-225	8	240
21300	-245	9	232
21400	-233	4	244
21500	-240	0	251
21600	-248	12	249
21700	-251	4	269
21800	-265	8	270
21900	-271	9	274
22000	80	-66	6
22100	-131	144	0
22200	-192	206	0
22300	-235	247	6
22400	-268	283	0
22500	-281	293	0
22600	-296	306	6
22700	-303	315	-2
22800	-301	315	10
22900	-309	321	3
23000	-310	328	0
23100	-306	316	8
23200	-316	323	0
23300	-310	322	0
23400	-306	315	9
23500	-313	325	0
23600	-308	319	0
23700	-309	321	6
23800	-315	331	-5
23900	-315	326	0
24000	-321	334	3
24100	-323	341	0
24200	-325	335	8
24300	-335	347	3
24400	-336	351	4
24500	-338	352	12
24600	-352	363	3
24700	-348	360	7
24800	-357	360	12
24900	-361	380	0
25000	-364	373	7
25100	-372	385	6
25200	-376	393	-2
25300	-378	389	8
25400	-385	398	1
25500	-390	406	0
25600	-393	402	8
25700	-400	411	0
25800	-403	418	0
25900	-405	418	12
26000	-411	423	0
26100	-413	425	0
26200	-412	418	7
26300	-414	433	0
26400	-415	429	-4
26500	-417	431	6
26600	-418	435	0
26700	-414	426	0
26800	-417	431	6
26900	-414	431	0
27000	-409	421	11
27100	-411	427	1
27200	-413	425	-10
27300	-405	411	8
27400	-405	417	0
27500	-398	412	0
27600	-393	402	9
27700	-390	407	0
27800	-381	396	0
27900	-386	395	6
28000	-377	393	0
28100	-369	379	7
28200	-366	379	3
28300	-361	375	0
28400	-351	363	6
28500	-350	360	0
28600	-342	354	-13
28700	-335	344	9
28800	-332	345	3
28900	-322	335	5
29000	-315	327	8
29100	-314	327	0
29200	-302	315	0
29300	-296	308	6
29400	-294	312	0
29500	-280	294	8
29600	-278	292	1
29700	-272	286	0
29800	-264	276	9
29900	-263	276	0
30000	-253	270	0
30100	-249	253	9
30200	-248	262	0
30300	-240	257	0
30400	-238	250	6
30500	-239	254	-5
30600	-233	246	0
30700	-235	248	3
30800	-236	251	-15
30900	-232	239	9
31000	-236	247	0
31100	-232	244	0
31200	-232	244	9
31300	-237	251	0
31400	-237	251	0
31500	-244	255	6
31600	-252	264	0
31700	-251	261	0
31800	-262	274	6
31900	-268	283	-2
32000	-273	284	10
32100	-289	300	3
32200	-297	309	0
32300	12	-65	78
32400	5	132	-122
32500	10	183	-174
32600	8	218	-206
32700	8	246	-240
32800	9	257	-247
32900	6	269	-257
33000	8	280	-271
33100	12	276	-262
33200	5	285	-273
33300	10	283	-274
33400	12	281	-269
33500	5	290	-281
33600	12	290	-271
33700	3	289	-277
33800	0	290	-286
33900	12	284	-274
34000	6	292	-280
