# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-9	4	24
100	-15	5	12
200	-14	6	18
300	-16	5	27
400	-20	11	17
500	-19	6	28
600	-24	0	32
700	-29	9	28
800	-29	4	39
900	-34	8	38
1000	-34	9	34
1100	-37	2	49
1200	-45	15	45
1300	-45	6	47
1400	-48	12	61
1500	-58	9	52
1600	-61	6	63
1700	138	-129	6
1800	-58	77	0
1900	-64	74	0
2000	-66	73	0
2100	-60	77	0
2200	-51	63	8
2300	-53	70	0
2400	-44	61	0
2500	-44	53	6
2600	-52	58	0
2700	-37	51	0
2800	-37	47	6
2900	-36	51	-4
3000	-29	41	5
3100	-33	42	1
3200	-28	41	-4
3300	-22	34	8
3400	-27	42	-12
3500	-21	38	0
3600	-22	34	8
3700	-20	35	0
3800	-17	32	0
3900	-22	31	6
4000	-20	35	-4
4100	-16	27	8
4200	-20	30	0
4300	-16	32	-2
4400	-12	24	8
4500	-20	31	0
4600	-16	29	0
4700	-16	18	8
4800	-13	35	0
4900	-9	32	0
5000	-23	34	3
5100	-23	38	-4
5200	-19	31	6
5300	-27	40	0
5400	-26	45	0
5500	-25	36	8
5600	-33	43	0
5700	-29	45	0
5800	-32	44	6
5900	-45	53	0
6000	-37	51	0
6100	-43	50	6
6200	-52	61	-4
6300	-41	57	0
6400	-56	66	0
6500	-53	70	0
6600	-58	68	8
6700	-68	79	0
6800	-70	83	-4
6900	-74	82	10
7000	5	-114	123
7100	11	64	-52
7200	8	70	-58
7300	5	74	-66
7400	12	62	-52
7500	8	62	-45
7600	0	61	-52
7700	12	51	-39
7800	5	62	-38
7900	10	54	-33
8000	12	42	-29
8100	5	46	-37
8200	10	39	-29
8300	8	37	-20
8400	7	40	-29
8500	12	33	-20
8600	7	34	-22
8700	8	35	-27
8800	12	29	-16
8900	6	33	-20
9000	10	32	-34
9100	12	24	-12
9200	5	30	-22
9300	13	26	-16
9400	8	24	-9
9500	5	29	-20
9600	12	26	-13
9700	7	24	-12
9800	8	29	-20
9900	12	24	-13
10000	6	30	-22
10100	10	32	-21
10200	12	28	-14
10300	5	35	-25
10400	11	33	-21
10500	9	34	-19
10600	5	38	-30
10700	13	38	-26
10800	9	42	-29
10900	8	46	-41
11000	12	44	-29
11100	6	50	-38
11200	10	51	-58
11300	12	50	-41
11400	5	62	-51
11500	11	64	-52
11600	8	70	-48
11700	5	78	-67
11800	12	77	-58
11900	-122	8	141
12000	71	12	-58
12100	80	2	-58
12200	71	8	-61
12300	73	6	-55
12400	64	8	-44
12500	58	9	-47
12600	61	6	-39
12700	54	0	-34
12800	50	9	-41
12900	53	4	-29
13000	45	8	-32
13100	47	9	-36
13200	46	4	-18
13300	39	8	-25
