# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-35	47	6
100	-43	55	3
200	-44	58	0
300	-45	55	9
400	-55	65	0
500	-53	67	0
600	-58	76	12
700	-66	78	0
800	-66	80	0
900	-74	87	8
1000	8	-112	121
1100	12	61	-45
1200	6	74	-58
1300	10	72	-62
1400	12	63	-49
1500	5	65	-51
1600	11	58	-46
1700	9	50	-38
1800	4	55	-45
1900	14	51	-36
2000	7	47	-30
2100	8	48	-40
2200	12	37	-28
2300	7	37	-25
2400	12	40	-31
2500	12	33	-19
2600	5	37	-25
2700	12	33	-26
2800	8	31	-15
2900	10	33	-24
3000	12	27	-14
3100	7	28	-16
3200	8	32	-21
3300	12	23	-13
3400	5	28	-17
3500	13	29	-16
3600	12	21	-6
3700	7	29	-22
3800	11	26	-13
3900	8	24	0
4000	8	32	-22
4100	12	26	-15
4200	7	31	-19
4300	10	35	-26
4400	12	29	-17
4500	5	37	-25
4600	10	38	-29
4700	12	36	-20
4800	5	45	-35
4900	11	45	-33
5000	8	44	-32
5100	5	53	-44
5200	12	51	-39
5300	8	50	-41
5400	10	61	-52
5500	12	60	-46
5600	5	70	-61
5700	10	77	-65
5800	12	70	-61
5900	-123	9	135
6000	74	6	-52
6100	80	5	-58
6200	73	9	-63
6300	77	4	-52
6400	65	7	-51
6500	63	12	-49
6600	61	5	-39
6700	53	8	-38
6800	56	6	-39
6900	51	0	-29
7000	44	12	-40
7100	51	4	-27
7200	41	5	-24
7300	41	9	-29
7400	41	4	-18
7500	34	0	-19
7600	36	6	-21
7700	38	2	-9
7800	30	11	-16
7900	32	6	-15
8000	29	5	-6
8100	31	9	-17
8200	32	6	-7
8300	26	8	-6
8400	24	12	-16
8500	29	4	-6
8600	23	8	-12
8700	28	8	0
8800	29	4	-4
8900	28	8	-17
9000	33	6	-13
9100	32	0	-9
9200	31	9	-22
9300	38	5	-16
9400	35	8	-19
9500	37	12	-26
9600	45	2	-16
9700	41	10	-32
9800	50	8	-33
9900	54	5	-29
10000	60	9	-42
10100	59	6	-39
10200	58	8	-38
10300	63	9	-53
10400	70	4	-49
10500	70	7	-58
10600	76	9	-66
10700	-109	128	8
10800	70	-52	0
10900	85	-64	0
11000	80	-65	8
11100	73	-54	0
11200	72	-55	0
11300	65	-52	6
11400	60	-41	0
11500	61	-42	8
11600	51	-34	1
11700	50	-32	0
11800	51	-34	9
11900	44	-26	0
12000	46	-24	0
12100	41	-33	6
12200	37	-18	0
12300	37	-19	0
12400	35	-20	6
12500	24	-12	0
12600	38	-16	10
12700	29	-13	3
12800	36	-11	8
12900	32	-16	8
13000	24	-9	0
13100	32	-12	0
13200	29	-13	8
13300	24	-9	0
13400	33	-15	0
13500	29	-13	3
13600	31	-12	-2
13700	38	-20	8
13800	33	-16	1
13900	37	-19	-7
14000	38	-15	8
14100	37	-19	0
14200	46	-24	0
14300	45	-29	8
14400	44	-22	0
14500	48	-31	7
14600	48	-33	3
14700	53	-32	-4
14800	58	-42	8
14900	55	-37	1
15000	63	-38	0
15100	64	-52	9
15200	63	-47	0
15300	75	-54	0
15400	77	-58	6
15500	81	-58	-5
15600	90	-69	12
15700	87	-68	6
15800	10	135	-136
15900	12	-62	71
16000	7	-65	64
16100	12	-62	66
16200	12	-58	67
16300	8	-51	53
16400	12	-51	60
16500	7	-52	58
16600	8	-38	44
16700	12	-45	53
16800	5	-39	45
16900	10	-37	57
17000	12	-39	48
17100	5	-31	35
17200	12	-32	37
17300	12	-29	41
17400	0	-22	25
17500	12	-31	36
17600	7	-26	32
17700	8	-22	24
17800	12	-26	33
17900	6	-20	29
18000	11	-19	15
18100	12	-23	36
18200	5	-16	20
18300	11	-17	24
18400	9	-16	27
18500	8	-12	17
18600	11	-19	24
18700	12	-20	29
18800	0	-6	15
18900	12	-20	27
19000	6	-16	25
19100	10	-17	21
19200	12	-20	33
19300	5	-17	25
19400	12	-22	28
19500	12	-29	33
19600	12	-22	25
19700	12	-27	34
19800	8	-29	38
19900	8	-29	28
20000	12	-37	42
20100	7	-36	41
20200	12	-38	44
20300	12	-45	58
20400	5	-42	51
20500	11	-51	57
20600	8	-58	67
20700	8	-61	62
20800	12	-70	76
20900	128	5	-125
21000	-52	9	49
21100	-54	4	69
21200	-57	9	58
21300	-49	8	37
21400	-43	4	54
21500	-42	9	38
21600	-33	6	43
21700	-32	0	38
21800	-33	12	29
21900	-25	4	34
