# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	327	12	-315
100	302	4	-276
200	263	8	-251
300	230	12	-208
400	193	5	-170
500	160	9	-145
600	151	4	-123
700	138	5	-116
800	139	9	-121
900	141	4	-111
1000	136	11	-120
1100	144	6	-123
1200	148	0	-122
1300	158	8	-140
1400	169	4	-142
1500	174	0	-159
1600	195	14	-178
1700	232	4	-198
1800	253	12	-241
1900	302	7	-284
2000	348	8	-325
2100	398	12	-389
2200	464	5	-439
2300	-166	182	1
2400	250	-228	0
2500	354	-335	12
2600	397	-381	0
2700	422	-399	0
2800	412	-393	6
2900	390	-372	-4
3000	367	-348	0
3100	326	-310	3
3200	298	-270	-7
3300	261	-240	8
3400	221	-207	0
3500	194	-172	0
3600	158	-142	3
3700	147	-122	-4
3800	148	-124	7
3900	142	-124	0
4000	149	-125	-13
4100	154	-132	6
4200	153	-135	0
4300	168	-145	0
4400	170	-155	6
4500	186	-164	0
4600	212	-194	8
4700	236	-223	0
4800	279	-257	0
4900	315	-303	9
5000	360	-341	0
5100	415	-395	0
5200	464	-448	3
5300	521	-505	-4
5400	586	-564	8
5500	5	200	-198
5600	11	-212	218
5700	8	-310	315
5800	8	-351	349
5900	12	-372	377
6000	6	-369	373
6100	10	-354	353
6200	12	-335	345
6300	5	-303	302
6400	11	-270	274
6500	8	-239	248
6600	5	-205	206
6700	12	-178	186
6800	7	-145	156
6900	8	-128	132
7000	12	-131	138
7100	5	-124	128
7200	10	-128	134
7300	9	-134	141
7400	8	-135	134
7500	12	-148	153
7600	5	-155	157
7700	15	-165	169
7800	6	-194	198
7900	5	-218	219
8000	12	-260	266
8100	6	-305	309
8200	8	-352	352
8300	12	-416	420
8400	5	-472	470
8500	11	-534	534
8600	181	5	-177
8700	-213	9	207
8800	-289	2	295
8900	-327	0	335
9000	-332	9	331
9100	-319	2	331
9200	-300	8	299
9300	-266	6	269
9400	-232	0	240
9500	-195	6	190
9600	-154	2	165
9700	-134	0	135
9800	-123	9	121
9900	-119	4	128
10000	-121	9	116
10100	-114	6	121
10200	-122	0	128
10300	-129	9	121
10400	-128	4	136
10500	-145	8	141
10600	-150	8	153
10700	-165	0	175
10800	-187	11	186
10900	-219	4	228
11000	-261	0	264
11100	-300	8	298
11200	-348	2	357
11300	-408	8	412
11400	-465	6	469
11500	206	-194	8
11600	-226	236	0
11700	-317	327	0
11800	-367	379	6
11900	-382	393	0
12000	-373	371	-4
12100	-363	373	3
12200	-335	348	0
12300	-302	308	9
12400	-273	283	0
12500	-235	246	0
12600	-205	211	3
12700	-174	187	0
12800	-141	152	0
12900	-134	140	3
13000	-129	141	0
13100	-127	134	10
13200	-132	145	1
13300	-131	145	0
13400	-138	147	9
13500	-149	161	0
13600	-154	165	0
13700	-167	179	6
13800	-207	207	-8
13900	-222	229	8
14000	-265	269	0
14100	-303	312	5
14200	-348	360	8
14300	-403	414	0
14400	-456	464	0
14500	-514	521	9
14600	-574	586	0
14700	12	-169	182
14800	6	226	-211
14900	8	322	-310
15000	12	356	-342
15100	5	379	-360
15200	10	375	-361
15300	12	356	-341
15400	8	335	-323
15500	12	294	-281
15600	7	268	-251
15700	10	235	-223
15800	12	195	-182
15900	4	172	-159
16000	12	145	-132
16100	9	134	-122
16200	8	141	-128
16300	12	136	-123
16400	7	144	-127
16500	10	154	-139
16600	12	153	-136
16700	7	160	-153
16800	12	174	-163
16900	12	179	-170
17000	8	219	-206
17100	12	246	-233
17200	6	289	-273
