# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-149	161	0
100	-167	182	12
200	-194	201	1
300	-215	223	0
400	-257	266	6
500	-323	331	0
600	-402	412	8
700	-510	514	6
800	-629	625	12
900	12	-300	319
1000	5	231	-215
1100	11	302	-277
1200	12	313	-296
1300	4	301	-283
1400	11	252	-232
1500	7	192	-174
1600	8	170	-158
1700	12	150	-136
1800	7	146	-132
1900	10	145	-131
2000	12	144	-128
2100	5	161	-149
2200	10	174	-158
2300	8	192	-172
2400	8	220	-205
2500	12	250	-236
2600	8	308	-296
2700	8	399	-387
2800	12	501	-420
2900	-295	8	309
3000	262	4	-234
3100	336	0	-309
3200	353	9	-337
3300	338	4	-310
3400	289	8	-270
3500	234	8	-202
3600	183	7	-154
3700	160	9	-143
3800	153	4	-123
3900	142	0	-114
4000	140	12	-123
4100	154	4	-121
4200	163	8	-141
4300	189	8	-169
4400	212	0	-180
4500	237	12	-220
4600	286	4	-258
4700	348	0	-325
4800	443	12	-427
4900	-293	311	9
5000	273	-256	1
5100	382	-357	-4
5200	412	-390	4
5300	385	-367	0
5400	349	-326	0
5500	283	-261	6
5600	218	-193	0
5700	186	-166	0
5800	158	-139	0
5900	153	-128	-1
6000	154	-129	6
6100	150	-130	0
6200	169	-146	0
6300	180	-161	3
6400	202	-177	-4
6500	232	-210	8
6600	259	-242	0
6700	321	-296	15
6800	399	-377	7
6900	489	-472	0
7000	606	-583	0
7100	8	308	-309
7200	8	-219	215
7300	12	-294	300
7400	8	-311	322
7500	5	-288	286
7600	12	-252	255
7700	5	-194	193
7800	10	-159	160
7900	12	-136	151
8000	8	-130	128
8100	11	-132	134
8200	7	-129	138
8300	7	-138	136
8400	12	-157	163
8500	6	-171	175
8600	12	-193	192
8700	12	-227	236
8800	8	-277	273
8900	12	-354	360
9000	9	-464	467
9100	21	-581	567
9200	322	4	-320
9300	-215	0	212
9400	-277	3	268
9500	-281	2	286
9600	-257	0	251
9700	-207	9	195
9800	-162	4	169
9900	-149	8	141
10000	-129	6	131
10100	-125	4	127
10200	-129	9	116
10300	-135	6	131
10400	-148	0	151
10500	-168	12	157
10600	-190	4	192
10700	-223	0	220
10800	-261	6	253
10900	-322	2	329
11000	-417	7	412
11100	308	-296	-2
11200	-264	269	9
11300	-371	378	1
11400	-400	402	0
11500	-383	390	9
11600	-348	357	0
11700	-285	293	8
11800	-228	231	3
11900	-169	180	-2
12000	-154	154	7
12100	-140	147	1
12200	-132	143	-39
12300	-132	140	8
12400	-149	156	0
12500	-161	167	0
12600	-178	178	9
12700	-207	212	0
12800	-232	238	5
12900	-283	289	8
13000	-358	367	0
