# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	8	-464	469
100	12	-471	481
200	2	-471	476
300	10	-473	482
400	8	-474	483
500	8	-470	471
600	12	-476	482
700	6	-474	483
800	8	-472	474
900	12	-474	489
1000	5	-472	480
1100	10	-468	485
1200	12	-471	480
1300	5	-464	464
1400	11	-459	469
1500	9	-458	470
1600	4	-452	453
1700	12	-458	463
1800	12	-447	454
1900	8	-435	437
2000	12	-439	446
2100	6	-429	431
2200	11	-422	424
2300	9	-421	430
2400	5	-407	412
2500	12	-402	411
2600	9	-395	406
2700	10	-383	385
2800	12	-379	385
2900	6	-369	373
3000	10	-360	363
3100	12	-358	365
3200	5	-344	348
3300	12	-346	340
3400	3	-329	338
3500	5	-315	318
3600	12	-309	318
3700	6	-300	309
3800	8	-290	294
3900	12	-286	295
4000	8	-277	283
4100	10	-267	266
4200	9	-265	273
4300	5	-251	257
4400	12	-244	257
4500	8	-240	252
4600	5	-233	233
4700	14	-228	237
4800	5	-219	232
4900	5	-212	218
5000	12	-213	222
5100	5	-207	209
5200	10	-203	205
5300	9	-207	213
5400	5	-198	206
5500	11	-198	203
5600	9	-195	209
5700	7	-192	197
5800	12	-199	205
5900	7	-200	209
6000	8	-202	202
6100	12	-211	218
6200	6	-215	222
6300	12	-219	211
6400	12	-229	244
6500	5	-234	236
6600	12	-246	252
6700	9	-258	265
6800	79	9	-77
6900	-101	4	120
7000	-154	0	164
7100	-182	9	186
7200	-198	0	211
7300	-213	5	215
7400	-215	7	234
7500	-219	0	235
7600	-223	12	222
7700	-215	4	231
7800	-217	0	232
7900	-216	9	218
8000	-212	4	228
8100	-216	7	225
8200	-216	12	218
8300	-215	4	231
8400	-223	8	225
8500	-221	6	211
8600	-223	2	241
8700	-232	6	235
8800	-229	6	240
8900	-232	8	251
9000	-242	9	243
9100	-240	6	253
9200	-249	0	264
9300	-253	12	253
9400	-256	4	273
9500	-263	8	270
9600	-268	8	271
9700	-270	2	289
9800	-281	10	283
9900	-284	9	287
10000	-286	0	306
10100	-297	7	297
10200	-299	6	306
10300	-301	5	315
10400	-303	9	309
10500	-306	2	324
10600	-309	0	325
10700	-316	9	318
10800	-314	1	334
10900	-320	0	328
11000	-318	6	321
11100	-315	2	336
11200	-324	7	328
11300	-320	6	332
11400	-322	0	338
11500	-323	7	323
11600	-319	4	334
11700	-320	0	335
11800	-319	9	321
11900	-314	2	332
12000	-315	7	323
12100	-311	9	315
12200	-307	2	328
12300	-308	11	310
12400	-303	9	308
12500	-299	0	315
12600	-300	8	300
12700	-294	4	305
12800	-293	0	309
12900	-290	8	292
13000	-283	2	300
13100	-286	0	293
13200	-284	9	282
13300	-277	2	294
13400	-279	8	285
13500	-273	6	315
13600	-270	1	291
13700	-276	8	277
13800	-271	6	276
13900	-270	0	286
14000	-271	10	273
14100	-270	4	282
14200	-273	0	283
14300	-274	9	276
14400	-270	2	287
14500	-277	7	283
14600	-277	8	282
14700	-277	2	294
14800	-287	7	290
14900	-287	6	292
15000	-290	21	306
15100	-300	8	300
15200	-302	4	318
15300	-309	0	325
15400	-323	12	319
15500	-325	2	340
15600	64	-53	3
15700	-146	154	0
15800	-223	234	7
15900	-281	293	0
16000	-315	328	18
16100	-338	347	11
16200	-358	371	0
16300	-361	377	5
16400	-373	384	9
16500	-382	394	0
16600	-377	387	0
16700	-383	392	9
16800	-387	406	-1
16900	-385	393	8
17000	-389	402	3
17100	-389	400	0
17200	-391	398	9
17300	-397	410	0
17400	-396	412	0
17500	-399	411	8
17600	-410	420	0
17700	-406	417	0
17800	-412	424	6
17900	-419	435	-4
