# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	8	-116	122
100	10	-116	124
200	12	-116	122
300	5	-109	113
400	12	-113	121
500	8	-110	122
600	8	-107	115
700	12	-116	124
800	6	-114	122
900	12	-116	121
1000	12	-120	135
1100	5	-129	132
1200	11	-135	139
1300	6	-145	154
1400	5	-148	154
1500	11	-164	166
1600	6	-174	180
1700	92	12	-89
1800	-90	5	108
1900	-124	8	128
2000	-136	9	140
2100	-141	2	157
2200	-149	8	148
2300	-140	6	150
2400	-137	5	151
2500	-136	9	132
2600	-124	4	139
2700	-119	0	132
2800	-118	12	115
2900	-109	4	124
3000	-108	0	116
3100	-104	9	108
3200	-103	2	116
3300	-107	8	106
3400	-100	6	108
3500	-101	5	116
3600	-103	9	104
3700	-99	4	111
3800	-103	0	112
3900	-105	12	107
4000	-103	4	121
4100	-111	0	116
4200	-110	8	108
4300	-112	2	133
4400	-120	10	120
4500	-116	6	128
4600	-125	5	136
4700	-133	12	130
4800	-128	4	144
4900	-135	7	145
5000	-137	9	140
5100	-137	2	152
5200	-144	7	148
5300	-142	8	137
5400	-145	2	161
5500	-152	8	154
5600	-151	6	160
5700	-151	0	174
5800	-155	12	155
5900	-148	4	166
6000	-154	7	164
6100	-155	9	153
6200	-151	2	171
6300	-157	0	161
6400	-152	6	152
6500	-151	2	167
6600	-157	9	157
6700	-149	6	160
6800	-154	0	167
6900	-155	9	155
7000	-149	6	169
7100	-153	5	162
7200	-155	12	157
7300	-151	2	171
7400	-154	8	157
7500	-155	6	144
7600	-154	5	170
7700	-161	8	164
7800	-161	6	171
7900	-161	0	177
8000	-165	9	166
8100	-164	4	178
8200	-172	0	180
8300	-174	9	179
8400	-174	2	198
8500	-186	8	186
8600	-189	7	198
8700	-193	2	214
8800	-210	11	207
8900	-212	6	224
9000	83	-73	6
9100	-118	132	0
9200	-164	177	8
9300	-203	215	3
9400	-221	238	-4
9500	-232	244	6
9600	-245	257	0
9700	-245	257	-20
9800	-243	253	8
9900	-246	258	0
10000	-241	259	0
10100	-237	244	8
10200	-234	252	0
10300	-229	244	8
10400	-232	244	6
10500	-232	248	-5
10600	-225	237	8
10700	-231	243	0
10800	-232	244	4
10900	-230	240	8
11000	-236	248	0
11100	-234	246	0
11200	-238	250	8
11300	-239	257	0
11400	-240	253	10
11500	-247	257	6
11600	-248	267	-2
11700	-244	261	12
11800	-255	273	0
11900	-258	277	4
12000	-263	276	9
12100	-268	283	0
12200	-269	283	0
12300	-273	289	6
12400	-277	296	0
12500	-277	290	0
12600	-283	295	6
