# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-20	4	61
100	-26	0	54
200	12	6	15
300	64	2	-19
400	108	9	-87
500	153	6	-123
600	186	24	-174
700	224	51	-244
800	-520	532	15
900	-9	31	6
1000	134	-107	-4
1100	117	-94	10
1200	77	-53	1
1300	50	-22	-2
1400	22	0	8
1500	-2	25	0
1600	0	29	0
1700	6	12	6
1800	31	-8	0
1900	78	-50	8
2000	116	-94	6
2100	159	-132	-4
2200	206	-183	7
2300	252	-232	0
2400	10	493	-505
2500	12	5	-5
2600	5	-111	106
2700	10	-95	92
2800	9	-62	64
2900	8	-22	20
3000	12	0	0
3100	7	24	-22
3200	8	45	-47
3300	12	29	-30
3400	2	0	0
3500	10	-35	34
3600	8	-84	87
3700	5	-125	122
3800	26	-186	166
3900	45	-248	212
4000	526	16	-554
4100	41	6	-45
4200	-107	5	103
4300	-91	9	76
4400	-54	4	49
4500	-20	8	6
4600	8	9	-21
4700	33	4	-37
4800	37	10	-51
4900	24	9	-39
5000	-19	2	19
5100	-66	10	51
5200	-106	8	102
5300	-151	0	148
5400	-207	12	186
5500	476	-468	0
5600	-59	63	3
5700	-145	154	-2
5800	-115	121	7
5900	-87	89	0
6000	-45	58	-2
6100	-12	18	10
6200	2	0	0
6300	28	-16	-1
6400	27	-26	12
6500	2	3	0
6600	-25	32	0
6700	-70	74	6
6800	-116	125	-7
6900	-157	157	10
7000	-219	198	25
7100	-274	238	44
7200	12	-546	564
7300	5	-57	77
7400	10	109	-110
7500	12	89	-70
7600	4	63	-45
7700	9	25	-7
7800	14	0	20
7900	5	-11	29
8000	12	-25	44
8100	6	-2	20
8200	10	32	-17
8300	12	63	-44
8400	5	118	-99
8500	10	161	-142
8600	8	205	-188
8700	5	273	-257
8800	-477	3	511
8900	-35	0	64
9000	108	12	-84
9100	96	4	-62
9200	55	0	-25
9300	24	6	-26
9400	6	2	34
9500	-23	0	45
9600	-20	6	57
9700	0	0	35
9800	49	8	-24
9900	103	2	-65
10000	139	0	-109
10100	179	22	-168
10200	222	37	-219
10300	-519	532	12
10400	16	3	-7
10500	145	-123	8
10600	120	-98	0
10700	99	-63	0
10800	54	-26	6
10900	21	0	0
11000	12	16	7
11100	-8	31	0
11200	0	25	0
11300	33	-10	7
11400	60	-36	0
11500	111	-83	0
11600	154	-124	8
11700	189	-165	0
11800	244	-219	0
11900	6	485	-485
12000	8	-9	11
12100	12	-126	131
12200	6	-103	103
12300	12	-69	63
12400	9	-34	38
12500	5	-1	0
12600	8	19	-20
12700	8	34	-35
12800	12	40	-45
12900	13	8	-8
13000	7	-26	32
13100	8	-67	63
13200	12	-118	124
13300	17	-168	161
13400	42	-230	195
13500	528	12	-541
