# Time [us]	PORT_Mip_Acq_Curr_U	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
-----------	-------------------	-------------------	-------------------
0	-279	293	0
100	-274	290	0
200	-280	289	9
300	-284	296	0
400	-283	290	0
500	-278	289	6
600	-277	293	-4
700	-273	286	8
800	-275	289	3
900	-271	286	0
1000	-267	276	8
1100	-267	281	0
1200	-261	277	0
1300	-257	269	12
1400	-258	271	0
1500	-250	261	5
1600	-248	257	8
1700	-242	264	0
1800	-238	252	0
1900	-234	247	6
2000	-228	244	-2
2100	-222	234	8
2200	-222	236	1
2300	-214	232	0
2400	-206	218	9
2500	-207	219	0
2600	-197	212	-4
2700	-193	203	9
2800	-194	205	0
2900	-184	197	0
3000	-180	192	7
3100	-181	194	0
3200	-174	185	0
3300	-173	186	6
3400	-174	190	-4
3500	-170	180	5
3600	-174	184	3
3700	-171	186	-2
3800	-167	179	13
3900	-174	186	0
4000	-173	186	-7
4100	-174	186	11
4200	-182	194	0
4300	-183	199	0
4400	-190	205	9
4500	-203	215	0
4600	-203	219	0
4700	-218	231	6
4800	-228	240	0
4900	-232	247	7
5000	6	-68	78
5100	8	116	-107
5200	12	150	-138
5300	7	182	-174
5400	11	196	-187
5500	9	198	-188
5600	5	212	-203
5700	11	207	-197
5800	7	205	-193
5900	8	212	-202
6000	12	200	-189
6100	8	205	-190
6200	10	206	-197
6300	12	192	-182
6400	5	198	-191
6500	10	199	-190
6600	9	198	-180
6700	5	200	-192
6800	11	194	-186
6900	9	198	-180
7000	8	201	-194
7100	12	196	-184
7200	6	202	-190
7300	8	206	-197
7400	12	202	-191
7500	7	213	-199
7600	12	219	-207
7700	12	218	-193
7800	5	223	-214
7900	11	219	-207
8000	6	223	-206
8100	8	228	-221
8200	12	223	-215
8300	6	229	-219
8400	10	232	-226
8500	12	224	-215
8600	5	236	-223
8700	9	232	-226
8800	9	228	-215
8900	5	232	-223
9000	12	226	-213
9100	8	224	-214
9200	8	232	-223
9300	12	216	-207
9400	7	218	-206
9500	8	219	-213
9600	12	210	-200
9700	7	212	-203
9800	11	207	-200
9900	12	186	-188
10000	5	203	-195
10100	11	193	-184
10200	6	190	-177
10300	8	193	-180
10400	12	182	-169
